NrFeat,Model,Step,train.isOptimal,validation.isOptimal,test.isOptimal
16,1,82,0.9458,0.9500,0.9548
16,1,83,0.9542,0.9500,0.9648
16,1,84,0.9708,0.9333,0.9598
16,1,85,0.9667,0.9333,0.9598
16,1,86,0.9542,0.9167,0.9548
16,1,87,0.9542,0.9333,0.9447
16,1,88,0.9375,0.9500,0.9598
16,1,89,0.9625,0.9167,0.9497
16,1,90,0.9542,0.9667,0.9497
16,1,91,0.9667,0.9833,0.9447
16,1,92,0.9458,1.0000,0.9548
16,1,93,0.9708,0.9667,0.9648
16,1,94,0.9667,0.9833,0.9698
16,1,95,0.9417,0.9667,0.9698
16,1,96,0.9667,0.9833,0.9598
16,1,97,0.9750,0.9833,0.9749
16,1,98,0.9833,0.9833,0.9849
16,1,99,0.9958,1.0000,0.9950
16,1,100,1.0000,1.0000,1.0000
1,1,1,0.9375,0.8833,0.9246
1,1,2,0.9083,0.8333,0.9095
1,1,3,0.8917,0.8667,0.9246
1,1,4,0.8958,0.8500,0.8995
1,1,5,0.9125,0.9000,0.8543
1,1,6,0.9042,0.8833,0.8392
1,1,7,0.8917,0.8667,0.8291
1,1,8,0.8708,0.8333,0.8844
1,1,9,0.8833,0.8667,0.8945
1,1,10,0.8917,0.8667,0.8995
1,1,11,0.9167,0.8500,0.8844
1,1,12,0.9292,0.8000,0.8894
1,1,13,0.9333,0.7833,0.8744
1,1,14,0.8792,0.8167,0.8643
1,1,15,0.8792,0.8333,0.8593
1,1,16,0.8792,0.9000,0.8643
1,1,17,0.8667,0.9333,0.8342
1,1,18,0.8667,0.9167,0.8342
1,1,19,0.8750,0.9667,0.8543
1,1,20,0.8667,0.9500,0.8744
1,1,21,0.8458,0.9333,0.9045
1,1,22,0.8458,0.8833,0.8844
1,1,23,0.8750,0.8833,0.8794
1,1,24,0.8375,0.9167,0.8945
1,1,25,0.8542,0.9167,0.8593
1,1,26,0.8542,0.9333,0.8543
1,1,27,0.8125,0.9167,0.8543
1,1,28,0.8458,0.9167,0.8693
1,1,29,0.8458,0.9167,0.8543
1,1,30,0.8333,0.8833,0.8492
1,1,31,0.8333,0.8333,0.8643
1,1,32,0.8417,0.8333,0.8794
1,1,33,0.8250,0.8000,0.8442
1,1,34,0.8250,0.8500,0.8643
1,1,35,0.8417,0.8667,0.8593
1,1,36,0.8792,0.8833,0.8744
1,1,37,0.9042,0.8833,0.8442
1,1,38,0.9250,0.8833,0.8241
1,1,39,0.9250,0.8667,0.8342
1,1,40,0.8875,0.8167,0.8392
1,1,41,0.8833,0.8333,0.8543
1,1,42,0.8667,0.8333,0.8291
1,1,43,0.8708,0.7833,0.8241
1,1,44,0.8708,0.8333,0.8241
1,1,45,0.8792,0.8333,0.8543
1,1,46,0.8500,0.8333,0.8492
1,1,47,0.8500,0.8333,0.8291
1,1,48,0.8375,0.8667,0.8191
1,1,49,0.8292,0.9000,0.8392
1,1,50,0.8208,0.8500,0.8342
1,1,51,0.8333,0.8500,0.8543
1,1,52,0.8375,0.8167,0.8543
1,1,53,0.8375,0.8500,0.8593
1,1,54,0.8250,0.8833,0.8342
1,1,55,0.8625,0.8000,0.8442
1,1,56,0.8750,0.8000,0.8040
1,1,57,0.8417,0.8833,0.8392
1,1,58,0.8208,0.8833,0.8543
1,1,59,0.8542,0.8833,0.8693
1,1,60,0.8917,0.8833,0.8844
1,1,61,0.8750,0.8833,0.8744
1,1,62,0.8667,0.8833,0.8543
1,1,63,0.8542,0.8500,0.8492
1,1,64,0.8417,0.8667,0.8342
