CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F2.M36,0.77,0.70,0.70,0.73,0.75,0.73,0.73,0.73,0.72,0.77,0.78,0.76,0.77,0.78,0.82,0.85,0.86,0.88,0.87,0.90,0.91,0.93,0.94,0.96,0.97,0.97,0.97,0.98,0.98,0.11
F2.M37,0.87,0.85,0.85,0.85,0.86,0.86,0.86,0.85,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.86,0.85,0.84,0.85,0.88,0.89,0.88,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M38,0.87,0.85,0.85,0.85,0.86,0.86,0.86,0.85,0.83,0.82,0.83,0.84,0.83,0.83,0.85,0.86,0.85,0.84,0.85,0.88,0.89,0.88,0.88,0.89,0.88,0.91,0.95,0.96,0.99,0.11
F2.M39,0.87,0.85,0.85,0.84,0.86,0.86,0.86,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.86,0.86,0.85,0.85,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M40,0.87,0.86,0.83,0.82,0.83,0.84,0.85,0.81,0.81,0.82,0.84,0.85,0.85,0.86,0.87,0.88,0.91,0.89,0.88,0.92,0.94,0.91,0.91,0.92,0.91,0.93,0.97,0.96,0.99,0.11
F2.M41,0.87,0.86,0.84,0.85,0.87,0.86,0.86,0.85,0.83,0.82,0.84,0.84,0.83,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.88,0.88,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F2.M42,0.84,0.83,0.84,0.84,0.86,0.88,0.88,0.86,0.85,0.87,0.87,0.87,0.86,0.87,0.88,0.87,0.89,0.89,0.89,0.90,0.92,0.91,0.91,0.91,0.90,0.91,0.95,0.96,0.99,0.11
F2.M43,0.87,0.86,0.85,0.84,0.86,0.86,0.86,0.85,0.83,0.82,0.84,0.84,0.83,0.84,0.84,0.86,0.86,0.84,0.86,0.87,0.88,0.88,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F2.M44,0.87,0.85,0.85,0.85,0.86,0.86,0.86,0.85,0.83,0.83,0.83,0.84,0.83,0.83,0.84,0.86,0.85,0.84,0.85,0.88,0.89,0.88,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M45,0.87,0.86,0.84,0.83,0.85,0.84,0.84,0.82,0.81,0.82,0.84,0.84,0.83,0.82,0.84,0.85,0.86,0.86,0.88,0.90,0.92,0.92,0.92,0.93,0.92,0.92,0.96,0.97,0.99,0.11
F2.M46,0.87,0.85,0.83,0.82,0.88,0.86,0.86,0.85,0.83,0.82,0.80,0.82,0.83,0.82,0.84,0.84,0.83,0.82,0.83,0.86,0.87,0.87,0.86,0.87,0.86,0.89,0.94,0.95,0.98,0.11
