CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F2.M81,0.87,0.86,0.84,0.84,0.86,0.87,0.86,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.91,0.95,0.96,0.99,0.11
F2.M82,0.71,0.59,0.60,0.64,0.66,0.69,0.71,0.71,0.72,0.76,0.78,0.78,0.79,0.79,0.80,0.82,0.84,0.88,0.89,0.92,0.94,0.95,0.95,0.95,0.95,0.97,0.99,0.99,1.00,0.11
F2.M83,0.71,0.59,0.60,0.64,0.66,0.69,0.72,0.71,0.71,0.73,0.75,0.75,0.75,0.76,0.78,0.78,0.80,0.81,0.80,0.84,0.84,0.84,0.86,0.87,0.89,0.92,0.95,0.98,1.00,0.11
F2.M84,0.72,0.71,0.71,0.75,0.74,0.75,0.76,0.77,0.78,0.80,0.81,0.81,0.79,0.81,0.82,0.83,0.83,0.84,0.82,0.84,0.85,0.87,0.88,0.88,0.90,0.93,0.94,0.97,1.00,0.11
F2.M85,0.71,0.60,0.62,0.68,0.70,0.73,0.76,0.73,0.75,0.77,0.76,0.79,0.78,0.76,0.77,0.81,0.85,0.85,0.82,0.84,0.84,0.86,0.87,0.88,0.92,0.93,0.96,0.98,1.00,0.11
F2.M86,0.77,0.72,0.68,0.70,0.71,0.72,0.72,0.72,0.75,0.78,0.78,0.79,0.75,0.76,0.78,0.79,0.80,0.85,0.83,0.85,0.86,0.85,0.86,0.88,0.90,0.93,0.97,0.99,1.00,0.11
F2.M87,0.71,0.65,0.69,0.72,0.71,0.71,0.73,0.74,0.73,0.77,0.78,0.77,0.78,0.80,0.83,0.85,0.86,0.87,0.88,0.90,0.92,0.95,0.96,0.96,0.96,0.98,0.98,0.99,1.00,0.11
F2.M88,0.87,0.86,0.84,0.85,0.86,0.86,0.86,0.85,0.83,0.82,0.83,0.84,0.83,0.83,0.84,0.86,0.85,0.85,0.85,0.88,0.89,0.88,0.88,0.89,0.88,0.91,0.95,0.96,0.99,0.11
F2.M89,0.87,0.77,0.72,0.77,0.81,0.82,0.81,0.80,0.81,0.81,0.83,0.82,0.81,0.81,0.82,0.84,0.83,0.84,0.85,0.85,0.88,0.88,0.87,0.88,0.88,0.91,0.95,0.98,0.99,0.11
F2.M90,0.71,0.59,0.60,0.64,0.66,0.68,0.70,0.71,0.70,0.75,0.74,0.75,0.73,0.76,0.78,0.78,0.81,0.83,0.80,0.83,0.84,0.85,0.86,0.88,0.91,0.92,0.97,0.99,1.00,0.11
F2.M91,0.71,0.59,0.60,0.65,0.66,0.68,0.68,0.68,0.71,0.74,0.77,0.76,0.75,0.76,0.79,0.79,0.79,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.91,0.93,0.96,0.99,1.00,0.11
F2.M92,0.83,0.81,0.81,0.83,0.86,0.85,0.82,0.81,0.81,0.80,0.80,0.82,0.83,0.82,0.85,0.87,0.87,0.85,0.87,0.89,0.90,0.90,0.90,0.90,0.91,0.90,0.95,0.96,0.97,0.11
F2.M93,0.79,0.76,0.76,0.78,0.79,0.82,0.81,0.83,0.81,0.82,0.84,0.85,0.83,0.84,0.85,0.86,0.88,0.88,0.89,0.89,0.91,0.91,0.92,0.94,0.94,0.93,0.96,0.99,1.00,0.11
F2.M94,0.84,0.83,0.85,0.85,0.88,0.88,0.88,0.86,0.84,0.84,0.86,0.86,0.86,0.84,0.86,0.88,0.89,0.89,0.90,0.92,0.93,0.92,0.92,0.93,0.91,0.92,0.96,0.97,0.99,0.11
F2.M95,0.79,0.76,0.75,0.79,0.78,0.78,0.80,0.77,0.77,0.80,0.83,0.82,0.81,0.82,0.84,0.88,0.89,0.90,0.91,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.99,0.99,0.98,0.11
F2.M96,0.79,0.76,0.77,0.81,0.81,0.82,0.80,0.81,0.80,0.81,0.81,0.81,0.80,0.83,0.86,0.87,0.90,0.89,0.88,0.88,0.91,0.93,0.94,0.93,0.94,0.95,0.96,0.98,1.00,0.11
F2.M97,0.77,0.78,0.79,0.78,0.81,0.81,0.81,0.80,0.81,0.82,0.83,0.84,0.84,0.85,0.86,0.88,0.89,0.90,0.90,0.90,0.91,0.93,0.95,0.94,0.96,0.97,0.96,0.97,0.98,0.11
F2.M98,0.79,0.75,0.74,0.75,0.78,0.80,0.80,0.75,0.79,0.77,0.80,0.80,0.78,0.81,0.84,0.86,0.87,0.89,0.87,0.90,0.92,0.92,0.93,0.94,0.95,0.95,0.97,0.97,0.98,0.11
F2.M99,0.79,0.75,0.75,0.78,0.80,0.81,0.79,0.79,0.81,0.80,0.81,0.81,0.80,0.83,0.85,0.88,0.89,0.90,0.90,0.90,0.92,0.92,0.95,0.96,0.95,0.96,0.97,0.98,0.98,0.11
F2.M100,0.79,0.75,0.75,0.78,0.80,0.81,0.79,0.79,0.81,0.80,0.81,0.81,0.80,0.83,0.85,0.88,0.89,0.90,0.90,0.90,0.92,0.92,0.95,0.96,0.95,0.96,0.97,0.98,0.98,0.11
F2.M101,0.84,0.83,0.84,0.86,0.89,0.88,0.88,0.86,0.84,0.84,0.85,0.86,0.85,0.83,0.86,0.88,0.89,0.88,0.90,0.91,0.93,0.91,0.92,0.92,0.90,0.92,0.96,0.97,0.99,0.11
F2.M102,0.82,0.80,0.78,0.84,0.85,0.88,0.86,0.83,0.82,0.84,0.85,0.85,0.85,0.83,0.86,0.89,0.89,0.89,0.90,0.90,0.92,0.92,0.91,0.93,0.92,0.93,0.95,0.97,0.99,0.11
F2.M103,0.79,0.76,0.78,0.80,0.81,0.82,0.80,0.82,0.82,0.83,0.83,0.82,0.83,0.84,0.86,0.87,0.91,0.92,0.90,0.89,0.92,0.93,0.96,0.96,0.96,0.96,0.98,0.99,1.00,0.11
F2.M104,0.79,0.76,0.77,0.80,0.81,0.82,0.79,0.81,0.82,0.82,0.83,0.83,0.82,0.83,0.86,0.87,0.91,0.92,0.91,0.88,0.91,0.94,0.96,0.96,0.95,0.96,0.98,0.99,1.00,0.11
F2.M105,0.79,0.76,0.77,0.80,0.80,0.82,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.84,0.86,0.87,0.91,0.92,0.90,0.89,0.92,0.93,0.95,0.96,0.95,0.96,0.98,0.99,1.00,0.11
F2.M106,0.82,0.82,0.82,0.83,0.86,0.87,0.86,0.84,0.82,0.84,0.86,0.87,0.89,0.89,0.89,0.88,0.91,0.91,0.91,0.93,0.93,0.92,0.93,0.92,0.92,0.93,0.94,0.96,0.97,0.11
F2.M107,0.72,0.73,0.75,0.76,0.76,0.75,0.76,0.80,0.82,0.83,0.86,0.85,0.84,0.86,0.87,0.88,0.89,0.91,0.92,0.92,0.94,0.92,0.95,0.94,0.93,0.95,0.97,0.98,1.00,0.11
F2.M108,0.82,0.83,0.81,0.83,0.85,0.86,0.86,0.86,0.87,0.88,0.89,0.92,0.91,0.90,0.90,0.91,0.94,0.94,0.93,0.96,0.97,0.95,0.95,0.95,0.94,0.95,0.98,0.98,1.00,0.11
F2.M109,0.72,0.71,0.71,0.74,0.73,0.73,0.75,0.76,0.78,0.79,0.82,0.81,0.82,0.83,0.83,0.86,0.86,0.88,0.90,0.92,0.93,0.93,0.95,0.96,0.97,0.97,0.99,0.99,0.99,0.11
F2.M110,0.72,0.71,0.71,0.74,0.74,0.74,0.76,0.77,0.77,0.79,0.81,0.82,0.80,0.82,0.83,0.85,0.85,0.89,0.90,0.92,0.93,0.93,0.93,0.93,0.93,0.95,0.96,0.99,1.00,0.11
F2.M111,0.72,0.71,0.71,0.74,0.74,0.74,0.76,0.77,0.77,0.78,0.80,0.81,0.80,0.81,0.83,0.85,0.87,0.89,0.89,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.96,0.97,0.99,0.11
F2.M112,0.72,0.71,0.72,0.74,0.76,0.75,0.75,0.76,0.79,0.80,0.81,0.83,0.83,0.84,0.85,0.85,0.88,0.90,0.90,0.90,0.92,0.94,0.92,0.93,0.94,0.93,0.96,0.98,0.99,0.11
F2.M113,0.72,0.71,0.71,0.74,0.76,0.75,0.75,0.77,0.79,0.79,0.81,0.82,0.82,0.84,0.85,0.86,0.88,0.91,0.90,0.91,0.93,0.93,0.94,0.94,0.94,0.94,0.97,0.98,0.99,0.11
F2.M114,0.72,0.72,0.73,0.76,0.77,0.76,0.77,0.78,0.80,0.79,0.80,0.82,0.83,0.85,0.87,0.89,0.91,0.94,0.94,0.94,0.95,0.96,0.97,0.98,0.98,0.99,0.98,0.99,0.99,0.11
F2.M115,0.82,0.83,0.82,0.83,0.85,0.86,0.86,0.85,0.86,0.88,0.89,0.91,0.91,0.90,0.90,0.91,0.93,0.94,0.93,0.95,0.96,0.94,0.95,0.95,0.94,0.95,0.98,0.98,1.00,0.11
F2.M116,0.83,0.79,0.77,0.81,0.79,0.84,0.83,0.81,0.83,0.86,0.86,0.86,0.88,0.87,0.88,0.88,0.89,0.92,0.92,0.95,0.96,0.95,0.96,0.96,0.95,0.96,0.98,0.99,1.00,0.11
F2.M117,0.72,0.71,0.71,0.74,0.75,0.75,0.76,0.78,0.80,0.81,0.82,0.83,0.82,0.85,0.85,0.87,0.90,0.92,0.91,0.92,0.94,0.94,0.95,0.95,0.95,0.96,0.97,0.99,1.00,0.11
F2.M118,0.72,0.71,0.71,0.74,0.75,0.74,0.76,0.78,0.79,0.80,0.82,0.82,0.82,0.84,0.85,0.87,0.89,0.90,0.91,0.92,0.95,0.95,0.95,0.94,0.95,0.96,0.97,0.98,1.00,0.11
F2.M119,0.72,0.71,0.71,0.74,0.75,0.75,0.76,0.78,0.80,0.81,0.82,0.83,0.82,0.85,0.85,0.87,0.90,0.93,0.91,0.92,0.94,0.94,0.95,0.95,0.95,0.96,0.97,0.99,1.00,0.11
F2.M120,0.74,0.75,0.77,0.78,0.77,0.79,0.80,0.81,0.81,0.83,0.84,0.85,0.85,0.86,0.89,0.91,0.91,0.94,0.93,0.94,0.96,0.96,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.11
F3.M1,0.87,0.85,0.85,0.84,0.86,0.86,0.86,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.86,0.86,0.86,0.85,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F3.M2,0.87,0.86,0.83,0.82,0.83,0.84,0.85,0.83,0.81,0.82,0.85,0.87,0.87,0.87,0.87,0.88,0.90,0.90,0.89,0.93,0.94,0.92,0.91,0.91,0.91,0.93,0.96,0.95,0.98,0.11
F3.M3,0.87,0.86,0.83,0.82,0.83,0.84,0.85,0.83,0.81,0.82,0.85,0.87,0.87,0.87,0.87,0.89,0.90,0.89,0.89,0.92,0.94,0.92,0.91,0.91,0.91,0.93,0.96,0.95,0.98,0.11
F3.M4,0.87,0.86,0.83,0.82,0.83,0.83,0.84,0.82,0.82,0.82,0.85,0.86,0.87,0.87,0.87,0.88,0.90,0.90,0.89,0.92,0.94,0.92,0.91,0.91,0.91,0.93,0.96,0.95,0.98,0.11
F3.M5,0.87,0.86,0.85,0.84,0.86,0.86,0.87,0.86,0.84,0.83,0.84,0.85,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.98,0.11
F3.M6,0.87,0.86,0.85,0.84,0.86,0.86,0.87,0.86,0.84,0.83,0.85,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M7,0.87,0.86,0.85,0.84,0.86,0.87,0.87,0.85,0.84,0.83,0.85,0.85,0.85,0.84,0.84,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.87,0.91,0.95,0.96,0.98,0.11
F3.M8,0.87,0.86,0.83,0.81,0.83,0.81,0.81,0.79,0.78,0.80,0.82,0.83,0.85,0.83,0.83,0.85,0.85,0.87,0.87,0.90,0.90,0.90,0.90,0.90,0.90,0.92,0.95,0.95,0.97,0.11
F3.M9,0.71,0.59,0.62,0.67,0.71,0.72,0.75,0.76,0.77,0.82,0.84,0.84,0.84,0.84,0.85,0.88,0.88,0.89,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.97,0.99,0.99,1.00,0.11
F3.M10,0.87,0.86,0.83,0.82,0.83,0.84,0.86,0.84,0.84,0.83,0.85,0.87,0.86,0.86,0.87,0.89,0.91,0.90,0.90,0.92,0.93,0.92,0.92,0.91,0.92,0.93,0.96,0.96,0.98,0.11
F3.M11,0.84,0.84,0.84,0.83,0.86,0.87,0.88,0.86,0.85,0.87,0.87,0.88,0.87,0.87,0.88,0.88,0.89,0.89,0.88,0.90,0.92,0.89,0.90,0.90,0.89,0.91,0.95,0.96,0.99,0.11
F3.M12,0.84,0.84,0.84,0.84,0.86,0.87,0.88,0.86,0.85,0.87,0.87,0.89,0.87,0.87,0.88,0.88,0.89,0.89,0.89,0.90,0.92,0.90,0.90,0.90,0.89,0.91,0.95,0.96,0.99,0.11
F3.M13,0.84,0.84,0.84,0.84,0.86,0.87,0.88,0.86,0.85,0.87,0.87,0.89,0.87,0.87,0.89,0.88,0.89,0.89,0.89,0.91,0.92,0.90,0.91,0.90,0.89,0.91,0.95,0.96,0.99,0.11
F3.M14,0.84,0.84,0.83,0.83,0.85,0.85,0.83,0.83,0.81,0.81,0.83,0.85,0.86,0.86,0.87,0.87,0.88,0.87,0.86,0.90,0.89,0.89,0.91,0.91,0.90,0.91,0.93,0.96,0.97,0.11
F3.M15,0.72,0.72,0.74,0.74,0.73,0.74,0.75,0.79,0.80,0.83,0.84,0.83,0.82,0.84,0.85,0.87,0.88,0.90,0.90,0.91,0.93,0.94,0.96,0.96,0.96,0.97,0.98,0.99,1.00,0.11
F3.M16,0.84,0.84,0.82,0.84,0.85,0.87,0.87,0.87,0.86,0.88,0.90,0.89,0.88,0.89,0.90,0.90,0.92,0.94,0.93,0.95,0.95,0.94,0.94,0.94,0.92,0.94,0.97,0.96,0.99,0.11
F3.M17,0.84,0.83,0.82,0.84,0.85,0.86,0.85,0.83,0.83,0.84,0.84,0.86,0.86,0.88,0.89,0.89,0.89,0.87,0.88,0.88,0.89,0.88,0.87,0.89,0.89,0.91,0.93,0.96,0.98,0.11
F3.M18,0.72,0.72,0.74,0.75,0.76,0.77,0.77,0.81,0.83,0.82,0.85,0.84,0.82,0.86,0.87,0.86,0.87,0.87,0.86,0.87,0.89,0.87,0.90,0.89,0.91,0.93,0.95,0.98,1.00,0.11
F3.M19,0.84,0.84,0.83,0.84,0.86,0.87,0.88,0.87,0.86,0.88,0.89,0.90,0.89,0.89,0.88,0.89,0.91,0.91,0.89,0.91,0.93,0.92,0.91,0.91,0.91,0.92,0.95,0.97,0.99,0.11
F3.M20,0.72,0.71,0.71,0.74,0.73,0.73,0.75,0.78,0.78,0.78,0.80,0.80,0.79,0.81,0.82,0.84,0.86,0.88,0.90,0.93,0.92,0.93,0.94,0.95,0.95,0.97,0.98,0.99,0.99,0.11
F3.M21,0.87,0.86,0.85,0.84,0.86,0.86,0.86,0.85,0.84,0.82,0.85,0.85,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.88,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M22,0.87,0.86,0.85,0.84,0.86,0.86,0.86,0.86,0.84,0.82,0.85,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M23,0.87,0.86,0.85,0.84,0.86,0.86,0.87,0.86,0.83,0.82,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.98,0.11
F3.M24,0.87,0.86,0.83,0.82,0.83,0.83,0.80,0.80,0.78,0.78,0.79,0.82,0.83,0.83,0.84,0.86,0.87,0.86,0.86,0.88,0.89,0.88,0.91,0.91,0.90,0.91,0.94,0.95,0.97,0.11
F3.M25,0.71,0.59,0.62,0.67,0.71,0.73,0.75,0.76,0.77,0.82,0.84,0.84,0.84,0.84,0.86,0.88,0.88,0.89,0.91,0.92,0.94,0.94,0.95,0.96,0.97,0.97,0.99,0.99,1.00,0.11
F3.M26,0.87,0.86,0.83,0.81,0.83,0.85,0.85,0.83,0.83,0.83,0.84,0.87,0.86,0.87,0.87,0.89,0.91,0.91,0.90,0.93,0.94,0.92,0.92,0.92,0.92,0.93,0.97,0.96,0.99,0.11
F3.M27,0.87,0.86,0.85,0.84,0.86,0.86,0.87,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M28,0.71,0.59,0.62,0.69,0.70,0.73,0.78,0.74,0.75,0.78,0.81,0.81,0.78,0.81,0.80,0.81,0.81,0.85,0.83,0.84,0.87,0.87,0.87,0.88,0.89,0.91,0.95,0.98,1.00,0.11
F3.M29,0.87,0.86,0.84,0.84,0.86,0.86,0.87,0.86,0.84,0.82,0.85,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.87,0.89,0.89,0.88,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M30,0.71,0.59,0.62,0.67,0.71,0.72,0.75,0.76,0.77,0.82,0.84,0.84,0.83,0.84,0.85,0.87,0.88,0.89,0.91,0.92,0.94,0.95,0.95,0.96,0.97,0.97,0.99,0.99,1.00,0.11
F3.M31,0.84,0.81,0.81,0.80,0.84,0.84,0.81,0.81,0.81,0.81,0.81,0.83,0.85,0.84,0.85,0.87,0.85,0.84,0.85,0.86,0.86,0.84,0.84,0.87,0.87,0.90,0.93,0.95,0.97,0.11
F3.M32,0.72,0.72,0.74,0.75,0.76,0.78,0.77,0.81,0.83,0.82,0.85,0.85,0.83,0.87,0.87,0.86,0.88,0.87,0.86,0.87,0.89,0.87,0.90,0.89,0.90,0.94,0.95,0.98,1.00,0.11
F3.M33,0.83,0.84,0.83,0.84,0.86,0.87,0.88,0.86,0.87,0.88,0.88,0.90,0.89,0.89,0.89,0.89,0.91,0.91,0.90,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.95,0.97,0.99,0.11
F3.M34,0.72,0.72,0.74,0.74,0.73,0.73,0.75,0.76,0.78,0.81,0.81,0.82,0.80,0.80,0.81,0.83,0.83,0.87,0.88,0.90,0.92,0.92,0.93,0.93,0.95,0.95,0.97,0.97,0.98,0.11
F3.M35,0.72,0.72,0.74,0.75,0.76,0.78,0.77,0.80,0.83,0.82,0.85,0.85,0.82,0.86,0.86,0.86,0.87,0.87,0.86,0.87,0.89,0.87,0.90,0.89,0.90,0.93,0.95,0.98,1.00,0.11
F3.M36,0.87,0.85,0.85,0.84,0.86,0.86,0.86,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.86,0.86,0.86,0.85,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F3.M37,0.86,0.86,0.85,0.84,0.86,0.86,0.86,0.85,0.83,0.83,0.84,0.84,0.84,0.84,0.86,0.86,0.86,0.86,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F3.M38,0.87,0.86,0.85,0.84,0.86,0.86,0.87,0.85,0.83,0.83,0.83,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.91,0.95,0.96,0.98,0.11
F3.M39,0.87,0.86,0.83,0.82,0.82,0.81,0.79,0.79,0.77,0.79,0.81,0.82,0.83,0.82,0.84,0.85,0.87,0.87,0.88,0.89,0.89,0.89,0.90,0.90,0.90,0.92,0.94,0.96,0.97,0.11
F3.M40,0.77,0.70,0.68,0.69,0.71,0.71,0.74,0.75,0.75,0.81,0.82,0.81,0.80,0.80,0.84,0.86,0.87,0.88,0.91,0.91,0.94,0.95,0.95,0.96,0.96,0.97,0.99,1.00,1.00,0.11
F3.M41,0.86,0.85,0.83,0.81,0.83,0.84,0.85,0.82,0.82,0.82,0.84,0.86,0.86,0.87,0.87,0.88,0.91,0.90,0.89,0.93,0.94,0.92,0.91,0.92,0.92,0.93,0.97,0.96,0.99,0.11
F3.M42,0.87,0.84,0.83,0.84,0.86,0.84,0.82,0.82,0.81,0.80,0.81,0.83,0.83,0.81,0.82,0.83,0.83,0.84,0.83,0.86,0.86,0.86,0.85,0.86,0.87,0.90,0.94,0.96,0.97,0.11
F3.M43,0.71,0.59,0.62,0.69,0.70,0.73,0.78,0.75,0.75,0.78,0.82,0.82,0.79,0.80,0.81,0.82,0.81,0.85,0.84,0.84,0.88,0.87,0.87,0.87,0.89,0.91,0.95,0.98,1.00,0.11
F3.M44,0.87,0.86,0.84,0.84,0.86,0.87,0.87,0.86,0.83,0.82,0.85,0.85,0.84,0.85,0.86,0.86,0.87,0.86,0.86,0.87,0.89,0.89,0.89,0.88,0.88,0.91,0.95,0.96,0.99,0.11
F3.M45,0.77,0.72,0.67,0.66,0.68,0.69,0.71,0.71,0.73,0.76,0.79,0.76,0.77,0.79,0.80,0.83,0.84,0.87,0.89,0.92,0.93,0.93,0.93,0.94,0.95,0.97,0.99,0.99,1.00,0.11
F3.M46,0.84,0.82,0.81,0.80,0.85,0.84,0.82,0.80,0.80,0.79,0.79,0.79,0.82,0.82,0.83,0.84,0.82,0.83,0.83,0.83,0.83,0.83,0.84,0.85,0.87,0.87,0.91,0.95,0.97,0.11
F3.M47,0.71,0.71,0.74,0.76,0.75,0.77,0.78,0.81,0.83,0.83,0.85,0.84,0.82,0.86,0.86,0.86,0.87,0.88,0.86,0.87,0.88,0.87,0.90,0.89,0.90,0.93,0.95,0.98,1.00,0.11
