Name,SDR,Makespan
f.mc.6x5.train.168,SPT,776
f.mc.6x5.train.169,SPT,475
f.mc.6x5.train.170,SPT,537
f.mc.6x5.train.171,SPT,532
f.mc.6x5.train.172,SPT,484
f.mc.6x5.train.173,SPT,608
f.mc.6x5.train.174,SPT,800
f.mc.6x5.train.175,SPT,834
f.mc.6x5.train.176,SPT,1004
f.mc.6x5.train.177,SPT,475
f.mc.6x5.train.178,SPT,480
f.mc.6x5.train.179,SPT,579
f.mc.6x5.train.180,SPT,797
f.mc.6x5.train.181,SPT,687
f.mc.6x5.train.182,SPT,874
f.mc.6x5.train.183,SPT,981
f.mc.6x5.train.184,SPT,516
f.mc.6x5.train.185,SPT,589
f.mc.6x5.train.186,SPT,557
f.mc.6x5.train.187,SPT,607
f.mc.6x5.train.188,SPT,657
f.mc.6x5.train.189,SPT,827
f.mc.6x5.train.190,SPT,887
f.mc.6x5.train.191,SPT,985
f.mc.6x5.train.192,SPT,364
f.mc.6x5.train.193,SPT,508
f.mc.6x5.train.194,SPT,515
f.mc.6x5.train.195,SPT,580
f.mc.6x5.train.196,SPT,617
f.mc.6x5.train.197,SPT,782
f.mc.6x5.train.198,SPT,970
f.mc.6x5.train.199,SPT,352
f.mc.6x5.train.200,SPT,374
f.mc.6x5.train.201,SPT,586
f.mc.6x5.train.202,SPT,632
f.mc.6x5.train.203,SPT,651
f.mc.6x5.train.204,SPT,768
f.mc.6x5.train.205,SPT,880
f.mc.6x5.train.206,SPT,1038
f.mc.6x5.train.207,SPT,398
f.mc.6x5.train.208,SPT,331
f.mc.6x5.train.209,SPT,397
f.mc.6x5.train.210,SPT,580
f.mc.6x5.train.211,SPT,766
f.mc.6x5.train.212,SPT,735
f.mc.6x5.train.213,SPT,660
f.mc.6x5.train.214,SPT,954
f.mc.6x5.train.215,SPT,401
f.mc.6x5.train.216,SPT,698
f.mc.6x5.train.217,SPT,458
f.mc.6x5.train.218,SPT,592
f.mc.6x5.train.219,SPT,647
f.mc.6x5.train.220,SPT,818
f.mc.6x5.train.221,SPT,932
f.mc.6x5.train.222,SPT,359
f.mc.6x5.train.223,SPT,471
f.mc.6x5.train.224,SPT,579
f.mc.6x5.train.225,SPT,780
f.mc.6x5.train.226,SPT,768
f.mc.6x5.train.227,SPT,995
f.mc.6x5.train.228,SPT,725
f.mc.6x5.train.229,SPT,997
f.mc.6x5.train.230,SPT,509
f.mc.6x5.train.231,SPT,546
f.mc.6x5.train.232,SPT,420
f.mc.6x5.train.233,SPT,728
f.mc.6x5.train.234,SPT,669
f.mc.6x5.train.235,SPT,624
f.mc.6x5.train.236,SPT,965
f.mc.6x5.train.237,SPT,236
f.mc.6x5.train.238,SPT,482
f.mc.6x5.train.239,SPT,530
f.mc.6x5.train.240,SPT,584
f.mc.6x5.train.241,SPT,603
f.mc.6x5.train.242,SPT,768
f.mc.6x5.train.243,SPT,885
f.mc.6x5.train.244,SPT,1043
f.mc.6x5.train.245,SPT,357
f.mc.6x5.train.246,SPT,533
f.mc.6x5.train.247,SPT,554
f.mc.6x5.train.248,SPT,829
f.mc.6x5.train.249,SPT,670
f.mc.6x5.train.250,SPT,520
f.mc.6x5.train.251,SPT,947
f.mc.6x5.train.252,SPT,888
f.mc.6x5.train.253,SPT,529
f.mc.6x5.train.254,SPT,289
f.mc.6x5.train.255,SPT,537
f.mc.6x5.train.256,SPT,608
f.mc.6x5.train.257,SPT,764
f.mc.6x5.train.258,SPT,679
f.mc.6x5.train.259,SPT,807
f.mc.6x5.train.260,SPT,435
f.mc.6x5.train.261,SPT,511
f.mc.6x5.train.262,SPT,691
f.mc.6x5.train.263,SPT,666
f.mc.6x5.train.264,SPT,733
f.mc.6x5.train.265,SPT,753
f.mc.6x5.train.266,SPT,1110
f.mc.6x5.train.267,SPT,885
f.mc.6x5.train.268,SPT,571
f.mc.6x5.train.269,SPT,528
f.mc.6x5.train.270,SPT,653
f.mc.6x5.train.271,SPT,774
f.mc.6x5.train.272,SPT,720
f.mc.6x5.train.273,SPT,789
f.mc.6x5.train.274,SPT,931
f.mc.6x5.train.275,SPT,393
f.mc.6x5.train.276,SPT,449
f.mc.6x5.train.277,SPT,460
f.mc.6x5.train.278,SPT,621
f.mc.6x5.train.279,SPT,673
f.mc.6x5.train.280,SPT,798
f.mc.6x5.train.281,SPT,701
f.mc.6x5.train.282,SPT,792
f.mc.6x5.train.283,SPT,431
f.mc.6x5.train.284,SPT,555
f.mc.6x5.train.285,SPT,635
f.mc.6x5.train.286,SPT,634
f.mc.6x5.train.287,SPT,710
f.mc.6x5.train.288,SPT,961
f.mc.6x5.train.289,SPT,1041
