Problem,Step,Track,V1
f.mc,1,SPT,3000
f.mc,1,LPT,3000
f.mc,1,LWR,3000
f.mc,1,MWR,3000
f.mc,1,RND,3000
f.mc,1,OPT,3000
f.mc,1,ES.rho,3000
f.mc,1,ES.Cmax,3000
f.mc,2,SPT,3000
f.mc,2,LPT,3000
f.mc,2,LWR,3000
f.mc,2,MWR,3000
f.mc,2,RND,3000
f.mc,2,OPT,3000
f.mc,2,ES.rho,3000
f.mc,2,ES.Cmax,3000
f.mc,3,SPT,3000
f.mc,3,LPT,3000
f.mc,3,LWR,3000
f.mc,3,MWR,3000
f.mc,3,RND,3000
f.mc,3,OPT,3000
f.mc,3,ES.rho,3000
f.mc,3,ES.Cmax,3000
f.mc,4,SPT,3000
f.mc,4,LPT,3000
f.mc,4,LWR,3000
f.mc,4,MWR,3000
f.mc,4,RND,3000
f.mc,4,OPT,3000
f.mc,4,ES.rho,3000
f.mc,4,ES.Cmax,3000
f.mc,5,SPT,3000
f.mc,5,LPT,3000
f.mc,5,LWR,3000
f.mc,5,MWR,3000
f.mc,5,RND,3000
f.mc,5,OPT,3000
f.mc,5,ES.rho,3000
f.mc,5,ES.Cmax,3000
f.mc,6,SPT,2915
f.mc,6,LPT,2910
f.mc,6,LWR,2500
f.mc,6,MWR,3000
f.mc,6,RND,2999
f.mc,6,OPT,2995
f.mc,6,ES.rho,2833
f.mc,6,ES.Cmax,2502
f.mc,7,SPT,2911
f.mc,7,LPT,2903
f.mc,7,LWR,2500
f.mc,7,MWR,3000
f.mc,7,RND,2998
f.mc,7,OPT,2990
f.mc,7,ES.rho,2797
f.mc,7,ES.Cmax,2500
f.mc,8,SPT,2901
f.mc,8,LPT,2895
f.mc,8,LWR,2500
f.mc,8,MWR,3000
f.mc,8,RND,2994
f.mc,8,OPT,2985
f.mc,8,ES.rho,2790
f.mc,8,ES.Cmax,2500
f.mc,9,SPT,2893
f.mc,9,LPT,2889
f.mc,9,LWR,2500
f.mc,9,MWR,3000
f.mc,9,RND,2984
f.mc,9,OPT,2968
f.mc,9,ES.rho,2759
