Problem,Track,Step,Followed,best.mu,worst.mu,mu
f.mxc,SPT,1,FALSE,0.20322,1.41884,0.794972
f.mxc,SPT,1,TRUE,0.18102,0.18102,0.18102
f.mxc,SPT,2,FALSE,0.18102,0.62204,0.324688
f.mxc,SPT,2,TRUE,0.25968,0.25968,0.25968
f.mxc,SPT,3,FALSE,0.25968,3.68848,0.996256
f.mxc,SPT,3,TRUE,0.34276,0.34276,0.34276
f.mxc,SPT,4,FALSE,0.34276,3.88328,1.431476
f.mxc,SPT,4,TRUE,0.42324,0.42324,0.42324
f.mxc,SPT,5,FALSE,0.42324,5.33024,2.019728
f.mxc,SPT,5,TRUE,0.52002,0.52002,0.52002
f.mxc,SPT,6,FALSE,0.5208,5.27258,2.360672
f.mxc,SPT,6,TRUE,0.65928,0.65928,0.65928
f.mxc,SPT,7,FALSE,1.11418,6.349,3.071168
f.mxc,SPT,7,TRUE,0.92842,0.92842,0.92842
f.mxc,SPT,8,FALSE,0.92842,6.0159,2.716565
f.mxc,SPT,8,TRUE,0.96644,0.96644,0.96644
f.mxc,SPT,9,FALSE,0.96644,6.91974,3.100092
f.mxc,SPT,9,TRUE,1.05428,1.05428,1.05428
f.mxc,SPT,10,FALSE,1.05428,6.99088,3.300823
f.mxc,SPT,10,TRUE,1.08536,1.08536,1.08536
f.mxc,SPT,11,FALSE,1.39266,7.3121,3.73476466666667
f.mxc,SPT,11,TRUE,1.30324,1.30324,1.30324
f.mxc,SPT,12,FALSE,1.30324,7.28684,3.734376
f.mxc,SPT,12,TRUE,1.32166,1.32166,1.32166
f.mxc,SPT,13,FALSE,1.74846,7.61346,4.25744066666667
f.mxc,SPT,13,TRUE,1.57602,1.57602,1.57602
f.mxc,SPT,14,FALSE,1.57602,7.57772,4.102842
f.mxc,SPT,14,TRUE,1.604,1.604,1.604
f.mxc,SPT,15,FALSE,1.89158,7.8262,4.42590666666667
f.mxc,SPT,15,TRUE,1.77944,1.77944,1.77944
f.mxc,SPT,16,FALSE,2.12726,7.39176,4.472337
f.mxc,SPT,16,TRUE,2.18246,2.18246,2.18246
f.mxc,SPT,17,FALSE,2.18246,8.01262,4.840639
f.mxc,SPT,17,TRUE,2.2976,2.2976,2.2976
f.mxc,SPT,18,FALSE,2.2976,7.93896,4.93678366666667
f.mxc,SPT,18,TRUE,2.35658,2.35658,2.35658
f.mxc,SPT,19,FALSE,3.26836,7.95494,5.572335
f.mxc,SPT,19,TRUE,2.89594,2.89594,2.89594
f.mxc,SPT,20,FALSE,2.89594,7.46906,5.135711
f.mxc,SPT,20,TRUE,2.93706,2.93706,2.93706
f.mxc,SPT,21,FALSE,3.29168,7.62358,5.43010433333333
f.mxc,SPT,21,TRUE,3.38622,3.38622,3.38622
f.mxc,SPT,22,FALSE,3.71504,7.8398,5.82213366666667
f.mxc,SPT,22,TRUE,3.55802,3.55802,3.55802
f.mxc,SPT,23,FALSE,4.26958,7.42084,5.94572533333333
f.mxc,SPT,23,TRUE,3.85748,3.85748,3.85748
f.mxc,SPT,24,FALSE,3.85748,7.06748,5.576337
f.mxc,SPT,24,TRUE,3.87898,3.87898,3.87898
f.mxc,SPT,25,FALSE,5.17428,7.08814,6.190834
f.mxc,SPT,25,TRUE,4.13278,4.13278,4.13278
f.mxc,SPT,26,FALSE,5.07113065326633,6.94708542713568,6.06754396984925
f.mxc,SPT,26,TRUE,4.2748,4.2748,4.2748
f.mxc,SPT,27,FALSE,6.57389830508475,8.09250847457627,7.37110169491525
f.mxc,SPT,27,TRUE,4.62692,4.62692,4.62692
f.mxc,SPT,28,FALSE,7.08286458333333,8.79171875,7.93729166666667
f.mxc,SPT,28,TRUE,4.84586,4.84586,4.84586
f.mxc,SPT,29,FALSE,8.38793103448276,8.38793103448276,8.38793103448276
f.mxc,SPT,29,TRUE,4.94964,4.94964,4.94964
f.mxc,SPT,30,TRUE,4.94964,4.94964,4.94964
f.mxc,LPT,1,FALSE,0.00348,1.21064,0.556868
f.mxc,LPT,1,TRUE,1.37154,1.37154,1.37154
f.mxc,LPT,2,FALSE,1.37154,1.6474,1.448644
f.mxc,LPT,2,TRUE,1.41062,1.41062,1.41062
f.mxc,LPT,3,FALSE,1.41062,1.64178,1.46458
f.mxc,LPT,3,TRUE,1.41632,1.41632,1.41632
f.mxc,LPT,4,FALSE,1.41632,1.63262,1.465368
f.mxc,LPT,4,TRUE,1.41928,1.41928,1.41928
f.mxc,LPT,5,FALSE,1.41928,1.61264,1.460836
f.mxc,LPT,5,TRUE,1.43012,1.43012,1.43012
f.mxc,LPT,6,FALSE,1.43064,1.49604,1.446356
f.mxc,LPT,6,TRUE,1.44366,1.44366,1.44366
f.mxc,LPT,7,FALSE,1.44366,1.49524,1.455527
f.mxc,LPT,7,TRUE,1.4596,1.4596,1.4596
