Problem,Step,Track,V1
f.rndn,1,SPT,3000
f.rndn,1,LPT,3000
f.rndn,1,LWR,3000
f.rndn,1,MWR,3000
f.rndn,1,RND,3000
f.rndn,1,OPT,3000
f.rndn,1,CMA-ES,3000
f.rndn,2,SPT,3000
f.rndn,2,LPT,3000
f.rndn,2,LWR,3000
f.rndn,2,MWR,3000
f.rndn,2,RND,3000
f.rndn,2,OPT,3000
f.rndn,2,CMA-ES,3000
f.rndn,3,SPT,3000
f.rndn,3,LPT,3000
f.rndn,3,LWR,3000
f.rndn,3,MWR,3000
f.rndn,3,RND,3000
f.rndn,3,OPT,3000
f.rndn,3,CMA-ES,3000
f.rndn,4,SPT,3000
f.rndn,4,LPT,3000
f.rndn,4,LWR,3000
f.rndn,4,MWR,3000
f.rndn,4,RND,3000
f.rndn,4,OPT,3000
f.rndn,4,CMA-ES,3000
f.rndn,5,SPT,3000
f.rndn,5,LPT,3000
f.rndn,5,LWR,3000
f.rndn,5,MWR,3000
f.rndn,5,RND,3000
f.rndn,5,OPT,3000
f.rndn,5,CMA-ES,3000
f.rndn,6,SPT,2989
f.rndn,6,LPT,2989
f.rndn,6,LWR,2500
f.rndn,6,MWR,3000
f.rndn,6,RND,3000
f.rndn,6,OPT,2979
f.rndn,6,CMA-ES,3000
f.rndn,7,SPT,2958
f.rndn,7,LPT,2963
f.rndn,7,LWR,2500
f.rndn,7,MWR,3000
f.rndn,7,RND,2999
f.rndn,7,OPT,2954
f.rndn,7,CMA-ES,3000
f.rndn,8,SPT,2921
f.rndn,8,LPT,2921
f.rndn,8,LWR,2500
f.rndn,8,MWR,3000
f.rndn,8,RND,2995
f.rndn,8,OPT,2925
f.rndn,8,CMA-ES,3000
f.rndn,9,SPT,2873
f.rndn,9,LPT,2874
f.rndn,9,LWR,2500
f.rndn,9,MWR,3000
f.rndn,9,RND,2989
f.rndn,9,OPT,2889
f.rndn,9,CMA-ES,3000
f.rndn,10,SPT,2810
f.rndn,10,LPT,2809
f.rndn,10,LWR,2500
f.rndn,10,MWR,3000
f.rndn,10,RND,2976
f.rndn,10,OPT,2847
f.rndn,10,CMA-ES,2745
f.rndn,11,SPT,2742
f.rndn,11,LPT,2744
f.rndn,11,LWR,2000
f.rndn,11,MWR,3000
f.rndn,11,RND,2962
f.rndn,11,OPT,2813
f.rndn,11,CMA-ES,2504
f.rndn,12,SPT,2657
f.rndn,12,LPT,2685
f.rndn,12,LWR,2000
f.rndn,12,MWR,3000
f.rndn,12,RND,2937
f.rndn,12,OPT,2769
f.rndn,12,CMA-ES,2504
f.rndn,13,SPT,2570
f.rndn,13,LPT,2588
f.rndn,13,LWR,2000
f.rndn,13,MWR,3000
f.rndn,13,RND,2910
f.rndn,13,OPT,2727
f.rndn,13,CMA-ES,2456
f.rndn,14,SPT,2473
f.rndn,14,LPT,2495
f.rndn,14,LWR,2000
f.rndn,14,MWR,3000
f.rndn,14,RND,2871
f.rndn,14,OPT,2661
f.rndn,14,CMA-ES,2219
f.rndn,15,SPT,2386
f.rndn,15,LPT,2391
f.rndn,15,LWR,2000
f.rndn,15,MWR,3000
f.rndn,15,RND,2820
f.rndn,15,OPT,2591
f.rndn,15,CMA-ES,2000
f.rndn,16,SPT,2281
f.rndn,16,LPT,2291
f.rndn,16,LWR,1500
f.rndn,16,MWR,3000
f.rndn,16,RND,2756
f.rndn,16,OPT,2521
f.rndn,16,CMA-ES,1500
f.rndn,17,SPT,2166
f.rndn,17,LPT,2183
f.rndn,17,LWR,1500
f.rndn,17,MWR,3000
f.rndn,17,RND,2680
f.rndn,17,OPT,2444
f.rndn,17,CMA-ES,1500
f.rndn,18,SPT,2043
f.rndn,18,LPT,2054
f.rndn,18,LWR,1500
f.rndn,18,MWR,3000
f.rndn,18,RND,2598
f.rndn,18,OPT,2366
f.rndn,18,CMA-ES,1500
f.rndn,19,SPT,1917
f.rndn,19,LPT,1937
f.rndn,19,LWR,1500
f.rndn,19,MWR,3000
f.rndn,19,RND,2482
f.rndn,19,OPT,2286
f.rndn,19,CMA-ES,1500
f.rndn,20,SPT,1803
f.rndn,20,LPT,1812
f.rndn,20,LWR,1500
f.rndn,20,MWR,3000
f.rndn,20,RND,2381
f.rndn,20,OPT,2187
f.rndn,20,CMA-ES,1500
f.rndn,21,SPT,1677
f.rndn,21,LPT,1682
f.rndn,21,LWR,1000
f.rndn,21,MWR,3000
f.rndn,21,RND,2249
f.rndn,21,OPT,2074
f.rndn,21,CMA-ES,1000
f.rndn,22,SPT,1543
f.rndn,22,LPT,1549
f.rndn,22,LWR,1000
f.rndn,22,MWR,3000
f.rndn,22,RND,2118
f.rndn,22,OPT,1962
f.rndn,22,CMA-ES,1000
f.rndn,23,SPT,1406
f.rndn,23,LPT,1404
f.rndn,23,LWR,1000
f.rndn,23,MWR,3000
f.rndn,23,RND,1957
f.rndn,23,OPT,1859
f.rndn,23,CMA-ES,1000
f.rndn,24,SPT,1275
f.rndn,24,LPT,1280
f.rndn,24,LWR,1000
f.rndn,24,MWR,3000
f.rndn,24,RND,1788
f.rndn,24,OPT,1730
f.rndn,24,CMA-ES,1000
f.rndn,25,SPT,1156
f.rndn,25,LPT,1154
f.rndn,25,LWR,1000
f.rndn,25,MWR,3000
f.rndn,25,RND,1626
f.rndn,25,OPT,1585
f.rndn,25,CMA-ES,1000
f.rndn,26,SPT,947
f.rndn,26,LPT,960
f.rndn,26,LWR,500
f.rndn,26,MWR,2500
f.rndn,26,RND,1417
f.rndn,26,OPT,1444
f.rndn,26,CMA-ES,500
f.rndn,27,SPT,793
f.rndn,27,LPT,804
f.rndn,27,LWR,500
f.rndn,27,MWR,2000
f.rndn,27,RND,1211
f.rndn,27,OPT,1254
f.rndn,27,CMA-ES,500
f.rndn,28,SPT,666
f.rndn,28,LPT,675
f.rndn,28,LWR,500
f.rndn,28,MWR,1500
f.rndn,28,RND,984
