Problem,Track,Step,Followed,best.mu,worst.mu,mu
f.jc,LPT,15,FALSE,2.44194,2.47662,2.45249333333333
f.jc,LPT,15,TRUE,2.49248,2.49248,2.49248
f.jc,LPT,16,FALSE,2.49248,2.51702,2.499255
f.jc,LPT,16,TRUE,2.5494,2.5494,2.5494
f.jc,LPT,17,FALSE,2.5494,2.57286,2.55741666666667
f.jc,LPT,17,TRUE,2.62858,2.62858,2.62858
f.jc,LPT,18,FALSE,2.6289,2.6297,2.6293
f.jc,LPT,18,TRUE,2.64828,2.64828,2.64828
f.jc,LPT,19,FALSE,2.64828,2.6577,2.65160666666667
f.jc,LPT,19,TRUE,2.66716,2.66716,2.66716
f.jc,LPT,20,FALSE,2.66716,2.66884,2.668
f.jc,LPT,20,TRUE,2.6938,2.6938,2.6938
f.jc,LPT,21,FALSE,2.69428,2.69428,2.69428
f.jc,LPT,21,TRUE,2.70542,2.70542,2.70542
f.jc,LPT,22,FALSE,2.70542,2.7174,2.71141
f.jc,LPT,22,TRUE,2.77534,2.77534,2.77534
f.jc,LPT,23,FALSE,2.77534,2.77574,2.77554
f.jc,LPT,23,TRUE,2.7844,2.7844,2.7844
f.jc,LPT,24,FALSE,2.7848,2.7848,2.7848
f.jc,LPT,24,TRUE,2.83046,2.83046,2.83046
f.jc,LPT,25,FALSE,2.83086,2.83086,2.83086
f.jc,LPT,25,TRUE,2.83164,2.83164,2.83164
f.jc,LPT,26,FALSE,3.05476635514019,3.05476635514019,3.05476635514019
f.jc,LPT,26,TRUE,2.83164,2.83164,2.83164
f.jc,LPT,27,FALSE,3.01851851851852,3.01851851851852,3.01851851851852
f.jc,LPT,27,TRUE,2.84138,2.84138,2.84138
f.jc,LPT,28,FALSE,2.7748275862069,2.7748275862069,2.7748275862069
f.jc,LPT,28,TRUE,2.85182,2.85182,2.85182
f.jc,LPT,29,FALSE,1.47083333333333,1.47083333333333,1.47083333333333
f.jc,LPT,29,TRUE,2.88016,2.88016,2.88016
f.jc,LPT,30,TRUE,2.88016,2.88016,2.88016
f.jc,LWR,1,FALSE,0.00702,1.27016,0.432684
f.jc,LWR,1,TRUE,0.22556,0.22556,0.22556
f.jc,LWR,2,FALSE,0.22556,1.33624,0.599772
f.jc,LWR,2,TRUE,0.22556,0.22556,0.22556
f.jc,LWR,3,FALSE,0.22556,1.33624,0.599772
f.jc,LWR,3,TRUE,0.22556,0.22556,0.22556
f.jc,LWR,4,FALSE,0.22556,1.33624,0.599772
f.jc,LWR,4,TRUE,0.22556,0.22556,0.22556
f.jc,LWR,5,FALSE,0.22556,1.33624,0.599772
f.jc,LWR,5,TRUE,0.22556,0.22556,0.22556
f.jc,LWR,6,FALSE,0.23336,1.3029,0.640415
f.jc,LWR,6,TRUE,0.4372,0.4372,0.4372
f.jc,LWR,7,FALSE,0.4372,1.36026,0.787045
f.jc,LWR,7,TRUE,0.4372,0.4372,0.4372
f.jc,LWR,8,FALSE,0.4372,1.36026,0.787045
f.jc,LWR,8,TRUE,0.4372,0.4372,0.4372
f.jc,LWR,9,FALSE,0.4372,1.36026,0.787045
f.jc,LWR,9,TRUE,0.4372,0.4372,0.4372
f.jc,LWR,10,FALSE,0.4372,1.36056,0.787335
f.jc,LWR,10,TRUE,0.4372,0.4372,0.4372
f.jc,LWR,11,FALSE,0.47228,1.30146,0.8296
f.jc,LWR,11,TRUE,0.65938,0.65938,0.65938
f.jc,LWR,12,FALSE,0.65938,1.37596,0.96586
f.jc,LWR,12,TRUE,0.65938,0.65938,0.65938
f.jc,LWR,13,FALSE,0.65938,1.37596,0.96586
f.jc,LWR,13,TRUE,0.65938,0.65938,0.65938
f.jc,LWR,14,FALSE,0.65938,1.37596,0.96586
f.jc,LWR,14,TRUE,0.65938,0.65938,0.65938
f.jc,LWR,15,FALSE,0.65938,1.37596,0.96586
f.jc,LWR,15,TRUE,0.65938,0.65938,0.65938
f.jc,LWR,16,FALSE,0.7435,1.27604,1.00977
f.jc,LWR,16,TRUE,0.87804,0.87804,0.87804
f.jc,LWR,17,FALSE,0.87804,1.35458,1.11631
f.jc,LWR,17,TRUE,0.87804,0.87804,0.87804
f.jc,LWR,18,FALSE,0.87804,1.35458,1.11631
f.jc,LWR,18,TRUE,0.87804,0.87804,0.87804
f.jc,LWR,19,FALSE,0.87804,1.35458,1.11631
f.jc,LWR,19,TRUE,0.87804,0.87804,0.87804
f.jc,LWR,20,FALSE,0.87804,1.35458,1.11631
f.jc,LWR,20,TRUE,0.87804,0.87804,0.87804
f.jc,LWR,21,FALSE,1.10126,1.10126,1.10126
f.jc,LWR,21,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,22,FALSE,1.13136,1.13136,1.13136
f.jc,LWR,22,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,23,FALSE,1.13136,1.13136,1.13136
f.jc,LWR,23,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,24,FALSE,1.13136,1.13136,1.13136
f.jc,LWR,24,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,25,FALSE,1.13136,1.13136,1.13136
f.jc,LWR,25,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,26,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,27,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,28,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,29,TRUE,1.13136,1.13136,1.13136
f.jc,LWR,30,TRUE,1.13136,1.13136,1.13136
f.jc,MWR,1,FALSE,0.0045,0.79352,0.265792
f.jc,MWR,1,TRUE,1.06002,1.06002,1.06002
f.jc,MWR,2,FALSE,1.06002,1.15256,1.090748
f.jc,MWR,2,TRUE,1.09852,1.09852,1.09852
f.jc,MWR,3,FALSE,1.09852,7.88652,2.460232
f.jc,MWR,3,TRUE,1.14712,1.14712,1.14712
f.jc,MWR,4,FALSE,1.14712,5.66846,2.521292
f.jc,MWR,4,TRUE,1.21556,1.21556,1.21556
f.jc,MWR,5,FALSE,1.21556,6.48532,2.600232
f.jc,MWR,5,TRUE,1.3745,1.3745,1.3745
f.jc,MWR,6,FALSE,1.3745,7.27932,2.832184
f.jc,MWR,6,TRUE,1.3958,1.3958,1.3958
f.jc,MWR,7,FALSE,1.40758,7.92094,3.063948
f.jc,MWR,7,TRUE,1.47542,1.47542,1.47542
f.jc,MWR,8,FALSE,1.47542,8.0636,3.251592
f.jc,MWR,8,TRUE,1.55968,1.55968,1.55968
f.jc,MWR,9,FALSE,1.55968,8.09612,3.410328
f.jc,MWR,9,TRUE,1.65194,1.65194,1.65194
f.jc,MWR,10,FALSE,1.65194,8.02436,3.494816
f.jc,MWR,10,TRUE,1.68589178356713,1.68589178356713,1.68589178356713
f.jc,MWR,11,FALSE,1.68368,8.17854,3.516472
f.jc,MWR,11,TRUE,1.73298,1.73298,1.73298
f.jc,MWR,12,FALSE,1.73298,8.66704,3.658716
f.jc,MWR,12,TRUE,1.84726,1.84726,1.84726
f.jc,MWR,13,FALSE,1.8742,9.12016,3.885092
f.jc,MWR,13,TRUE,1.88936,1.88936,1.88936
f.jc,MWR,14,FALSE,1.88936,9.66636,4.136876
f.jc,MWR,14,TRUE,1.93654,1.93654,1.93654
f.jc,MWR,15,FALSE,1.93654,9.79602,4.2931
f.jc,MWR,15,TRUE,2.07252,2.07252,2.07252
f.jc,MWR,16,FALSE,2.07252,9.95016,4.591759
f.jc,MWR,16,TRUE,2.09606,2.09606,2.09606
f.jc,MWR,17,FALSE,2.09606,10.15256,4.780044
f.jc,MWR,17,TRUE,2.20166,2.20166,2.20166
f.jc,MWR,18,FALSE,2.20166,10.37816,4.924208
f.jc,MWR,18,TRUE,2.28918,2.28918,2.28918
f.jc,MWR,19,FALSE,2.40258,10.70252,5.03749166666667
f.jc,MWR,19,TRUE,2.37934,2.37934,2.37934
f.jc,MWR,20,FALSE,2.37934,11.21232,5.26130566666667
f.jc,MWR,20,TRUE,2.43956,2.43956,2.43956
f.jc,MWR,21,FALSE,2.43956,11.68186,5.58092666666667
f.jc,MWR,21,TRUE,2.555,2.555,2.555
f.jc,MWR,22,FALSE,2.555,11.5493,6.02523566666667
f.jc,MWR,22,TRUE,2.68626,2.68626,2.68626
f.jc,MWR,23,FALSE,2.68626,11.26062,6.38191633333333
f.jc,MWR,23,TRUE,2.80804,2.80804,2.80804
f.jc,MWR,24,FALSE,2.80804,10.91,6.735068
f.jc,MWR,24,TRUE,2.89926,2.89926,2.89926
f.jc,MWR,25,FALSE,3.7058,10.29438,6.866874
f.jc,MWR,25,TRUE,3.28264,3.28264,3.28264
f.jc,MWR,26,FALSE,4.40547094188377,9.42815631262525,6.8309786239145
f.jc,MWR,26,TRUE,3.52646,3.52646,3.52646
f.jc,MWR,27,FALSE,4.87414829659319,8.27346693386774,6.54599866399466
f.jc,MWR,27,TRUE,3.74122,3.74122,3.74122
f.jc,MWR,28,FALSE,5.11622448979592,7.32622448979592,6.22122448979592
f.jc,MWR,28,TRUE,4.01144,4.01144,4.01144
f.jc,MWR,29,FALSE,5.17683628318584,5.17683628318584,5.17683628318584
f.jc,MWR,29,TRUE,4.14224,4.14224,4.14224
f.jc,MWR,30,TRUE,4.14224,4.14224,4.14224
f.jc,OPT,1,FALSE,0.39922,1.2951,0.795142666666667
f.jc,OPT,1,TRUE,0,0,0
f.jc,OPT,2,FALSE,0.37545643153527,1.06234439834025,0.685354426002766
f.jc,OPT,2,TRUE,0,0,0
f.jc,OPT,3,FALSE,0.576067653276956,2.10735729386892,1.14532945736434
f.jc,OPT,3,TRUE,0,0,0
f.jc,OPT,4,FALSE,0.826796536796537,2.25264069264069,1.45277597402597
f.jc,OPT,4,TRUE,0,0,0
f.jc,OPT,5,FALSE,1.25020089285714,2.80100446428571,1.92963727678571
f.jc,OPT,5,TRUE,0,0,0
f.jc,OPT,6,FALSE,1.52729411764706,3.33317647058824,2.36186862745098
f.jc,OPT,6,TRUE,0,0,0
f.jc,OPT,7,FALSE,2.22276442307692,3.815625,2.97669070512821
f.jc,OPT,7,TRUE,0,0,0
f.jc,OPT,8,FALSE,2.68149509803922,4.18977941176471,3.41057189542484
f.jc,OPT,8,TRUE,0,0,0
f.jc,OPT,9,FALSE,3.15583769633508,4.64858638743455,3.87709205933682
f.jc,OPT,9,TRUE,0,0,0
f.jc,OPT,10,FALSE,3.61905511811024,5.12291338582677,4.3442104111986
f.jc,OPT,10,TRUE,0,0,0
f.jc,OPT,11,FALSE,4.22129380053908,5.63140161725067,4.9036567834681
f.jc,OPT,11,TRUE,0,0,0
f.jc,OPT,12,FALSE,4.68595567867036,6.0887811634349,5.35968144044321
f.jc,OPT,12,TRUE,0,0,0
f.jc,OPT,13,FALSE,4.72797183098592,6.19185915492958,5.43884037558685
f.jc,OPT,13,TRUE,0,0,0
f.jc,OPT,14,FALSE,5.09630681818182,6.46798295454545,5.78212121212121
f.jc,OPT,14,TRUE,0,0,0
f.jc,OPT,15,FALSE,5.33724550898204,6.77302395209581,6.042624750499
f.jc,OPT,15,TRUE,0,0,0
f.jc,OPT,16,FALSE,5.42183486238532,6.85669724770642,6.12751529051988
f.jc,OPT,16,TRUE,0,0,0
f.jc,OPT,17,FALSE,5.73705128205128,7.18769230769231,6.44827991452991
f.jc,OPT,17,TRUE,0,0,0
f.jc,OPT,18,FALSE,5.64315254237288,7.24938983050847,6.41745197740113
f.jc,OPT,18,TRUE,0,0,0
f.jc,OPT,19,FALSE,5.94501742160279,7.5095818815331,6.69903019744483
f.jc,OPT,19,TRUE,0,0,0
f.jc,OPT,20,FALSE,5.81185454545455,7.23756363636364,6.50353333333333
f.jc,OPT,20,TRUE,0,0,0
