Problem,Step,Track,V1
j.rnd_pj1doubled,1,SPT,3000
j.rnd_pj1doubled,1,LPT,3000
j.rnd_pj1doubled,1,LWR,3000
j.rnd_pj1doubled,1,MWR,3000
j.rnd_pj1doubled,1,RND,3000
j.rnd_pj1doubled,1,OPT,3000
j.rnd_pj1doubled,1,CMA-ES,3000
j.rnd_pj1doubled,2,SPT,3000
j.rnd_pj1doubled,2,LPT,3000
j.rnd_pj1doubled,2,LWR,3000
j.rnd_pj1doubled,2,MWR,3000
j.rnd_pj1doubled,2,RND,3000
j.rnd_pj1doubled,2,OPT,3000
j.rnd_pj1doubled,2,CMA-ES,3000
j.rnd_pj1doubled,3,SPT,3000
j.rnd_pj1doubled,3,LPT,3000
j.rnd_pj1doubled,3,LWR,3000
j.rnd_pj1doubled,3,MWR,3000
j.rnd_pj1doubled,3,RND,3000
j.rnd_pj1doubled,3,OPT,3000
j.rnd_pj1doubled,3,CMA-ES,3000
j.rnd_pj1doubled,4,SPT,3000
j.rnd_pj1doubled,4,LPT,3000
j.rnd_pj1doubled,4,LWR,3000
j.rnd_pj1doubled,4,MWR,3000
j.rnd_pj1doubled,4,RND,3000
j.rnd_pj1doubled,4,OPT,3000
j.rnd_pj1doubled,4,CMA-ES,3000
j.rnd_pj1doubled,5,SPT,3000
j.rnd_pj1doubled,5,LPT,3000
j.rnd_pj1doubled,5,LWR,3000
j.rnd_pj1doubled,5,MWR,3000
j.rnd_pj1doubled,5,RND,3000
j.rnd_pj1doubled,5,OPT,3000
j.rnd_pj1doubled,5,CMA-ES,3000
j.rnd_pj1doubled,6,SPT,2983
j.rnd_pj1doubled,6,LPT,2950
j.rnd_pj1doubled,6,LWR,2500
j.rnd_pj1doubled,6,MWR,3000
j.rnd_pj1doubled,6,RND,2999
j.rnd_pj1doubled,6,OPT,2999
j.rnd_pj1doubled,6,CMA-ES,3000
j.rnd_pj1doubled,7,SPT,2950
j.rnd_pj1doubled,7,LPT,2915
j.rnd_pj1doubled,7,LWR,2500
j.rnd_pj1doubled,7,MWR,3000
j.rnd_pj1doubled,7,RND,2997
j.rnd_pj1doubled,7,OPT,2999
j.rnd_pj1doubled,7,CMA-ES,3000
j.rnd_pj1doubled,8,SPT,2906
j.rnd_pj1doubled,8,LPT,2877
j.rnd_pj1doubled,8,LWR,2500
j.rnd_pj1doubled,8,MWR,3000
j.rnd_pj1doubled,8,RND,2994
j.rnd_pj1doubled,8,OPT,2997
j.rnd_pj1doubled,8,CMA-ES,3000
j.rnd_pj1doubled,9,SPT,2840
j.rnd_pj1doubled,9,LPT,2830
j.rnd_pj1doubled,9,LWR,2500
j.rnd_pj1doubled,9,MWR,3000
j.rnd_pj1doubled,9,RND,2988
j.rnd_pj1doubled,9,OPT,2995
j.rnd_pj1doubled,9,CMA-ES,3000
j.rnd_pj1doubled,10,SPT,2770
j.rnd_pj1doubled,10,LPT,2776
j.rnd_pj1doubled,10,LWR,2500
j.rnd_pj1doubled,10,MWR,2998
j.rnd_pj1doubled,10,RND,2977
j.rnd_pj1doubled,10,OPT,2988
j.rnd_pj1doubled,10,CMA-ES,3000
j.rnd_pj1doubled,11,SPT,2703
j.rnd_pj1doubled,11,LPT,2702
j.rnd_pj1doubled,11,LWR,2000
j.rnd_pj1doubled,11,MWR,2994
j.rnd_pj1doubled,11,RND,2950
j.rnd_pj1doubled,11,OPT,2977
j.rnd_pj1doubled,11,CMA-ES,3000
j.rnd_pj1doubled,12,SPT,2625
j.rnd_pj1doubled,12,LPT,2628
j.rnd_pj1doubled,12,LWR,2000
j.rnd_pj1doubled,12,MWR,2986
j.rnd_pj1doubled,12,RND,2928
j.rnd_pj1doubled,12,OPT,2957
j.rnd_pj1doubled,12,CMA-ES,2999
j.rnd_pj1doubled,13,SPT,2531
j.rnd_pj1doubled,13,LPT,2541
j.rnd_pj1doubled,13,LWR,2000
j.rnd_pj1doubled,13,MWR,2972
j.rnd_pj1doubled,13,RND,2883
j.rnd_pj1doubled,13,OPT,2938
j.rnd_pj1doubled,13,CMA-ES,2999
j.rnd_pj1doubled,14,SPT,2429
j.rnd_pj1doubled,14,LPT,2456
j.rnd_pj1doubled,14,LWR,2000
j.rnd_pj1doubled,14,MWR,2948
j.rnd_pj1doubled,14,RND,2844
j.rnd_pj1doubled,14,OPT,2902
j.rnd_pj1doubled,14,CMA-ES,2999
j.rnd_pj1doubled,15,SPT,2328
j.rnd_pj1doubled,15,LPT,2357
