Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,16,a,OPT,5820
j.rnd_p1mdoubled,16,a,CMA-ES,4982
j.rnd_p1mdoubled,17,a,SPT,4160
j.rnd_p1mdoubled,17,a,LPT,716
j.rnd_p1mdoubled,17,a,LWR,404
j.rnd_p1mdoubled,17,a,MWR,2906
j.rnd_p1mdoubled,17,a,RND,2382
j.rnd_p1mdoubled,17,a,OPT,5570
j.rnd_p1mdoubled,17,a,CMA-ES,4956
j.rnd_p1mdoubled,18,a,SPT,3836
j.rnd_p1mdoubled,18,a,LPT,592
j.rnd_p1mdoubled,18,a,LWR,492
j.rnd_p1mdoubled,18,a,MWR,2644
j.rnd_p1mdoubled,18,a,RND,2044
j.rnd_p1mdoubled,18,a,OPT,5184
j.rnd_p1mdoubled,18,a,CMA-ES,4958
j.rnd_p1mdoubled,19,a,SPT,3434
j.rnd_p1mdoubled,19,a,LPT,488
j.rnd_p1mdoubled,19,a,LWR,536
j.rnd_p1mdoubled,19,a,MWR,2300
j.rnd_p1mdoubled,19,a,RND,1794
j.rnd_p1mdoubled,19,a,OPT,4920
j.rnd_p1mdoubled,19,a,CMA-ES,4740
j.rnd_p1mdoubled,20,a,SPT,2948
j.rnd_p1mdoubled,20,a,LPT,398
j.rnd_p1mdoubled,20,a,LWR,662
j.rnd_p1mdoubled,20,a,MWR,2152
j.rnd_p1mdoubled,20,a,RND,1552
j.rnd_p1mdoubled,20,a,OPT,4426
j.rnd_p1mdoubled,20,a,CMA-ES,4422
j.rnd_p1mdoubled,21,a,SPT,2582
j.rnd_p1mdoubled,21,a,LPT,310
j.rnd_p1mdoubled,21,a,LWR,58
j.rnd_p1mdoubled,21,a,MWR,1734
j.rnd_p1mdoubled,21,a,RND,1288
j.rnd_p1mdoubled,21,a,OPT,4030
j.rnd_p1mdoubled,21,a,CMA-ES,3932
j.rnd_p1mdoubled,22,a,SPT,2148
j.rnd_p1mdoubled,22,a,LPT,276
j.rnd_p1mdoubled,22,a,LWR,84
j.rnd_p1mdoubled,22,a,MWR,1492
j.rnd_p1mdoubled,22,a,RND,1162
j.rnd_p1mdoubled,22,a,OPT,3366
j.rnd_p1mdoubled,22,a,CMA-ES,3220
j.rnd_p1mdoubled,23,a,SPT,1702
j.rnd_p1mdoubled,23,a,LPT,248
j.rnd_p1mdoubled,23,a,LWR,132
j.rnd_p1mdoubled,23,a,MWR,1154
j.rnd_p1mdoubled,23,a,RND,934
j.rnd_p1mdoubled,23,a,OPT,2772
j.rnd_p1mdoubled,23,a,CMA-ES,2742
j.rnd_p1mdoubled,24,a,SPT,1254
j.rnd_p1mdoubled,24,a,LPT,148
j.rnd_p1mdoubled,24,a,LWR,132
j.rnd_p1mdoubled,24,a,MWR,786
j.rnd_p1mdoubled,24,a,RND,684
j.rnd_p1mdoubled,24,a,OPT,2210
j.rnd_p1mdoubled,24,a,CMA-ES,2122
j.rnd_p1mdoubled,25,a,SPT,832
j.rnd_p1mdoubled,25,a,LPT,132
j.rnd_p1mdoubled,25,a,LWR,180
j.rnd_p1mdoubled,25,a,MWR,570
j.rnd_p1mdoubled,25,a,RND,402
j.rnd_p1mdoubled,25,a,OPT,1602
j.rnd_p1mdoubled,25,a,CMA-ES,1334
j.rnd_p1mdoubled,26,a,SPT,482
j.rnd_p1mdoubled,26,a,LPT,50
j.rnd_p1mdoubled,26,a,MWR,284
j.rnd_p1mdoubled,26,a,RND,296
j.rnd_p1mdoubled,26,a,OPT,1052
j.rnd_p1mdoubled,26,a,CMA-ES,812
j.rnd_p1mdoubled,27,a,SPT,246
j.rnd_p1mdoubled,27,a,LPT,12
j.rnd_p1mdoubled,27,a,MWR,126
j.rnd_p1mdoubled,27,a,RND,162
j.rnd_p1mdoubled,27,a,OPT,564
j.rnd_p1mdoubled,27,a,CMA-ES,450
j.rnd_p1mdoubled,28,a,SPT,104
j.rnd_p1mdoubled,28,a,LPT,4
j.rnd_p1mdoubled,28,a,MWR,30
j.rnd_p1mdoubled,28,a,RND,50
j.rnd_p1mdoubled,28,a,OPT,276
j.rnd_p1mdoubled,28,a,CMA-ES,190
j.rnd_p1mdoubled,29,a,SPT,14
j.rnd_p1mdoubled,29,a,MWR,6
j.rnd_p1mdoubled,29,a,RND,6
j.rnd_p1mdoubled,29,a,OPT,78
j.rnd_p1mdoubled,29,a,CMA-ES,42
