Problem,Step,Track,V1
f.rnd,27,SPT,809
f.rnd,27,LPT,832
f.rnd,27,LWR,500
f.rnd,27,MWR,1638
f.rnd,27,RND,1188
f.rnd,27,OPT,1286
f.rnd,27,CMA-ES,1132
f.rnd,28,SPT,686
f.rnd,28,LPT,689
f.rnd,28,LWR,500
f.rnd,28,MWR,1309
f.rnd,28,RND,965
f.rnd,28,OPT,1081
f.rnd,28,CMA-ES,934
f.rnd,29,SPT,594
f.rnd,29,LPT,581
f.rnd,29,LWR,500
f.rnd,29,MWR,936
f.rnd,29,RND,725
f.rnd,29,OPT,801
f.rnd,29,CMA-ES,711
f.rnd,30,SPT,500
f.rnd,30,LPT,500
f.rnd,30,LWR,500
f.rnd,30,MWR,500
f.rnd,30,RND,500
f.rnd,30,OPT,500
f.rnd,30,CMA-ES,500
