Problem,Feature,Step,Track,mu
j.rndn,phi.proc,1,OPT,0.0241509433962264
j.rndn,phi.proc,2,OPT,-0.0264150943396226
j.rndn,phi.proc,3,OPT,-0.0520754716981132
j.rndn,phi.proc,4,OPT,0.0339622641509434
j.rndn,phi.proc,5,OPT,-0.00528301886792453
j.rndn,phi.proc,6,OPT,-0.0611320754716981
j.rndn,phi.proc,7,OPT,-0.0528301886792453
j.rndn,phi.proc,8,OPT,0.059622641509434
j.rndn,phi.proc,9,OPT,-0.00981132075471698
j.rndn,phi.proc,10,OPT,0.0030188679245283
j.rndn,phi.proc,11,OPT,-0.0437735849056604
j.rndn,phi.proc,12,OPT,-0.0415094339622641
j.rndn,phi.proc,13,OPT,-0.0143396226415094
j.rndn,phi.proc,14,OPT,-0.0384905660377359
j.rndn,phi.proc,15,OPT,0.0437735849056604
j.rndn,phi.proc,16,OPT,-0.00528301886792453
j.rndn,phi.proc,17,OPT,-0.00679245283018868
j.rndn,phi.proc,18,OPT,-0.0528301886792453
j.rndn,phi.proc,19,OPT,-0.0384905660377359
j.rndn,phi.proc,20,OPT,-0.0135849056603774
j.rndn,phi.proc,21,OPT,0.0060377358490566
j.rndn,phi.proc,22,OPT,0.0633962264150943
j.rndn,phi.proc,23,OPT,0.00905660377358491
j.rndn,phi.proc,24,OPT,0.0513207547169811
j.rndn,phi.proc,25,OPT,-0.0060377358490566
j.rndn,phi.proc,26,OPT,-0.0611320754716981
j.rndn,phi.proc,27,OPT,-0.0264150943396226
j.rndn,phi.proc,28,OPT,-0.019622641509434
j.rndn,phi.proc,29,OPT,-0.00377358490566038
j.rndn,phi.proc,30,OPT,-0.00679245283018867
j.rndn,phi.proc,31,OPT,-0.0475471698113208
j.rndn,phi.proc,32,OPT,0.04
j.rndn,phi.proc,33,OPT,-0.0407547169811321
j.rndn,phi.proc,34,OPT,-0.0437735849056604
j.rndn,phi.proc,35,OPT,0.0573584905660377
j.rndn,phi.proc,36,OPT,0.00981132075471698
j.rndn,phi.proc,37,OPT,-0.00150943396226415
j.rndn,phi.proc,38,OPT,0.0256603773584906
j.rndn,phi.proc,39,OPT,-0.0513207547169811
j.rndn,phi.proc,40,OPT,-0.00528301886792453
j.rndn,phi.proc,41,OPT,0.0090566037735849
j.rndn,phi.proc,42,OPT,0.019622641509434
j.rndn,phi.proc,43,OPT,0.0958490566037736
j.rndn,phi.proc,44,OPT,-0.00754716981132076
j.rndn,phi.proc,45,OPT,-0.0241509433962264
j.rndn,phi.proc,46,OPT,0.0218867924528302
j.rndn,phi.proc,47,OPT,0.0407547169811321
j.rndn,phi.proc,48,OPT,0.00377358490566038
j.rndn,phi.proc,49,OPT,0.0241509433962264
j.rndn,phi.proc,50,OPT,0.0166037735849057
