Problem,Step,Rank,Track,V1
f.rndn,25,a,SPT,264
f.rndn,25,a,LPT,90
f.rndn,25,a,MWR,6898
f.rndn,25,a,RND,664
f.rndn,25,a,OPT,1756
f.rndn,26,a,SPT,156
f.rndn,26,a,LPT,68
f.rndn,26,a,MWR,4400
f.rndn,26,a,RND,444
f.rndn,26,a,OPT,1406
f.rndn,27,a,SPT,92
f.rndn,27,a,LPT,36
f.rndn,27,a,MWR,2280
f.rndn,27,a,RND,288
f.rndn,27,a,OPT,1058
f.rndn,28,a,SPT,34
f.rndn,28,a,LPT,22
f.rndn,28,a,MWR,886
f.rndn,28,a,RND,162
f.rndn,28,a,OPT,606
f.rndn,29,a,SPT,40
f.rndn,29,a,LPT,4
f.rndn,29,a,MWR,132
f.rndn,29,a,RND,88
f.rndn,29,a,OPT,306
