Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,16,p,OPT,3500
j.rnd_p1mdoubled,16,p,CMA-ES,3632
j.rnd_p1mdoubled,17,p,SPT,2818
j.rnd_p1mdoubled,17,p,LPT,654
j.rnd_p1mdoubled,17,p,LWR,396
j.rnd_p1mdoubled,17,p,MWR,2276
j.rnd_p1mdoubled,17,p,RND,1916
j.rnd_p1mdoubled,17,p,OPT,3430
j.rnd_p1mdoubled,17,p,CMA-ES,3572
j.rnd_p1mdoubled,18,p,SPT,2702
j.rnd_p1mdoubled,18,p,LPT,554
j.rnd_p1mdoubled,18,p,LWR,472
j.rnd_p1mdoubled,18,p,MWR,2086
j.rnd_p1mdoubled,18,p,RND,1660
j.rnd_p1mdoubled,18,p,OPT,3304
j.rnd_p1mdoubled,18,p,CMA-ES,3644
j.rnd_p1mdoubled,19,p,SPT,2486
j.rnd_p1mdoubled,19,p,LPT,448
j.rnd_p1mdoubled,19,p,LWR,516
j.rnd_p1mdoubled,19,p,MWR,1846
j.rnd_p1mdoubled,19,p,RND,1464
j.rnd_p1mdoubled,19,p,OPT,3140
j.rnd_p1mdoubled,19,p,CMA-ES,3432
j.rnd_p1mdoubled,20,p,SPT,2266
j.rnd_p1mdoubled,20,p,LPT,374
j.rnd_p1mdoubled,20,p,LWR,640
j.rnd_p1mdoubled,20,p,MWR,1742
j.rnd_p1mdoubled,20,p,RND,1372
j.rnd_p1mdoubled,20,p,OPT,2930
j.rnd_p1mdoubled,20,p,CMA-ES,3174
j.rnd_p1mdoubled,21,p,SPT,2036
j.rnd_p1mdoubled,21,p,LPT,302
j.rnd_p1mdoubled,21,p,LWR,58
j.rnd_p1mdoubled,21,p,MWR,1464
j.rnd_p1mdoubled,21,p,RND,1154
j.rnd_p1mdoubled,21,p,OPT,2748
j.rnd_p1mdoubled,21,p,CMA-ES,2968
j.rnd_p1mdoubled,22,p,SPT,1766
j.rnd_p1mdoubled,22,p,LPT,272
j.rnd_p1mdoubled,22,p,LWR,84
j.rnd_p1mdoubled,22,p,MWR,1284
j.rnd_p1mdoubled,22,p,RND,1024
j.rnd_p1mdoubled,22,p,OPT,2384
j.rnd_p1mdoubled,22,p,CMA-ES,2568
j.rnd_p1mdoubled,23,p,SPT,1458
j.rnd_p1mdoubled,23,p,LPT,238
j.rnd_p1mdoubled,23,p,LWR,132
j.rnd_p1mdoubled,23,p,MWR,1018
j.rnd_p1mdoubled,23,p,RND,858
j.rnd_p1mdoubled,23,p,OPT,2068
j.rnd_p1mdoubled,23,p,CMA-ES,2262
