Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.arrival.1,phi.wait.1,phi.macFree.1,phi.makespan.1,phi.reducedSlack.1,phi.macSlack.1,phi.allSlack.1,phi.jobOps.1,phi.macOps.1,phi.jobWrm.1,phi.macWrm.1,phi.jobTotProcTime.1,phi.macTotProcTime.1
1,12,582.6920,-0.060418906472761311,0.2658531769675207,0.14459619377745667,-0.032789841681469867,0.013743269947645902,0.20487936948010887,-0.10324409252104952,0.21918980199212773,-0.11117127931868649,0.18486066449957375,0.25706422677389429,0.25561130291564582,0.1616066239877513,0.15419211016857959,0.42108733301110496,-0.031928944912249027
2,24,581.0280,0.012943679622154694,0.10878818663070608,-0.071813258109384673,-0.16811678195570484,-0.012393152678914176,-0.28515087550455992,-0.24454429616434309,0.316287245898408,0.01275974346018304,0.21222762258950237,0.11985118637977864,0.15668156415536361,-0.17125979614386488,0.075917921263432275,0.21129829474169068,0.0038354276564690516
3,36,581.3160,-0.073957612237054271,-0.027727134635187747,-0.13917163886326123,-0.17958272242620948,0.30426362809208923,-0.1609568064697067,-0.2963657751860857,0.38767868450430365,0.1529599231772181,-0.090029025515239058,0.055250455536764748,0.072217776641250869,0.042189909832287577,0.0011010280087296312,0.30734407670471076,-0.017177127827182153
4,48,580.9920,0.0023703485473428321,0.059870983108535065,-0.14759849862167004,-0.2112274607913481,0.1251191388226687,-0.063324695166386155,-0.19846898603735921,0.22532516679792797,0.2632906081296163,-0.14132668073964036,-0.087996487678707089,0.05975268051717058,0.010588230088851569,-0.16703784102426864,0.12899828945098976,0.13731816061101307
5,60,581.0360,-0.14824027391098368,-0.10592399334805808,-0.069754230189819369,-0.025654876559016396,0.33666909507645104,-0.30195739096831109,-0.22802466459908255,0.12522724359213658,0.23043824633425491,-0.16533037433130338,-0.0048588395206599147,0.032430366977035795,0.039895590773487213,-0.12619264096474853,0.034050593205622162,0.030384386909535849
6,72,580.9720,-0.23173612342712868,-0.0028273620669596626,-0.16825130603491886,-0.30835009717653306,0.13715375600335256,-0.20301031076943948,-0.063332309594407526,-0.00077006334205679747,0.19597250777197464,-0.17199758652031721,-0.12272411976369654,-0.1614134506317674,0.075743689928734731,0.023244572818376618,-0.021523657611350468,0.01998905931713044
7,84,581.2520,-0.33080219562421381,-0.10379182493640646,-0.0601276971737761,-0.25685646967223619,0.11272838190721224,-0.20268453867778177,-0.1990410912012564,0.040079928153484726,0.022267098870667489,-0.41235682437478488,-0.035911144312164557,-0.066583150162810675,-0.014869125905372146,0.0015830766092841337,0.098210009694972178,-0.021441049880031034
8,96,581.1580,-0.44783163915977853,-0.092926694026485554,0.053866756917251443,-0.19563489297567804,0.1389681565690408,-0.20757778818977105,-0.299929472087531,-0.060223260971874887,0.027494503411120773,-0.32931828692582482,-0.041381347807910446,0.010322618358392177,0.025863403895651425,-0.027128672087983603,0.071639265199041055,-0.098529118536172383
9,108,581.0920,-0.33917340237675092,-0.081310432232933549,0.012676654388324909,-0.082537486147495343,0.15507288823714693,-0.3733035334308995,-0.21248623083288967,0.041049232541179655,0.066301007347617222,-0.29432144723927822,-0.098276467640236342,0.06312947692007119,0.022654961346045756,-0.019088523095556403,0.017543155977158772,0.00051619625692873265
10,120,581.0140,-0.2743192274606559,-0.16544391440211226,-0.14326355361367249,-0.14952315265342114,0.28668357400133621,-0.25581954936612139,-0.16325514351026965,0.085001580265224336,-0.0030942688286986295,-0.23060940633125485,-0.019631201366064107,0.14404416636803405,0.0019104316916838376,-0.04431759023393219,0.12950717276782125,0.0813632861745464
