Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.arrival.1,phi.wait.1,phi.macFree.1,phi.makespan.1,phi.reducedSlack.1,phi.macSlack.1,phi.allSlack.1,phi.jobOps.1,phi.macOps.1,phi.jobWrm.1,phi.macWrm.1,phi.jobTotProcTime.1,phi.macTotProcTime.1
1,12,1.1220,0.1190497059747249,0.38460164692191579,0.0385887426326252,0.20182798409416627,0.14816581307946566,0.28056024093295362,0.26029020408365827,-0.13119988419550405,0.40287473436853205,0.082795428997533949,0.10699728364366558,0.21329149348183307,0.12733714569319043,0.14991681917069957,0.16146164797447915,0.30987499471100233
2,24,1.0870,-0.061279362402342462,0.307680413714039,-0.076941215599334631,0.1102811817233677,-0.035450057388613204,0.044016132431534946,-0.0028439579104636036,0.017204408529667297,0.24598710622903211,0.13370191049861493,0.249066987453158,0.019419397619338065,0.048748699302099331,0.28701410456320431,0.30284935978032562,0.23449213078245681
3,36,0.6762,-0.19213417002445118,0.18861222028708305,0.037841892131446814,0.19367130864341606,0.064638491123862232,0.000364909610757266,-0.250771658964135,-0.017766353647325279,0.031594317590729296,0.06190061732670548,0.14773064313654477,-0.070917890138822728,-0.090107979092574342,0.22620461224349034,0.256376048934124,0.11791928363046221
4,48,1.0801,-0.27933812986200679,-0.019940792579330305,-0.039803097918566656,0.058469058683262604,0.054820311531336922,-0.18635383630848762,0.0094597235928046662,-0.22921779890086522,0.0013819811141269614,-0.060788782897047713,0.1623812776732555,0.29017578976230457,-0.097823620372581813,0.338123747870561,0.17257915134269577,0.0616242582492749
5,60,0.8797,-0.32996155713363934,0.022015609871907236,-0.074693765851650218,0.294737357639799,0.020656749346031185,-0.23464124345946322,-0.04864068198921441,-0.21511456762257625,0.059760400494030287,-0.24477384075765463,-0.096140110212206684,0.22629255136668683,-0.053775725516316021,0.18626218259872426,0.22639011387202052,-0.11038075696936514
6,72,1.0865,-0.18393338632389558,-0.1438224312959272,-0.045536323399073771,0.15332590051389478,-0.090417391179941714,-0.077178287927983313,0.22494365509746747,-0.13868203470945886,0.32172208996156831,0.010533485192841849,-0.064920058023975685,0.045702515912197615,-0.15607075096250955,0.12502406874374347,0.2246985907896889,-0.022975709797087244
7,84,1.0396,-0.42189753793806445,-0.0836178646520154,-0.087632721029649738,0.10289132148984019,-0.22154955483266903,-0.096828667094565418,0.16609692298523238,-0.11054914559843877,0.33810133833146638,-0.10721852685460444,-0.061160632346968787,0.19364643896108505,-0.16701664928165141,0.015768701371571672,0.30206881278274994,-0.024964814012183961
8,96,0.6403,-0.18140933581996088,0.088546245918764074,-0.080263217260911734,0.10384371205147838,-0.16423579232875735,-0.13681429672030965,-0.10010949781457372,-0.22108421283156837,0.20512735597769136,-0.15609630109820255,-0.085274503302596158,0.19156817278279287,-0.1812230854964452,0.027367752301085214,0.35392195610741417,-0.12275395633344156
9,108,1.0849,-0.081837209375490855,0.23868066440749655,-0.040554283176147531,0.058455628955591123,-0.14986974437993059,-0.12301227452841548,-0.059026201390094409,-0.37758323246796294,0.18467931778259813,-0.0753212790982952,0.1043687236352376,0.4423477620445781,0.04568562980619266,0.018118089372778982,0.23286783584165857,-0.14879591685198179
10,120,1.0278,-0.29989914125184797,0.16250051165153481,-0.11329165053522364,0.013468149375161498,-0.093737275856779739,-0.20748545021222048,-0.037213343670453411,-0.2826536733251902,0.15582980754704423,-0.076229778160072939,-0.024045253316193373,0.29194651029634833,-0.0336743136331306,0.10709598469556436,0.20600741650959128,-0.034791699423784191
11,132,0.9544,-0.23831920318717853,0.07069520087796699,-0.23123397966942344,-0.069268606712948044,-0.11603443204285577,-0.3133235246228524,-0.010239536973886845,-0.24305305271727862,0.096434281596888716,0.07512273141234628,0.032291541019565773,0.265391047158503,-0.091708205224313055,0.14806395698685951,0.17655034360833316,-0.11237216444991929
12,144,0.6678,-0.35182474330160507,-0.084226053975235013,-0.19866082161066237,-0.0379815849746304,-0.045521043287485796,-0.11279409984075955,-0.02067137532758876,-0.038479197408392056,-0.040423679962410218,0.04339281082553665,0.11639924594044783,0.050503136960306227,-0.07700057553118525,0.25071291310093746,0.19893620278516044,-0.21049228397713474
13,156,0.9484,-0.35423984977807649,0.063637349855945852,-0.32651260518954339,-0.27046127407444037,-0.047685661986784068,-0.13030271166522314,0.10500734676640688,-0.10596459429351887,-0.03031381396942006,-0.018515327220242885,-0.012339416730263193,0.11334519160372637,-0.17912628412966988,0.28782060659989184,0.26592379218463036,-0.29134089403233926
14,168,0.9855,-0.28205164452051512,0.12460855249723743,-0.37553799155947881,-0.21795660893709404,-0.10888017632685955,-0.16891420809988905,0.020329054453209473,-0.21028070228986714,-0.017709643293361582,-0.10200888344536668,0.14814639154342243,0.029367893158404667,0.0066040695794285544,0.32361944280607768,0.053385400626780481,-0.34814625660833953
15,180,1.0097,-0.27711604098192039,0.10317748392122417,-0.35639851158367392,-0.34684424909652395,0.067076060806220666,-0.20696784510326724,0.01660774873759541,-0.20924873092157395,0.076278268613121661,-0.057197115881818028,0.11970134658089621,0.21315702270626496,0.0843382408647579,0.29303893547303567,-0.0062781818026526673,-0.2066420577406419
16,192,0.6489,-0.23933911495877896,0.10183535588734621,-0.46430618004221158,-0.39303375274485469,0.18884123542765163,-0.10795495309626503,-0.014963785496695055,-0.18066258707845259,0.0057367710033225331,-0.14198808612959465,0.045624092548953374,0.28803869959307182,0.086794488791175239,0.33422086770974924,-0.0029956612791580666,-0.11213903947460589
17,204,0.7181,-0.16912269885892708,0.037591154390382145,-0.44163733933450716,-0.44030657237101117,0.12671622545729866,-0.12961502489007828,-0.056639683825717026,-0.17433018057862978,0.051432977469687009,0.035965430249000147,0.0821144203504884,0.29358618656125751,0.02231046370173816,0.30730601649251715,0.15269129712227075,-0.097831151250501264
18,216,0.7939,-0.15263518631252054,0.11286709724835227,-0.49381279966235408,-0.54974931423263329,0.10004119972722726,-0.0033675223223759835,-0.0658189692371879,-0.1761756516776089,0.017194757598146954,-0.042296394587598811,0.074872865020207124,0.2032843771670933,0.073683295813351923,0.2522496529939689,0.057050501227714621,-0.090650836628154888
19,228,0.6357,-0.27127817865336473,0.18120719030566754,-0.52008646344844789,-0.39368706192195718,0.065619393863855277,-0.0074904724225258552,-0.25823591688966457,-0.16036321510947338,-0.0092050917822092786,-0.045152835024076556,0.058450902772349982,0.247901820854663,0.073277186413739356,0.28318433801231774,0.128556219855497,0.044235394216171738
