Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.arrival.1,phi.wait.1,phi.macFree.1,phi.makespan.1,phi.reducedSlack.1,phi.macSlack.1,phi.allSlack.1,phi.jobOps.1,phi.macOps.1,phi.jobWrm.1,phi.macWrm.1,phi.jobTotProcTime.1,phi.macTotProcTime.1
1,12,1139.4660,0.30771554376879023,0.13345411251505027,0.059574027571195995,0.1736747305057893,0.13630847875966073,0.15185036768941526,0.12224912851452853,0.23373427263539828,-0.09055181321373075,0.36062292129223938,0.072413617366801117,0.047948534195372226,0.38319402943483738,0.28711554421326962,0.34835598033697,0.024101055512027441
2,24,978.6440,0.046523311236887709,0.016830748798724836,-0.01649744411181412,-0.013874136227450467,0.11671254591184349,-0.24537366325914586,-0.05243934266974451,0.21507309981819717,0.075523489863161958,0.085969805379432412,-0.060812217313888722,-0.1003438099518103,0.26844486782901639,0.073097319954211037,0.050387253276919348,0.13688556114806993
3,36,972.6020,0.11505648604754047,-0.19760875459446778,-0.0094585514986437243,-0.21258007252568847,0.26417829821658162,-0.21501183539237795,-0.19541277639730092,0.077049438313337715,0.053757090893210645,0.21835299528933602,-0.17196359022034058,0.093106647560580277,0.28433429105607605,-0.083561420448418619,0.10976386074787081,-0.069652702900483435
4,48,943.6740,0.069677815456074835,-0.25330346422696143,-0.27215707519147248,-0.18605012993112513,0.042245600193328743,-0.0833820502881225,-0.12714159202276895,0.24471982406800538,0.05432228804562781,0.15697637931307054,-0.35365712741571409,0.063911776144991633,0.09484816309835116,-0.029716416412593021,0.046077496263439939,-0.14055176024193858
5,60,921.3980,0.056165102760855609,-0.166269441275006,-0.11607091826224129,-0.21512098087917644,0.17181234413740823,-0.21479403624311091,-0.28048904322483237,0.149186644226702,-0.17128728966899584,0.036903097263889455,-0.11507155575855162,0.26982670535749009,0.17788863857428677,0.051455612806981278,-0.10256683298892426,-0.023085435687486434
6,72,929.5960,0.13279848500608823,-0.14725152438355071,-0.067940148252918636,-0.054617029930693277,0.1379222483591451,-0.32198487346830323,-0.30197950891749953,0.072909280559939851,0.044351347536491371,-0.33404640596861007,0.069872092121305712,0.063391358351441759,0.2229073712863657,0.022255342627614035,-0.08513231441442537,-0.02496730375997349
7,84,966.0300,0.049319403828984927,-0.132419639389188,-0.25590731504936126,-0.280528499047223,0.22844297108946346,-0.24145448837523711,-0.0016748418094414538,0.019444827837785061,0.13898915661531314,-0.053551574325227273,0.050720860243215961,0.11094141973599246,0.21654805042671732,0.0058530703998689974,0.11209324075378978,-0.010806576625266474
8,96,924.9600,-0.22115347744054695,-0.43836591308234835,-0.036961280205719746,-0.17741397798554667,0.19343359286273729,-0.23803905123973684,0.0067240291223977632,-0.035851166631052755,0.00858840924128441,-0.14103865284340739,0.11000436650425366,-0.083377836854709023,0.16498693339161452,0.086750017427967729,0.06893092071452922,-0.13261512377351953
9,108,909.3940,-0.18432586397222053,-0.37517993526695304,-0.0048930324347113106,-0.17710795591905384,0.026741727738885179,-0.34316248043331282,0.022953724690933607,0.049805636305683042,-0.11897046827469167,-0.2778160765291417,0.14123172615111318,0.10922003271581623,0.278888397499519,0.12431161097849402,-0.033591775136969489,0.034529885612945857
10,120,909.9080,-0.35617571618775717,-0.40207785694441822,-0.090217432318005067,-0.21876374355106079,0.082143075208023372,-0.095366480796846176,0.061159742556057821,-0.059241071590418311,-0.17366485893004718,-0.11507546899595943,-0.008537655294796994,0.10989390585736876,0.17601614652919484,0.040870749837032136,0.081175587318425571,0.13812471183287892
