Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrivalTime.1,phi.totProc.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1,12,3.1832,0.2476833956396193,-0.015279401042508177,0.059947564057587152,-0.0429741217213313,0.28615301995770837,-0.0059636991339661093,-0.050768084379194445,0.24345971749024506,0.17085786379303169,0.28663806580598922,0.13387714270921064,-0.058306366743359248,0.283815997081622,0.29509751315195965,-0.022613604702582706,0.18674042784405082,0.22280765030934668,0.44064151104958771
2,24,1.2551,0.24918630795709135,0.07622450459276893,0.03070738169869321,-0.15684406545815158,-0.1074975704779231,0.063591908117515944,-0.17949258417940592,0.0757841013595061,-0.051271358823970083,-0.1046431397089521,-0.015618116355935491,-0.0189155426910024,-0.053467910727033295,-0.051904247256182992,0.0753924009086304,0.1334656328068044,0.16607753606599809,0.25270054739011238
3,36,0.7502,-0.025672772869498442,0.076253418750622179,-0.1651850338818637,0.07830356251712213,-0.26199297741876376,0.073170242656642834,0.074277375868976009,-0.014098792416104178,0.23162565753682229,-0.062720035231771179,-0.32305778288734804,0.055018946486943866,-0.010364807926433446,-0.0748821218413168,-0.072565747267082814,0.1044807880387866,-0.01922724714123113,-0.18731739251069654
4,48,0.7568,0.068583004687157723,-0.0048142215808719682,-0.25046447493332841,-0.014606343497464296,-0.021500237707551752,0.098430246184006559,0.19535534686437822,-0.076333410479228259,0.051367721050762809,-0.19779914619679542,-0.18084483321216882,-0.10506456576056143,0.041805796269059704,-0.021847148123916565,-0.089491194436271543,-0.14422113569425032,-0.0085504722474658221,-0.17930736297754035
5,60,0.8163,0.10534722663050328,-0.067106718239904523,-0.21398815255912879,0.016610077179250893,-0.0897853386193786,0.024264702413112627,0.15629793872648234,0.01142951546402228,-0.13786215594005052,-0.34524810080857105,-0.17349240171462893,-0.13426564616280692,0.015579491857419902,-0.067320705462914687,-0.0571376600726605,0.013532093605239319,0.029540760947154351,0.053042838900157346
6,72,0.7078,0.08375483461333473,-0.18636794893229619,-0.2995505866182564,0.023870127702928151,-0.024263308536640039,-0.0607217812180571,0.050910072089439776,-0.034313341748447766,-0.020186707143056339,-0.40410764638430013,0.043706324043520629,-0.1268088759477832,-0.0033670661471619347,-0.13185302325304005,-0.23961811211086118,0.038527390484200008,0.14231385827142956,0.079542206458311948
7,84,0.7416,-0.035599063833457539,-0.062117047415095959,-0.28526257893460982,-0.00793157675432541,-0.010566593093389356,0.07347514625632616,0.23417815137266462,0.023573516014665053,-0.26730018370005248,-0.10345834107765214,-0.12557012363816231,0.030132992107605411,-0.086233109905145919,-0.10756713250192942,-0.042060490262079878,-0.020547206949957181,0.017530477289896765,-0.045137646137815179
8,96,0.8315,-0.2121504704706853,-0.07317650058416339,-0.14778252148758264,-0.04937958579419538,-0.027617723994484755,0.073475759193287721,0.46763762883930193,-0.044195467962306868,-0.14791868443194639,-0.12076939319276229,-0.079238065391236318,0.12926533293592404,0.039673772541949572,-0.025858656903752802,-0.25719656317824613,0.11953040481885628,0.11095408899633089,-0.19379612075085409
9,108,0.8044,-0.25971154247531586,-0.043798380584621391,-0.2027756832327125,0.12859682155366445,-0.066638745014993617,0.071028735285399519,0.27263681201141243,0.02752452819190733,-0.227521507601159,-0.11453501119283357,-0.14550407495215598,-0.12029436761524218,-0.16640781362686854,-0.04412115110037132,-0.23551877461892945,0.12748190487595903,-0.018671366653036921,-0.0911141845763835
10,120,0.7438,-0.30109290850546688,-0.1103255769303252,-0.26415989090696174,0.10733463346285672,-0.075736064886441273,0.16171443169666663,0.033400899328581486,0.12386706108490958,-0.051854312754280867,-0.12146506602009917,-0.24903351978467966,-0.24727202608653154,-0.13607433031003879,-0.061460180186309235,-0.25896205758779733,0.056417047853636548,-0.090673603701022218,-0.088676435259674016
11,132,0.7433,-0.307943027974465,0.059908245295684011,-0.18796917072247618,0.026568168822990727,-0.077815591045670637,0.14892915343564089,0.11275520139356003,0.0470567395632772,-0.35359140826090585,-0.14530403834831451,-0.21188103969542063,-0.10291962728584908,-0.18089639597290652,0.037147208676219352,-0.20865382755888212,0.22508716908302973,-0.050441846827321522,0.16368590259081803
12,144,0.7680,-0.303187577227123,-0.056541531142966173,-0.10910754437002632,-0.1539696422775863,-0.03634980129090274,0.19400378826544107,-0.051925864413123753,0.041468225446336764,-0.1988079340482824,-0.15114263940540376,-0.37025990688914012,-0.077202509774422751,-0.15178799390153047,-0.033387425008476086,0.010653345962711783,0.3359183938979492,-0.13185607385304313,0.064316858789760609
13,156,0.6579,-0.27231233802324928,0.079936347539406566,0.026919395204697938,-0.0044145540709128669,0.19581407292307887,0.15304258580299057,-0.12532749940923035,0.027714787581616926,0.080949090724656128,-0.20275496635969498,-0.36600152712989475,-0.02818133473899169,-0.10336689147334373,0.057973466534670906,0.15339887561403659,0.24736666737265289,-0.049826468212447662,0.066705154901566324
14,168,0.7487,-0.24932298756311674,0.1786056995346669,-0.0639080608594434,-0.12310763308743443,0.10311783532863243,0.206007442408472,-0.080400411295231941,0.0020941771353036797,-0.049434490530286861,-0.11632571879338176,-0.45174823787077861,-0.034318720042613063,-0.13329883468172493,-0.060294986074960831,0.011783962438281538,0.33502197622908664,-0.037685754581203025,0.026252062445481155
15,180,0.7006,-0.2976791486370029,0.188904342467486,-0.042098145774033126,-0.14096709639948651,0.12976649891873918,0.11007994317379471,-0.12184448194703679,0.01021850656503781,0.077738910547548681,-0.20557640858776333,-0.36711413264726361,-0.0015840426852263279,-0.09271360965499513,-0.018385598514372849,0.058878676305631351,0.32538995552759659,0.03080651573194498,0.094985503713114955
16,192,0.7180,-0.17828253902082933,0.2577565143449364,-0.062203924325890371,-0.038387312106127051,0.1450653344935954,0.032769366693726584,-0.13312844699025619,0.022882568770534996,0.1238433093726385,-0.22766685942772885,-0.24724353706755714,0.11286026903975403,0.044587316499183238,-0.032653656197213193,0.099453761573171054,0.39673312184516679,0.1071949606193809,0.19416712581143575
17,204,0.7652,-0.3482919994380187,0.2485454675713426,-0.14402967265298758,-0.13372761079102696,0.24311726998058222,0.10785657670636162,-0.10044738909610779,-0.17856932973233869,0.051704090004029757,-0.24941206172006752,-0.22058443864064581,0.044454664303815936,0.0049047707638124848,0.011904983210282443,0.20375687072610227,0.28341129130684056,0.032147576984709859,-0.082822958019519513
18,216,0.8219,-0.37402261392281094,0.23159871564939319,-0.18948260045027637,-0.23033055950033479,0.22458603810119687,0.12682740619670443,-0.063430970604491543,-0.33839079556240048,0.11534990422893658,-0.26290273266154984,-0.1590310853614485,-0.054216811781990622,0.11573695929809169,0.033556054853712484,0.19457634789753681,0.31035377917796131,-0.0906564903543048,-0.0437800814815068
19,228,0.7926,-0.23611314689835483,0.29561925453673416,-0.20842236044098439,-0.22256860050045568,0.099463381329843281,0.10586247084532138,-0.079038788212005467,-0.36982909031981592,0.13677771971511193,-0.32752304913268049,-0.1971814301953799,-0.10954832119316543,0.31702510359244435,0.011585083427354221,0.1106224181858161,0.26177803161926255,-0.060040036917697236,0.06409346536664369
20,240,0.7255,-0.2154286847765419,0.38679099662221367,-0.23410772991789691,-0.04522110518929362,0.096924911263295471,0.18951170533764097,-0.046660108238909245,-0.32725396150219532,0.17215190789798573,-0.3329660486929869,-0.095211115467492169,-0.0777311733146834,0.27665915599690316,0.061367314546609944,0.14900174473952563,0.319423747308415,-0.0738851238469194,0.026332768390846757
21,252,0.7307,-0.20164551075974751,0.35390389825711155,-0.10383924998736352,-0.039349236478728886,-0.08004629267944123,0.25100793339340455,-0.076297284542338653,-0.18208475096434734,0.12697654456952825,-0.41752656734348059,-0.21220971032535976,-0.077820226594006323,0.25277297471020177,0.13684281136070683,0.059271704233785381,0.24815636826969564,-0.16693232759400548,-0.0020623410754565569
22,264,0.6763,-0.16990614315152291,0.44259460946368445,-0.11568226305095046,-0.061858679114004236,-0.093108996865228749,0.31625129286873627,-0.038679949235195007,-0.1084055550920707,0.16381762236356881,-0.38264999413814693,-0.30371573560704523,-0.02811929763042623,0.26993202992626658,0.17030222459045005,0.039137355165386647,0.23842543713678416,-0.16020373924475242,0.058038266331417517
23,276,0.6512,-0.18578208913504471,0.34682696723127182,-0.16157370074107305,-0.0024843181751957035,-0.18593393181147755,0.36337397234055729,-0.15092785921881144,-0.042860285514801887,0.25151185218665723,-0.30046534283298681,-0.43122400855409621,0.031278334449655873,0.20118072968092987,0.13668238745310377,-0.024250588391902337,0.259627555743675,-0.12401908033618596,0.0938734158421899
24,288,0.6353,-0.22915585625231463,0.25272242870243494,-0.20844511461999923,-0.056594644669774881,-0.19818927966178032,0.36926528822294336,-0.11532918062949556,-0.13034590110872107,0.24502514367522715,-0.24584367041300831,-0.37174607931265913,-0.11256051902033257,0.25532941439891704,0.075629234605680967,0.062598120319907552,0.31747096861661145,-0.16559490611013825,0.023062862680957825
25,300,0.6478,-0.2777525583161719,0.26998607090133708,-0.12288158069349484,-0.024164768204687805,-0.12146427711672886,0.3490015133782195,-0.074470230421571082,-0.23780986138977242,0.22597873801297808,-0.29957409419281839,-0.40523550344590747,-0.088225313728004365,0.2167857762022489,0.16316513443339731,-0.044966621397850667,0.2410622454876761,-0.1747122592813542,-0.00047735182511870149
26,312,0.6534,-0.27811176330779536,0.2262678149402105,0.0020621604003329295,0.054323019595133804,-0.23034893426196137,0.341697303638645,-0.069441526744814838,-0.10975857341517825,0.3133736709074828,-0.29928576275127206,-0.43068337848574695,-0.05179697766482981,0.20382598040584807,0.20796964789371195,-0.084188024585062832,0.24136304989783475,-0.17093163335450862,-0.09341526168239879
27,324,0.6262,-0.29780403822841267,0.18407000841447327,-0.030096779431963979,-0.030485633054776626,-0.15101166077795064,0.35523823720439751,-0.0501914347934188,0.0098837064095570713,0.33522046510499248,-0.26739094597058766,-0.43744349908686175,-0.16966890359531084,0.078179611118266171,0.21214904726665537,-0.099804843908234062,0.20449518285467114,-0.184214863677662,-0.18458362575320766
28,336,0.5670,-0.19244484582182877,0.1399546647532881,-0.015486496717530645,-0.028274558564886289,-0.062060363516756492,0.37281075435004746,-0.050215267442478,0.086385406508098422,0.407137390825974,-0.25077575907191968,-0.38714651639176983,-0.21161228576443897,0.12905514622314318,0.26914882612788787,-0.14863991604037569,0.14766987504949569,-0.2367993837027329,-0.14888082304897821
29,348,0.6251,-0.25655152455601693,0.085765058209364892,0.000466420439212315,-0.10568183595421188,0.047985176075885011,0.39449900579550978,0.011712751932496112,0.045194963726080985,0.38253718894712513,-0.17169580517847563,-0.44965066100077838,-0.18366472458234273,0.15197441354715946,0.33530290040822608,-0.14948647850980099,0.16531384005915012,-0.23555336572443639,-0.11906099143298265
30,360,0.5602,-0.26952448142058488,-0.045548370738253068,0.075846213824715611,-0.0098434782931102627,0.0061373733644295835,0.34753430032940774,0.03995284724869979,0.15864523642099887,0.35503687264145939,-0.046619772820545913,-0.41472115572568635,-0.29181531136525513,0.16040051197440947,0.31157090640957152,-0.10317004192933033,0.18724762288377278,-0.22153382440258015,-0.12769620263463022
31,372,0.6297,-0.31604434360356509,-0.10694724174678807,0.056285306244790952,0.016615501360814008,0.088776600000725014,0.33991234186270852,0.039648576164785808,0.16506400842799521,0.31969624535360108,-0.082012163350826381,-0.44516553746766174,-0.28684501814210978,0.22416057162460171,0.305498606970326,0.012965316371620529,0.12101943056964644,-0.16876186673228991,-0.15965284298263344
32,384,0.5962,-0.31384916980127331,-0.21942652923315897,0.059011175367741565,0.027061141683069671,0.035815959627213435,0.34922834935673158,0.059466485372666744,0.18998853701315,0.25952828445740384,-0.055311318669780764,-0.43839274486939417,-0.22770091821256488,0.24737419356384374,0.33744059942287868,-0.097344477984070713,0.043699801891540095,-0.24008140530103772,-0.054720489830569354
33,396,0.5956,-0.29603596148501471,-0.18483839160196638,0.13851506120978266,0.031192995053803938,0.04526829525902093,0.30131740718534489,-0.048499438602808469,0.23579266449143521,0.360543537732946,-0.011149902424976739,-0.37060714129499744,-0.28049049764733491,0.22369735065957894,0.36910699054905621,-0.11070156725182553,0.09262378482064057,-0.20869908658984071,-0.11781329103469383
34,408,0.6431,-0.28738932404079043,-0.12116176220832295,0.13912820532503178,-0.0561853692638036,-0.058492301380549741,0.34831365256528768,-0.056811030435683675,0.12453140500922655,0.3244353085238646,0.0016030309202969041,-0.32003032467746984,-0.25672350650358944,0.27406838543582107,0.28173934666743433,-0.10700930483436928,0.04338258915431864,-0.236015391504109,-0.25094256695012224
35,420,0.5707,-0.31642062335198928,-0.12627883067024762,0.16225227244180976,-0.01873835707450321,-0.063691308569065921,0.33533713265227566,-0.019654879798212288,0.10466145330454582,0.37723482662208069,-0.029955127145276702,-0.37749131219257853,-0.22921951971634244,0.15340637635287049,0.29411819703691061,-0.18878570359938476,0.0837408072478687,-0.20155501990689725,-0.24779704165468394
36,432,0.5760,-0.34545136361261841,-0.01092247393842748,0.058906908883271922,0.028406645655514349,-0.11376312859148341,0.32322622012062796,-0.023422288749626274,0.0086438946242031068,0.32928453858804585,0.027764055538943733,-0.47264430275636182,-0.20354226986257329,0.15608833570811154,0.26387419983754912,-0.21334563672929441,0.12399403276214367,-0.19250193472311924,-0.28490316348264932
37,444,0.5687,-0.31738572229730866,-0.097549135182955965,0.036129387052025966,0.01573578297568164,-0.20069904794711355,0.32754441271850732,-0.078120663581697738,0.069415644956314831,0.37926260918976107,0.098071991339208284,-0.4271391885548238,-0.19363829817561834,0.19442007417504142,0.25462719488075014,-0.15938074178561878,0.14386050217628965,-0.20663198300574662,-0.31266117864451448
38,456,0.5985,-0.41987968405428816,-0.047285850141791375,0.013611914288169094,-0.0030303477080036141,-0.23174916235941848,0.28566557178753438,-0.071872170027582213,0.097058193176946,0.32962706972263273,0.11708640025377361,-0.40116711223216439,-0.17968923008775434,0.13263050434236687,0.28480890588903685,-0.20350376209717541,0.091195404002514149,-0.18152950523647496,-0.31581096221711169
39,468,0.5909,-0.43373661888700665,0.030684600256165619,0.014519281374761817,0.10248605001762716,-0.13473718295242496,0.26378240305731976,-0.0987501852798277,0.15671281403571802,0.2804116046887854,0.2130842941715258,-0.41129100500564886,-0.13240902297632168,0.13799668428767159,0.2936156387988042,-0.21472814272111998,0.091743984218476432,-0.1394072387298507,-0.29695232380485409
40,480,0.5852,-0.39811652808311471,0.081155163179779083,0.00041019169029362816,0.0681848847952457,-0.085516654371397272,0.27351800865457288,-0.20376830537071286,0.21179840254241605,0.26023641521377694,0.1419446304366021,-0.44718280538467414,-0.14583104147441359,0.11424201991205458,0.30716222558554485,-0.21226476601759495,0.088813834126242913,-0.1604001071306258,-0.26455283856132089
41,492,0.5223,-0.40141370370628715,-0.011827413714942883,0.10249747555902554,0.074073456621313941,-0.15116956906558565,0.2740554689756633,-0.1815263619908524,0.25320708945274151,0.22641732187608013,0.12037236384891789,-0.52002873990156417,-0.19284287896126695,0.06679943642197976,0.24161488439427578,-0.1755967342650894,0.072564365997214317,-0.17055405306910892,-0.22579208992980887
42,504,0.5186,-0.35384533658130313,0.0040104334054020729,0.15611239280912015,0.10869020384283809,-0.051002422359908373,0.25885854441882983,-0.15568556098756239,0.29559902783468944,0.30188393142531628,0.047348122117698621,-0.520929645742007,-0.12494128144401548,0.19769982149156806,0.217665117451241,-0.10893164354205609,0.1295558365215676,-0.17535729323284,-0.17842533178874653
43,516,0.5447,-0.36791545735570852,0.044671244781471109,0.20749999987362069,0.17125406267837556,-0.033674750315291338,0.2611599449486684,-0.15876259253570965,0.35149484412551246,0.18826055414613807,0.064818124959600043,-0.52409195935060038,-0.10098359370324321,0.1172899978164033,0.20860748706466792,-0.10974216481728927,0.163178760962111,-0.2001621042973703,-0.17924624174694162
