Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrivalTime.1,phi.totProc.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1,12,583.6140,0.097761027499162836,0.17441835174210055,0.10235413661687212,0.23144653126837,0.18592819151645876,0.11479279851779706,0.23600080164165851,0.066175845534304945,-0.020777669158285026,-0.11468677414222463,0.20345943926808385,0.080978594514802285,0.25687617536790552,-0.13195564321162404,0.050718274849010404,0.18868471263231462,0.41423813032645074,0.18972218929030418
2,24,583.3200,0.13233758796795195,0.11860405060234464,-0.021108471977614871,0.0024995474995330312,0.19255307201151414,0.11633338359322133,0.34487758153322406,0.03484591095651942,-0.089416664599800744,-0.11186103007002696,0.029684456421230902,-0.11816593743666531,0.20938106726865685,-0.0746589697997124,0.039446580560382506,0.042072094683150416,0.0333832605996001,-0.076785539934491734
3,36,582.6640,0.012195073481424089,-0.22825365905379566,0.01237282256231173,-0.078377397588854883,0.17020281303701443,-0.055157773887398953,0.13549414635687618,0.056181784156029257,-0.16598075314537017,-0.21338729568711806,-0.13677874860737363,-0.17451682861835169,0.18414525538639478,0.00604659420061609,0.015359732273934727,0.02582121814677801,0.13259871492250974,-0.050693848285780517
4,48,581.0440,0.076189473090844909,-0.12704519880781803,-0.068175769293925492,-0.067348500918884571,0.11056020486901336,-0.21254850494628816,0.084752674813123374,0.088582588874816084,-0.23428350527893343,-0.065916961343835567,-0.12960923423107584,-0.03344570618956702,-0.032029731932733022,-0.10396046032665769,0.20085616812194138,0.20763133673914738,-0.00934089503835464,-0.192746794568044
5,60,581.4580,-0.13979065192975296,-0.19129132763117504,-0.15142718137851469,0.24324412002559995,-0.08012519087991174,-0.14634284371079009,0.0065727557352151765,0.043770762975733818,-0.2986179724593801,-0.043647131258456193,-0.17592792337442342,-0.10671565769797538,-0.13364047616321525,-0.19966526341196097,0.16373277783196274,0.12354841705609025,0.13108452072676968,-0.17914647136173939
6,72,583.4240,-0.27395988423797946,-0.090561931440317989,-0.14349961486049445,0.1933868834938853,-0.10316623892341421,-0.07062455397419061,-0.013605449270554846,0.13046928537537988,-0.068775180554286927,-0.082465996348314627,-0.14705890958663145,-0.13561676523938343,-0.052494761723726462,-0.19312512589230388,0.095557081484177075,-0.067098709357569369,0.086029362070153534,-0.17640146443319082
7,84,582.3140,-0.21491232264886498,-0.24546991113831931,-0.2463179571616454,0.087294282905551954,0.11075625637752833,-0.070425069385808323,0.073162070196971407,-0.10344455782677761,-0.025035716638797761,-0.39357943791651007,0.17200936697434005,0.07501164042854358,0.069894443853766586,-0.25549103744164309,-0.13888415307514995,-0.086904208518732,-0.03650319266856418,-0.099945984358913512
8,96,582.6120,-0.28383071228451773,-0.17582296863890903,-0.25658618458160104,-0.052250984531176374,0.0089662205099672321,-0.068258675449740888,-0.044134554316254071,-0.027598671252144078,-0.18305239767022671,-0.16848155670432954,0.061221568368423351,0.1545852774570497,0.11511301564239251,-0.15220863911850205,-0.17697379061932378,0.056150823655000237,-0.014581443250350433,-0.17059480105544575
9,108,582.8660,-0.31777746935549622,-0.20160254836951158,-0.30563198927522583,0.060675450655325085,-0.014380604363971265,-0.031944508943759,0.14840135402664376,-0.053104206871791182,-0.01987233340028173,-0.043391540355588593,0.3072336537900619,0.21521945052235444,0.081726555778698987,-0.057392348619970023,-0.18112214379989344,0.046159622457109889,-0.024846782108343984,0.058733465473780111
10,120,582.3160,-0.19228186895250773,-0.14569918017307137,-0.20219726662451348,0.083002529439113959,-0.18478977521668244,-0.017044323373147194,-0.18570189687564945,-0.040257463016555924,-0.15148197095559465,-0.1834135353234542,0.18495431223086811,0.17572571821610261,0.16338184048267651,-0.18552654031347332,-0.038128685297703815,0.029984911042312108,-0.15195212092418373,-0.036041524801550796
11,132,582.5340,0.0092286620205739769,0.024783070219526315,-0.35484546245861948,0.066897470590998986,-0.024387067538352711,0.0531913762701031,-0.038278931020775071,-0.28100986473442241,-0.0460185281888621,-0.2593837381257173,-0.13672026400719581,0.20953256846145191,0.066953024718753223,-0.31481484493529222,-0.11777047289915751,0.1009889981303492,-0.20387183962434943,-0.11874110146951065
12,144,582.5420,0.031947329876850179,-0.013852979586848118,-0.34664427783556157,-0.1928497855463448,-0.10224388906090852,-0.060483283560254356,-0.186142624775363,-0.14695164820419124,0.1638284747418578,-0.15262829171175168,0.041593625947670833,-0.056945722526167933,0.17336097016518753,0.021857522112317469,-0.014488405719960115,0.066921100280761162,-0.044691463281434946,-0.090464348414536128
13,156,582.2100,0.0633461793738418,-0.0535318631897976,-0.42152071362265781,-0.18459007957562598,-0.10785244889789854,0.00532202367184559,-0.12731061145406539,-0.38067374284704686,0.18507899508268397,-0.26527399771373777,0.045135846731585168,-0.079490066381984956,0.0201019206202796,-0.015857472558809677,-0.093943392015744531,0.051363420191821191,-0.042105112881457574,-0.016049166157863178
14,168,582.3920,0.07296537518458375,-0.025233564680141859,-0.33387705407782986,-0.14646266277433173,0.0011609537866698076,-0.062318252745058769,-0.20681789491377578,-0.46928387488752321,0.087994687518424666,-0.41615653109000794,0.0741533419678469,0.0024046803831903121,0.12913030685458321,-0.055213352255618742,-0.13113077290884895,0.15793030284328552,-0.11839164565339598,-0.17069853266157922
15,180,582.0540,0.027995292230617627,0.10841527006021459,-0.28810290435900138,-0.14021191347418657,0.027321345111082068,0.10689990937936998,-0.35214414554309481,-0.3445016062823778,-0.059810905857786784,-0.29044302040235809,0.0042605267855194522,0.071920094115486666,0.17298776287271875,-0.17322550909433834,-0.24235904917762821,0.051270190537839821,-0.17889199488577698,-0.15961837293363909
