Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrival.1,phi.procTotal.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1,12,516.346,0.283427197465163,0.251290526667438,0.0619455048476279,0.122613464262881,0.350954425974096,0.234672550464136,0.0710959630380066,0.107897916077736,0.340456720920654,0.0686445050663532,0.208214454097607,0.0810947327683477,0.145912908648118,0.344591109117244,0.0174909334375928,0.131755637450343,0.313866026232142,0.0559211613069538
2,24,514.674,0.0770032259261179,0.025504800797464,-0.23596676919597,0.0139205137412415,0.2065221103314,0.0165724152311263,0.0146956645375382,-0.0414083176223303,0.248359473869506,0.232049536157836,0.113660441199068,0.222014246482986,0.306978592355696,0.193376165381914,-0.158841871786708,0.0068762250532175,0.256575365745226,-0.197171723526269
3,36,509.868,-0.257234498553282,-0.0565295801541626,-0.131882494850174,0.0565344110611851,-0.122786346871076,-0.0620773653211214,0.0785923484858012,-0.108267163123034,0.0407831727468113,0.0214723219939245,-0.170887587896197,0.271981015107722,0.279287170749708,-0.0130352164771137,-0.0826521530054533,-0.153959701801511,-0.0767782983744186,-0.173375918504767
4,48,512.076,-0.181438073105563,-0.0407247907443836,-0.257834514259775,-0.0264143654756994,0.0467107702746913,-0.145672903966618,0.183983885021978,0.0854989081004772,-0.0880560477738012,-0.12294582536346,-0.261870521901301,0.13756167608781,0.207862881725815,-0.0916638885974355,-0.205430819955394,-0.0960855653848914,-0.290471279580844,0.0113544257885475
5,60,510.032,-0.0181851395185524,0.0490898799213179,-0.301839800755649,0.0752896798985276,-0.0526506972654417,0.0513515564270873,0.197862694310462,0.186596645608244,0.0321837730731382,-0.163672778607614,-0.316381530580616,0.20609619023754,-0.0830901678179814,0.0705210464920959,-0.144151881574801,-0.179541482570035,-0.105729682866867,-0.040017412727125
6,72,509.604,-0.0173539718855608,0.0604922411702073,-0.303013929082185,0.119120442163823,-0.274401750922837,0.153073715021712,-0.127293864097749,-0.0204946825065241,-0.190297082527665,-0.20061825377719,-0.27346914721179,0.198472157673435,-0.00134436724775671,0.206626031310481,-0.0961365804946715,-0.0913948100138491,-0.0879784401244593,-0.000273584482258643
7,84,510.826,-0.018106224099833,0.0608630117302243,-0.395279462327949,0.0494151947020659,-0.263887392124815,0.144310453974482,0.0591097411416224,0.12274212627875,-0.268861677083463,-0.245303172540598,-0.246106218221666,0.152933196479535,0.0251798154061998,0.0160802397535428,-0.203005269631379,-0.0343547350991471,-0.162418120545831,0.0176146923722443
8,96,509.646,-0.0534278537312947,0.0338038457659441,-0.293619536761491,0.23103976818833,-0.0982928951105123,0.14191054205449,-0.193925874185036,0.0956365409987084,-0.0301615162784711,-0.097485453452753,-0.265284826829201,0.0559121134146065,-0.137845562000066,-0.290209017717675,-0.0629530581248126,0.0180752637999905,-0.0440570692622175,0.104767069895886
9,108,509.508,-0.142943735946251,-0.0820430538875538,-0.220254655955575,0.108737089435014,0.0860798141759127,0.0561183811012274,-0.306809818331268,-0.0646250176016276,0.203851379649734,-0.055285051903817,-0.332537898555604,-0.0960839349500749,-0.0685560857206474,-0.153576887612097,-0.110436202739454,0.0997008177503189,0.0758278675852017,0.0792988325656332
10,120,509.966,-0.272381607840005,-0.0709163569949903,-0.317560737371799,0.0404636335166209,0.0979015617042821,0.187246504831239,-0.0690241422158333,-0.240516310906136,0.0828693524256002,-0.137957858154969,-0.30945915810389,-0.151468555874919,-0.230481725772868,-0.0481211545136326,-0.0612726012997895,0.144379282891894,-0.0566831879084436,-0.0886544858251485
11,132,509.966,-0.313213385875626,-0.0756793375999957,-0.24361574244951,-0.0159798546800889,0.115738600103424,0.23571077235761,-0.213154884667642,-0.130332658961265,0.0703029439810502,-0.294140697584799,-0.282650609541183,-0.100008226508195,-0.0922233451658472,-0.115585959807851,-0.163280885917908,0.0373852390387176,-0.102338780223722,0.0855958256222422
12,144,509.87,-0.259460943020726,-0.036815841833896,-0.138542634553248,0.06169121053536,-0.0241487305372277,0.367229967225889,-0.275166895739488,-0.0243009350930605,0.106623096490828,-0.260020867218268,-0.360693427423018,-0.0325572921012579,0.0914872090149436,-0.00515136873953929,0.064767148177841,0.0861223111231135,-0.0984833301816968,-0.218949308728299
13,156,509.292,-0.0447909240556362,0.122762090631256,-0.151766352386015,-0.195345009878952,0.0792156083769021,0.229521688760355,-0.0646319284424984,-0.094916165626527,0.0929735437662077,-0.330416008394996,-0.23214327532909,-0.0217430387402031,0.0365849765276889,-0.0777790000693306,0.0862799505034066,0.311134721134643,-0.118409078184949,-0.302333418750731
14,168,509.996,-0.187135692050288,0.0044030562838812,0.124719619888641,-0.0283747156934628,-0.09639763981818,0.174493759503858,0.00436641006537134,0.0467353178594326,0.0287715359488126,-0.360508337939218,-0.311479137080176,0.125530046928219,0.172504663859564,-0.00197065954652433,0.0338241201304273,0.300536496228617,-0.122628630736338,-0.187540707363694
15,180,509.856,-0.0855920753015024,0.0705127499363666,0.0228173610431781,-0.152693581047901,-0.0784245004169816,0.216774152239405,0.0836885196049247,-0.134362262105219,-0.00543331661937576,-0.400268488425368,-0.315405682278866,0.09726726504148,0.290702461048052,-0.191343948575811,-0.101712900388817,0.174120493913592,-0.0879911512789881,-0.175206426617882
16,192,509.946,-0.240210749804046,-0.0349425697892394,0.0757190080919246,-0.191469497841853,-0.118345891244334,0.225743703802865,0.00500867074101758,-0.109453771691469,-0.0358985560080034,-0.357930923566398,-0.186864897089727,0.050950773892993,0.262975964870433,-0.319627821060539,-0.121183460810839,0.00388950043917281,-0.0917060379126348,-0.3366597885151
