Name,CDR,Makespan
f.rnd.6x5.train.1,phi.SPT.E1,838
f.rnd.6x5.train.2,phi.SPT.E1,689
f.rnd.6x5.train.3,phi.SPT.E1,712
f.rnd.6x5.train.4,phi.SPT.E1,863
f.rnd.6x5.train.5,phi.SPT.E1,738
f.rnd.6x5.train.6,phi.SPT.E1,900
f.rnd.6x5.train.7,phi.SPT.E1,710
f.rnd.6x5.train.8,phi.SPT.E1,801
f.rnd.6x5.train.9,phi.SPT.E1,748
f.rnd.6x5.train.10,phi.SPT.E1,811
f.rnd.6x5.train.11,phi.SPT.E1,887
f.rnd.6x5.train.12,phi.SPT.E1,842
f.rnd.6x5.train.13,phi.SPT.E1,798
f.rnd.6x5.train.14,phi.SPT.E1,843
f.rnd.6x5.train.15,phi.SPT.E1,943
f.rnd.6x5.train.16,phi.SPT.E1,946
f.rnd.6x5.train.17,phi.SPT.E1,880
f.rnd.6x5.train.18,phi.SPT.E1,903
f.rnd.6x5.train.19,phi.SPT.E1,896
f.rnd.6x5.train.20,phi.SPT.E1,794
f.rnd.6x5.train.21,phi.SPT.E1,748
f.rnd.6x5.train.22,phi.SPT.E1,807
f.rnd.6x5.train.23,phi.SPT.E1,925
f.rnd.6x5.train.24,phi.SPT.E1,786
f.rnd.6x5.train.25,phi.SPT.E1,748
f.rnd.6x5.train.26,phi.SPT.E1,806
f.rnd.6x5.train.27,phi.SPT.E1,715
f.rnd.6x5.train.28,phi.SPT.E1,819
f.rnd.6x5.train.29,phi.SPT.E1,1043
f.rnd.6x5.train.30,phi.SPT.E1,889
f.rnd.6x5.train.31,phi.SPT.E1,791
f.rnd.6x5.train.32,phi.SPT.E1,1045
f.rnd.6x5.train.33,phi.SPT.E1,848
f.rnd.6x5.train.34,phi.SPT.E1,898
f.rnd.6x5.train.35,phi.SPT.E1,986
f.rnd.6x5.train.36,phi.SPT.E1,822
f.rnd.6x5.train.37,phi.SPT.E1,707
f.rnd.6x5.train.38,phi.SPT.E1,1048
f.rnd.6x5.train.39,phi.SPT.E1,795
f.rnd.6x5.train.40,phi.SPT.E1,731
f.rnd.6x5.train.41,phi.SPT.E1,741
f.rnd.6x5.train.42,phi.SPT.E1,786
f.rnd.6x5.train.43,phi.SPT.E1,601
f.rnd.6x5.train.44,phi.SPT.E1,886
f.rnd.6x5.train.45,phi.SPT.E1,770
f.rnd.6x5.train.46,phi.SPT.E1,863
f.rnd.6x5.train.47,phi.SPT.E1,932
f.rnd.6x5.train.48,phi.SPT.E1,944
f.rnd.6x5.train.49,phi.SPT.E1,880
f.rnd.6x5.train.50,phi.SPT.E1,902
f.rnd.6x5.train.51,phi.SPT.E1,839
f.rnd.6x5.train.52,phi.SPT.E1,959
f.rnd.6x5.train.53,phi.SPT.E1,757
f.rnd.6x5.train.54,phi.SPT.E1,807
f.rnd.6x5.train.55,phi.SPT.E1,866
f.rnd.6x5.train.56,phi.SPT.E1,908
f.rnd.6x5.train.57,phi.SPT.E1,767
f.rnd.6x5.train.58,phi.SPT.E1,895
f.rnd.6x5.train.59,phi.SPT.E1,776
f.rnd.6x5.train.60,phi.SPT.E1,833
f.rnd.6x5.train.61,phi.SPT.E1,794
f.rnd.6x5.train.62,phi.SPT.E1,756
f.rnd.6x5.train.63,phi.SPT.E1,938
f.rnd.6x5.train.64,phi.SPT.E1,904
f.rnd.6x5.train.65,phi.SPT.E1,765
f.rnd.6x5.train.66,phi.SPT.E1,926
f.rnd.6x5.train.67,phi.SPT.E1,706
f.rnd.6x5.train.68,phi.SPT.E1,827
f.rnd.6x5.train.69,phi.SPT.E1,842
f.rnd.6x5.train.70,phi.SPT.E1,792
f.rnd.6x5.train.71,phi.SPT.E1,810
f.rnd.6x5.train.72,phi.SPT.E1,862
f.rnd.6x5.train.73,phi.SPT.E1,818
f.rnd.6x5.train.74,phi.SPT.E1,666
f.rnd.6x5.train.75,phi.SPT.E1,1006
f.rnd.6x5.train.76,phi.SPT.E1,750
f.rnd.6x5.train.77,phi.SPT.E1,778
f.rnd.6x5.train.78,phi.SPT.E1,834
f.rnd.6x5.train.79,phi.SPT.E1,830
f.rnd.6x5.train.80,phi.SPT.E1,732
f.rnd.6x5.train.81,phi.SPT.E1,768
f.rnd.6x5.train.82,phi.SPT.E1,944
f.rnd.6x5.train.83,phi.SPT.E1,904
f.rnd.6x5.train.84,phi.SPT.E1,756
f.rnd.6x5.train.85,phi.SPT.E1,955
f.rnd.6x5.train.86,phi.SPT.E1,809
f.rnd.6x5.train.87,phi.SPT.E1,960
f.rnd.6x5.train.88,phi.SPT.E1,910
f.rnd.6x5.train.89,phi.SPT.E1,792
f.rnd.6x5.train.90,phi.SPT.E1,883
f.rnd.6x5.train.91,phi.SPT.E1,736
f.rnd.6x5.train.92,phi.SPT.E1,858
f.rnd.6x5.train.93,phi.SPT.E1,738
f.rnd.6x5.train.94,phi.SPT.E1,733
f.rnd.6x5.train.95,phi.SPT.E1,759
f.rnd.6x5.train.96,phi.SPT.E1,796
f.rnd.6x5.train.97,phi.SPT.E1,814
f.rnd.6x5.train.98,phi.SPT.E1,788
f.rnd.6x5.train.99,phi.SPT.E1,960
f.rnd.6x5.train.100,phi.SPT.E1,803
f.rnd.6x5.train.101,phi.SPT.E1,739
f.rnd.6x5.train.102,phi.SPT.E1,884
f.rnd.6x5.train.103,phi.SPT.E1,746
f.rnd.6x5.train.104,phi.SPT.E1,743
f.rnd.6x5.train.105,phi.SPT.E1,750
f.rnd.6x5.train.106,phi.SPT.E1,823
f.rnd.6x5.train.107,phi.SPT.E1,884
f.rnd.6x5.train.108,phi.SPT.E1,821
f.rnd.6x5.train.109,phi.SPT.E1,810
f.rnd.6x5.train.110,phi.SPT.E1,815
f.rnd.6x5.train.111,phi.SPT.E1,903
f.rnd.6x5.train.112,phi.SPT.E1,817
f.rnd.6x5.train.113,phi.SPT.E1,792
f.rnd.6x5.train.114,phi.SPT.E1,906
f.rnd.6x5.train.115,phi.SPT.E1,804
f.rnd.6x5.train.116,phi.SPT.E1,1023
f.rnd.6x5.train.117,phi.SPT.E1,743
f.rnd.6x5.train.118,phi.SPT.E1,695
f.rnd.6x5.train.119,phi.SPT.E1,885
f.rnd.6x5.train.120,phi.SPT.E1,726
f.rnd.6x5.train.121,phi.SPT.E1,782
f.rnd.6x5.train.122,phi.SPT.E1,898
f.rnd.6x5.train.123,phi.SPT.E1,844
f.rnd.6x5.train.124,phi.SPT.E1,1062
f.rnd.6x5.train.125,phi.SPT.E1,900
f.rnd.6x5.train.126,phi.SPT.E1,940
f.rnd.6x5.train.127,phi.SPT.E1,604
f.rnd.6x5.train.128,phi.SPT.E1,889
f.rnd.6x5.train.129,phi.SPT.E1,874
f.rnd.6x5.train.130,phi.SPT.E1,815
f.rnd.6x5.train.131,phi.SPT.E1,1003
f.rnd.6x5.train.132,phi.SPT.E1,867
f.rnd.6x5.train.133,phi.SPT.E1,918
f.rnd.6x5.train.134,phi.SPT.E1,740
f.rnd.6x5.train.135,phi.SPT.E1,861
f.rnd.6x5.train.136,phi.SPT.E1,876
f.rnd.6x5.train.137,phi.SPT.E1,814
f.rnd.6x5.train.138,phi.SPT.E1,729
f.rnd.6x5.train.139,phi.SPT.E1,812
f.rnd.6x5.train.140,phi.SPT.E1,932
f.rnd.6x5.train.141,phi.SPT.E1,831
f.rnd.6x5.train.142,phi.SPT.E1,978
f.rnd.6x5.train.143,phi.SPT.E1,1038
f.rnd.6x5.train.144,phi.SPT.E1,804
f.rnd.6x5.train.145,phi.SPT.E1,1054
f.rnd.6x5.train.146,phi.SPT.E1,925
f.rnd.6x5.train.147,phi.SPT.E1,733
f.rnd.6x5.train.148,phi.SPT.E1,863
f.rnd.6x5.train.149,phi.SPT.E1,759
f.rnd.6x5.train.150,phi.SPT.E1,874
f.rnd.6x5.train.151,phi.SPT.E1,666
f.rnd.6x5.train.152,phi.SPT.E1,964
f.rnd.6x5.train.153,phi.SPT.E1,878
f.rnd.6x5.train.154,phi.SPT.E1,780
f.rnd.6x5.train.155,phi.SPT.E1,845
f.rnd.6x5.train.156,phi.SPT.E1,828
f.rnd.6x5.train.157,phi.SPT.E1,851
f.rnd.6x5.train.158,phi.SPT.E1,802
f.rnd.6x5.train.159,phi.SPT.E1,898
f.rnd.6x5.train.160,phi.SPT.E1,1012
f.rnd.6x5.train.161,phi.SPT.E1,796
f.rnd.6x5.train.162,phi.SPT.E1,952
f.rnd.6x5.train.163,phi.SPT.E1,817
f.rnd.6x5.train.164,phi.SPT.E1,911
f.rnd.6x5.train.165,phi.SPT.E1,950
f.rnd.6x5.train.166,phi.SPT.E1,806
f.rnd.6x5.train.167,phi.SPT.E1,844
f.rnd.6x5.train.168,phi.SPT.E1,715
f.rnd.6x5.train.169,phi.SPT.E1,939
f.rnd.6x5.train.170,phi.SPT.E1,905
f.rnd.6x5.train.171,phi.SPT.E1,649
f.rnd.6x5.train.172,phi.SPT.E1,833
f.rnd.6x5.train.173,phi.SPT.E1,1001
f.rnd.6x5.train.174,phi.SPT.E1,825
f.rnd.6x5.train.175,phi.SPT.E1,982
f.rnd.6x5.train.176,phi.SPT.E1,884
f.rnd.6x5.train.177,phi.SPT.E1,865
f.rnd.6x5.train.178,phi.SPT.E1,848
f.rnd.6x5.train.179,phi.SPT.E1,1025
f.rnd.6x5.train.180,phi.SPT.E1,711
f.rnd.6x5.train.181,phi.SPT.E1,966
f.rnd.6x5.train.182,phi.SPT.E1,814
f.rnd.6x5.train.183,phi.SPT.E1,912
f.rnd.6x5.train.184,phi.SPT.E1,819
f.rnd.6x5.train.185,phi.SPT.E1,873
f.rnd.6x5.train.186,phi.SPT.E1,825
f.rnd.6x5.train.187,phi.SPT.E1,783
f.rnd.6x5.train.188,phi.SPT.E1,965
f.rnd.6x5.train.189,phi.SPT.E1,940
f.rnd.6x5.train.190,phi.SPT.E1,884
f.rnd.6x5.train.191,phi.SPT.E1,899
f.rnd.6x5.train.192,phi.SPT.E1,741
f.rnd.6x5.train.193,phi.SPT.E1,719
f.rnd.6x5.train.194,phi.SPT.E1,796
f.rnd.6x5.train.195,phi.SPT.E1,650
f.rnd.6x5.train.196,phi.SPT.E1,917
f.rnd.6x5.train.197,phi.SPT.E1,934
f.rnd.6x5.train.198,phi.SPT.E1,882
f.rnd.6x5.train.199,phi.SPT.E1,705
f.rnd.6x5.train.200,phi.SPT.E1,965
f.rnd.6x5.train.201,phi.SPT.E1,842
f.rnd.6x5.train.202,phi.SPT.E1,916
f.rnd.6x5.train.203,phi.SPT.E1,949
f.rnd.6x5.train.204,phi.SPT.E1,840
