Name,CDR,Makespan,BestFoundMakespan
f.mc.6x5.train.118,phi.SPT.E1,641,585
f.mc.6x5.train.119,phi.SPT.E1,738,594
f.mc.6x5.train.120,phi.SPT.E1,1001,858
f.mc.6x5.train.121,phi.SPT.E1,825,761
f.mc.6x5.train.122,phi.SPT.E1,959,772
f.mc.6x5.train.123,phi.SPT.E1,223,187
f.mc.6x5.train.124,phi.SPT.E1,611,510
f.mc.6x5.train.125,phi.SPT.E1,592,507
f.mc.6x5.train.126,phi.SPT.E1,752,575
f.mc.6x5.train.127,phi.SPT.E1,697,616
f.mc.6x5.train.128,phi.SPT.E1,671,660
f.mc.6x5.train.129,phi.SPT.E1,926,781
f.mc.6x5.train.130,phi.SPT.E1,827,696
f.mc.6x5.train.131,phi.SPT.E1,408,357
f.mc.6x5.train.132,phi.SPT.E1,448,415
f.mc.6x5.train.133,phi.SPT.E1,660,544
f.mc.6x5.train.134,phi.SPT.E1,637,570
f.mc.6x5.train.135,phi.SPT.E1,741,639
f.mc.6x5.train.136,phi.SPT.E1,700,698
f.mc.6x5.train.137,phi.SPT.E1,943,800
f.mc.6x5.train.138,phi.SPT.E1,1034,869
f.mc.6x5.train.139,phi.SPT.E1,476,399
f.mc.6x5.train.140,phi.SPT.E1,763,581
f.mc.6x5.train.141,phi.SPT.E1,793,621
f.mc.6x5.train.142,phi.SPT.E1,780,738
f.mc.6x5.train.143,phi.SPT.E1,775,636
f.mc.6x5.train.144,phi.SPT.E1,817,739
f.mc.6x5.train.145,phi.SPT.E1,715,705
f.mc.6x5.train.146,phi.SPT.E1,384,327
f.mc.6x5.train.147,phi.SPT.E1,402,359
f.mc.6x5.train.148,phi.SPT.E1,687,616
f.mc.6x5.train.149,phi.SPT.E1,472,468
f.mc.6x5.train.150,phi.SPT.E1,734,651
f.mc.6x5.train.151,phi.SPT.E1,815,717
f.mc.6x5.train.152,phi.SPT.E1,923,833
f.mc.6x5.train.153,phi.SPT.E1,994,883
f.mc.6x5.train.154,phi.SPT.E1,460,398
f.mc.6x5.train.155,phi.SPT.E1,506,440
f.mc.6x5.train.156,phi.SPT.E1,660,555
f.mc.6x5.train.157,phi.SPT.E1,888,714
f.mc.6x5.train.158,phi.SPT.E1,709,603
f.mc.6x5.train.159,phi.SPT.E1,897,760
f.mc.6x5.train.160,phi.SPT.E1,1022,795
f.mc.6x5.train.161,phi.SPT.E1,521,436
f.mc.6x5.train.162,phi.SPT.E1,455,388
f.mc.6x5.train.163,phi.SPT.E1,713,558
f.mc.6x5.train.164,phi.SPT.E1,575,522
f.mc.6x5.train.165,phi.SPT.E1,666,604
f.mc.6x5.train.166,phi.SPT.E1,863,705
f.mc.6x5.train.167,phi.SPT.E1,838,697
f.mc.6x5.train.168,phi.SPT.E1,871,745
f.mc.6x5.train.169,phi.SPT.E1,525,434
f.mc.6x5.train.170,phi.SPT.E1,621,474
f.mc.6x5.train.171,phi.SPT.E1,561,492
f.mc.6x5.train.172,phi.SPT.E1,536,476
f.mc.6x5.train.173,phi.SPT.E1,605,597
f.mc.6x5.train.174,phi.SPT.E1,934,787
f.mc.6x5.train.175,phi.SPT.E1,846,746
f.mc.6x5.train.176,phi.SPT.E1,985,826
f.mc.6x5.train.177,phi.SPT.E1,572,425
f.mc.6x5.train.178,phi.SPT.E1,570,518
f.mc.6x5.train.179,phi.SPT.E1,676,553
f.mc.6x5.train.180,phi.SPT.E1,885,668
f.mc.6x5.train.181,phi.SPT.E1,835,684
f.mc.6x5.train.182,phi.SPT.E1,1105,865
f.mc.6x5.train.183,phi.SPT.E1,1060,894
f.mc.6x5.train.184,phi.SPT.E1,573,436
f.mc.6x5.train.185,phi.SPT.E1,588,501
f.mc.6x5.train.186,phi.SPT.E1,549,482
f.mc.6x5.train.187,phi.SPT.E1,579,494
f.mc.6x5.train.188,phi.SPT.E1,741,631
f.mc.6x5.train.189,phi.SPT.E1,901,742
f.mc.6x5.train.190,phi.SPT.E1,951,744
f.mc.6x5.train.191,phi.SPT.E1,927,772
f.mc.6x5.train.192,phi.SPT.E1,377,339
f.mc.6x5.train.193,phi.SPT.E1,508,495
f.mc.6x5.train.194,phi.SPT.E1,525,461
f.mc.6x5.train.195,phi.SPT.E1,578,548
f.mc.6x5.train.196,phi.SPT.E1,673,569
f.mc.6x5.train.197,phi.SPT.E1,858,785
f.mc.6x5.train.198,phi.SPT.E1,962,872
f.mc.6x5.train.199,phi.SPT.E1,362,331
f.mc.6x5.train.200,phi.SPT.E1,465,393
f.mc.6x5.train.201,phi.SPT.E1,654,534
f.mc.6x5.train.202,phi.SPT.E1,750,623
f.mc.6x5.train.203,phi.SPT.E1,714,599
f.mc.6x5.train.204,phi.SPT.E1,879,700
f.mc.6x5.train.205,phi.SPT.E1,926,782
f.mc.6x5.train.206,phi.SPT.E1,1119,944
f.mc.6x5.train.207,phi.SPT.E1,488,370
f.mc.6x5.train.208,phi.SPT.E1,373,325
f.mc.6x5.train.209,phi.SPT.E1,416,373
f.mc.6x5.train.210,phi.SPT.E1,647,579
f.mc.6x5.train.211,phi.SPT.E1,714,629
f.mc.6x5.train.212,phi.SPT.E1,838,711
f.mc.6x5.train.213,phi.SPT.E1,693,608
f.mc.6x5.train.214,phi.SPT.E1,1140,872
f.mc.6x5.train.215,phi.SPT.E1,395,357
f.mc.6x5.train.216,phi.SPT.E1,708,565
f.mc.6x5.train.217,phi.SPT.E1,555,451
f.mc.6x5.train.218,phi.SPT.E1,596,580
f.mc.6x5.train.219,phi.SPT.E1,769,646
f.mc.6x5.train.220,phi.SPT.E1,933,780
f.mc.6x5.train.221,phi.SPT.E1,1075,813
f.mc.6x5.train.222,phi.SPT.E1,390,345
f.mc.6x5.train.223,phi.SPT.E1,557,427
f.mc.6x5.train.224,phi.SPT.E1,624,497
f.mc.6x5.train.225,phi.SPT.E1,800,617
f.mc.6x5.train.226,phi.SPT.E1,777,692
f.mc.6x5.train.227,phi.SPT.E1,1015,775
f.mc.6x5.train.228,phi.SPT.E1,722,643
f.mc.6x5.train.229,phi.SPT.E1,1112,904
f.mc.6x5.train.230,phi.SPT.E1,513,413
f.mc.6x5.train.231,phi.SPT.E1,652,516
f.mc.6x5.train.232,phi.SPT.E1,493,407
f.mc.6x5.train.233,phi.SPT.E1,765,613
f.mc.6x5.train.234,phi.SPT.E1,736,667
f.mc.6x5.train.235,phi.SPT.E1,630,614
f.mc.6x5.train.236,phi.SPT.E1,922,803
f.mc.6x5.train.237,phi.SPT.E1,268,230
f.mc.6x5.train.238,phi.SPT.E1,542,482
f.mc.6x5.train.239,phi.SPT.E1,576,515
f.mc.6x5.train.240,phi.SPT.E1,602,533
f.mc.6x5.train.241,phi.SPT.E1,734,540
f.mc.6x5.train.242,phi.SPT.E1,772,766
f.mc.6x5.train.243,phi.SPT.E1,886,805
f.mc.6x5.train.244,phi.SPT.E1,1119,854
f.mc.6x5.train.245,phi.SPT.E1,387,323
f.mc.6x5.train.246,phi.SPT.E1,548,481
f.mc.6x5.train.247,phi.SPT.E1,650,529
f.mc.6x5.train.248,phi.SPT.E1,891,688
f.mc.6x5.train.249,phi.SPT.E1,681,622
f.mc.6x5.train.250,phi.SPT.E1,622,510
f.mc.6x5.train.251,phi.SPT.E1,944,771
f.mc.6x5.train.252,phi.SPT.E1,969,813
f.mc.6x5.train.253,phi.SPT.E1,603,474
f.mc.6x5.train.254,phi.SPT.E1,307,253
f.mc.6x5.train.255,phi.SPT.E1,537,532
f.mc.6x5.train.256,phi.SPT.E1,615,555
f.mc.6x5.train.257,phi.SPT.E1,905,749
f.mc.6x5.train.258,phi.SPT.E1,689,550
f.mc.6x5.train.259,phi.SPT.E1,898,813
f.mc.6x5.train.260,phi.SPT.E1,500,415
f.mc.6x5.train.261,phi.SPT.E1,560,460
f.mc.6x5.train.262,phi.SPT.E1,707,546
f.mc.6x5.train.263,phi.SPT.E1,732,658
f.mc.6x5.train.264,phi.SPT.E1,795,631
f.mc.6x5.train.265,phi.SPT.E1,823,668
f.mc.6x5.train.266,phi.SPT.E1,1052,764
f.mc.6x5.train.267,phi.SPT.E1,969,788
f.mc.6x5.train.268,phi.SPT.E1,570,456
f.mc.6x5.train.269,phi.SPT.E1,570,475
f.mc.6x5.train.270,phi.SPT.E1,812,612
f.mc.6x5.train.271,phi.SPT.E1,705,573
f.mc.6x5.train.272,phi.SPT.E1,780,647
f.mc.6x5.train.273,phi.SPT.E1,822,699
f.mc.6x5.train.274,phi.SPT.E1,940,758
f.mc.6x5.train.275,phi.SPT.E1,443,389
f.mc.6x5.train.276,phi.SPT.E1,501,409
f.mc.6x5.train.277,phi.SPT.E1,541,445
f.mc.6x5.train.278,phi.SPT.E1,612,543
f.mc.6x5.train.279,phi.SPT.E1,675,665
f.mc.6x5.train.280,phi.SPT.E1,848,697
f.mc.6x5.train.281,phi.SPT.E1,839,715
f.mc.6x5.train.282,phi.SPT.E1,867,697
f.mc.6x5.train.283,phi.SPT.E1,436,423
f.mc.6x5.train.284,phi.SPT.E1,618,537
f.mc.6x5.train.285,phi.SPT.E1,665,590
f.mc.6x5.train.286,phi.SPT.E1,639,565
f.mc.6x5.train.287,phi.SPT.E1,710,703
f.mc.6x5.train.288,phi.SPT.E1,955,801
f.mc.6x5.train.289,phi.SPT.E1,1094,883
f.mc.6x5.train.290,phi.SPT.E1,1023,924
f.mc.6x5.train.291,phi.SPT.E1,549,457
f.mc.6x5.train.292,phi.SPT.E1,433,425
f.mc.6x5.train.293,phi.SPT.E1,657,557
f.mc.6x5.train.294,phi.SPT.E1,795,633
f.mc.6x5.train.295,phi.SPT.E1,531,380
f.mc.6x5.train.296,phi.SPT.E1,713,697
f.mc.6x5.train.297,phi.SPT.E1,978,793
f.mc.6x5.train.298,phi.SPT.E1,415,355
f.mc.6x5.train.299,phi.SPT.E1,415,360
f.mc.6x5.train.300,phi.SPT.E1,485,473
f.mc.6x5.train.301,phi.SPT.E1,624,561
f.mc.6x5.train.302,phi.SPT.E1,649,584
f.mc.6x5.train.303,phi.SPT.E1,884,763
f.mc.6x5.train.304,phi.SPT.E1,828,744
f.mc.6x5.train.305,phi.SPT.E1,999,841
f.mc.6x5.train.306,phi.SPT.E1,469,413
f.mc.6x5.train.307,phi.SPT.E1,534,469
f.mc.6x5.train.308,phi.SPT.E1,665,536
f.mc.6x5.train.309,phi.SPT.E1,710,592
f.mc.6x5.train.310,phi.SPT.E1,862,749
f.mc.6x5.train.311,phi.SPT.E1,947,828
f.mc.6x5.train.312,phi.SPT.E1,1114,931
f.mc.6x5.train.313,phi.SPT.E1,293,257
f.mc.6x5.train.314,phi.SPT.E1,374,322
f.mc.6x5.train.315,phi.SPT.E1,468,392
f.mc.6x5.train.316,phi.SPT.E1,563,554
f.mc.6x5.train.317,phi.SPT.E1,845,718
f.mc.6x5.train.318,phi.SPT.E1,722,564
f.mc.6x5.train.319,phi.SPT.E1,778,693
