Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
Weight,16,1,phi.proc,NA,0.0004858181017041296,0.037021629789851171,0.048542792542907283,-0.042233975013065583,-0.026302361487397341,-0.048886798447797669,0.037052684456156372,-0.033511196081872245,-0.026577853465431067,-0.016246376749950147,-0.0024119193696031842,-0.037662678314280627,-0.081076274164909548,-0.0020165201071121173,0.042827539940454379,-0.058487475839480253,-0.046172161192971267,0.019162426079502481,-0.032282121826532888,0.081957488254924216,0.011346043283986473,-0.038802566098520563,-0.033967262547917869,-0.11389531094395881,0.051177476881549951,0.029278118424765413,-0.067360249574067874,-0.041699789846358713,0.01874779854827972,-0.003833600876645713
Weight,16,1,phi.startTime,NA,-0.04032557777259705,-0.011949972488221657,-0.048621213952083055,0.002047273391354775,0.0072058305960102775,-0.074086652659382773,-0.033612896071926079,-0.053545588600668659,0.010399466269464619,-0.026675626858641856,-0.032539092065014007,-0.026727480279953274,-0.043759924044020557,-0.049637628591815981,-0.05781186183454344,-0.0082895647305334559,-0.05857485852861273,-0.00960960202430373,-0.040750762916097562,-0.064116561116629042,-0.055561358652939687,-0.012288427719505491,-0.095654513703861258,-0.029269604230638492,-0.058206824280502688,0.032538502924378321,0.011054283520512109,-0.075349863376803369,-0.015697380263787038,-0.08543427775001633
Weight,16,1,phi.endTime,NA,-0.0471897844108284,-0.095605150282329493,-0.10836138793193259,-0.05969517511020591,-0.0744698783601794,-0.017847681994582809,-0.0617994962509526,-0.029316867963103458,-0.04277530317818494,-0.0063203237471412942,-0.035146884713269613,-0.012261206757011258,-0.062144655036169415,0.0043474175268630125,-0.065771786139749239,-0.094312369504670535,-0.042864685775317081,-0.0066777449974180607,-0.048693602361358557,-0.075992004774673841,-0.017944614431045523,0.034691526068249358,-0.079516068555370342,0.0028435252931618056,-0.073234876394765475,-0.052367975568650811,-0.037168936136010813,0.022268672900692274,-0.028182678974155873,-0.015922792906236397
Weight,16,1,phi.arrival,NA,0.029746212856599903,-0.086164334838852608,-0.0038818842937350293,-0.023158258667733363,0.0088011069628392,-0.066064239638276442,0.0052029757261012133,-0.044904290081080114,0.0542380297361328,0.014097999109537558,-0.010328837866919476,-0.0841554481888207,-0.050176822988736533,0.020654459261663927,-0.053076523997242685,0.0042802528793726919,-0.058524277699254133,0.0010044499712804913,-0.049694678527391872,0.00041062563155485981,-0.003817004161194168,-0.011884927200501298,-0.0070253081023804367,0.0095073734031631083,0.00911039877972908,-0.0087326487498699465,-0.035402635089416164,0.012864318053579751,-0.043869843294966474,0.020654056974257411
Weight,16,1,phi.wait,NA,-0.064763176753572738,0.00333503270038447,0.0091660783028665975,-0.047940135455120977,0.012328077487283783,-0.0092670745723894155,0.07941540405919699,-0.052062286766406271,0.048452795325367948,0.015572120875807106,0.015153454714467078,-0.024548956364817767,-0.0010935452254241613,0.03768920294489575,-0.017560809111804229,-0.0097471074641834968,0.025524895991672361,0.013699656839422284,-0.045627623842303545,0.040836837432284029,0.00935130047877285,0.010507917493635346,-0.012183845244625326,0.011596213368192715,-0.0091916310122610138,-0.018196931325995949,-0.013718227648842059,0.030204059849045943,-0.04677416453520257,-0.011202902174249558
Weight,16,1,phi.macFree,NA,-0.02644853195995724,-0.073469422766338249,-0.075676969664975446,-0.065618298990778492,-0.12482758339080162,-0.076557752257164421,-0.026330732207511396,0.0066878494169262418,-0.02746061731425813,-0.08711555550641055,-0.061403861267646041,-0.062209380808162733,-0.025037620829605492,-0.07329506324830723,-0.11484137362829376,0.0044224429927107413,-0.069367725263802846,-0.09744125907325378,0.0093915754628873527,-0.07187935722044772,-0.071246891361038886,-0.066032818371187463,0.054272367727211841,-0.038181156258847708,-0.043401115514457418,-0.016305527246555672,-0.013785472380966243,-0.014068203561319744,-0.029909940790537343,-0.016897800228555058
Weight,16,1,phi.makespan,NA,-0.058023150842045304,-0.064442939209967853,-0.027398436340557438,-0.0033292674232090888,0.027866416182289938,0.043394358857709966,0.0014006750042383383,-0.043424412924122711,-0.062046532505722486,-0.01477157937950564,0.032164611950165851,-0.050763844107972335,-0.031988168774656031,-0.037281692194092594,-0.010167569526884813,-0.054212306902178382,0.033478259158624755,-0.0022941375415652166,-0.028786823124823606,-0.077469232668096508,-0.0057859806818776191,-0.015000297025077661,-0.036146138775943588,0.0521062214957909,-0.017616379204513786,-0.028409806944129045,-0.0048797795507714995,-0.022430544343166183,0.0023525291719269131,-0.0030670095408215814
Weight,16,1,phi.reducedSlack,NA,0.0040019811392556651,0.053433928369576618,0.0253224361788161,0.0014680395562281325,0.011341261288741305,-0.075193903037262713,0.063381344880806767,0.052380407225092886,0.036867214608700044,0.10937220646437229,0.035937211352544442,-0.037347206848758072,-0.0489651851436713,0.087774616122373708,0.042972581275488884,0.00252403712794435,-0.11565662457516294,-0.0037877546694353838,0.024592892891793616,0.0132392898857839,-0.016502823408030002,0.024118331502841293,-0.022714709157796428,0.016332828654123485,0.021771142557491938,0.026783054932079088,0.032462213423894222,0.10131024252741674,0.029014113751223713,0.0014149101042397788
Weight,16,1,phi.macSlack,NA,0.012968641311564659,0.029309574003623648,0.023521877547253021,-0.17324440309170358,-0.016147156305888165,0.002600592824861758,-0.0071231337452898466,-0.095187179831181662,-0.030756794978195629,-0.0278869203804389,-0.10216451170460426,0.00011411605730692784,-0.0117532808652767,-0.11110366225761523,-0.057806618556707892,-0.05521178664612348,-0.041003326245780423,0.0052941029279663506,0.040572309226497183,-0.0259233304954112,0.0265348535783977,0.042105297454003474,0.031901244390990277,-0.013451643709661523,-0.0089955201456825336,-0.015641388350770186,-0.05134041167913022,-0.0028586218822828709,-0.029159693272011789,-0.011120519322854676
Weight,16,1,phi.allSlack,NA,-0.0051531399655953512,0.0244881665362338,-0.0945810844593854,-0.033453069060601172,-0.024705830441963575,0.011872841533749127,-0.032517220594564959,0.0017232503469213657,-0.0464895558374676,0.046278586185837085,-0.021352195175068471,-0.097035742467764918,-0.10891527242964961,0.01459544656678561,0.045571218808983509,-0.031459159604939058,-0.0802222429746529,-0.070634480578300574,0.034332318935504938,0.085427809974073107,-0.052456692408934059,-0.0029552821223637589,-0.0087447876193880326,-0.010705722742976214,0.013710201464217062,-0.10329825931765253,-0.042797557168627924,0.020972253048508159,-0.0092998669124891211,0.066782332855050086
