Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.0562092022961006
Weight,16,1,phi.startTime,NA,0.0386506347328105
Weight,16,1,phi.endTime,NA,0.236540945713966
Weight,16,1,phi.jobOps,NA,0.230093930993451
Weight,16,1,phi.arrival,NA,-0.202230233488475
Weight,16,1,phi.wait,NA,-0.106098725476528
Weight,16,1,phi.mac,NA,-0.341484093993294
Weight,16,1,phi.macOps,NA,0.252871308117678
Weight,16,1,phi.macFree,NA,-0.200484351108523
Weight,16,1,phi.makespan,NA,-0.485126869128036
Weight,16,1,phi.slotReduced,NA,0.0956835973227415
Weight,16,1,phi.slots,NA,0.470178538650194
Weight,16,1,phi.slotsTotal,NA,-0.221625812103414
Weight,16,1,phi.wrmMac,NA,0.0720958869905687
Weight,16,1,phi.wrmJob,NA,-0.181447495500258
Weight,16,1,phi.wrmTotal,NA,-0.0037433020604977
