Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.196310803010115
Weight,16,1,phi.startTime,NA,-0.279483548651802
Weight,16,1,phi.endTime,NA,-0.414921125302559
Weight,16,1,phi.jobOps,NA,-0.28411362213178
Weight,16,1,phi.arrival,NA,-0.283137388969283
Weight,16,1,phi.wait,NA,-0.268443034430689
Weight,16,1,phi.mac,NA,-0.112627424937507
Weight,16,1,phi.macOps,NA,0.0202609118253736
Weight,16,1,phi.macFree,NA,0.182979570695749
Weight,16,1,phi.makespan,NA,-0.358973522252259
Weight,16,1,phi.slotReduced,NA,-0.232196074313399
Weight,16,1,phi.slots,NA,-0.117538343061439
Weight,16,1,phi.slotsTotal,NA,-0.151630063705861
Weight,16,1,phi.wrmMac,NA,0.24033320809849
Weight,16,1,phi.wrmJob,NA,0.339564930106164
Weight,16,1,phi.wrmTotal,NA,0.145478226515248
