Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.23802247639523577
Weight,16,1,phi.startTime,NA,-0.19691771558400389
Weight,16,1,phi.endTime,NA,-0.19374559496503455
Weight,16,1,phi.arrival,NA,0.26327686180167004
Weight,16,1,phi.wait,NA,0.26138796616652149
Weight,16,1,phi.macFree,NA,-0.43996438000221422
Weight,16,1,phi.makespan,NA,0.19175482987323597
Weight,16,1,phi.reducedSlack,NA,0.34153577367505777
Weight,16,1,phi.macSlack,NA,0.006084053886970902
Weight,16,1,phi.allSlack,NA,0.18448477134304664
Weight,16,1,phi.jobOps,NA,-0.48794481534334672
Weight,16,1,phi.macOps,NA,-0.23183123889788199
Weight,16,1,phi.jobWrm,NA,0.10878514044795201
Weight,16,1,phi.macWrm,NA,0.20897054264200765
Weight,16,1,phi.jobTotProcTime,NA,0.0044245989807284941
Weight,16,1,phi.macTotProcTime,NA,-0.03126890172898858
