Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.54165248375885122
Weight,16,1,phi.startTime,NA,-0.15232351369819835
Weight,16,1,phi.endTime,NA,-0.063206156224512658
Weight,16,1,phi.arrival,NA,-0.22885397043126626
Weight,16,1,phi.wait,NA,-0.23130243166127967
Weight,16,1,phi.macFree,NA,0.23810036979811941
Weight,16,1,phi.makespan,NA,0.13824788499569771
Weight,16,1,phi.reducedSlack,NA,3.8980435835549829E-05
Weight,16,1,phi.macSlack,NA,-0.29736946972672662
Weight,16,1,phi.allSlack,NA,-0.1139281779418571
Weight,16,1,phi.jobOps,NA,0.17267078559624144
Weight,16,1,phi.macOps,NA,0.068194463622996818
Weight,16,1,phi.jobWrm,NA,0.15840641690532145
Weight,16,1,phi.macWrm,NA,0.24374153974406015
Weight,16,1,phi.jobTotProcTime,NA,-0.08272926196794482
Weight,16,1,phi.macTotProcTime,NA,-0.51986670269425084
