Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.025985392033741173
Weight,16,1,phi.startTime,NA,-0.36745539544356759
Weight,16,1,phi.endTime,NA,0.072341790023031122
Weight,16,1,phi.arrival,NA,0.13003069165473366
Weight,16,1,phi.wait,NA,-0.34165473737921487
Weight,16,1,phi.macFree,NA,-0.20336454544703542
Weight,16,1,phi.makespan,NA,-0.72178827565348425
Weight,16,1,phi.reducedSlack,NA,0.20874236503732341
Weight,16,1,phi.macSlack,NA,0.15739273146863372
Weight,16,1,phi.allSlack,NA,0.098390481497584892
Weight,16,1,phi.jobOps,NA,0.00235732342270071
Weight,16,1,phi.macOps,NA,0.23590130353789646
Weight,16,1,phi.jobWrm,NA,-0.033555278015458628
Weight,16,1,phi.macWrm,NA,0.14762428961438126
Weight,16,1,phi.jobTotProcTime,NA,0.075852917938135048
Weight,16,1,phi.macTotProcTime,NA,-0.027248763920627955
