Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.195995571544823
Weight,16,1,phi.startTime,NA,-0.200836447657438
Weight,16,1,phi.endTime,NA,0.0837225082613941
Weight,16,1,phi.jobOps,NA,-0.357720810865778
Weight,16,1,phi.arrival,NA,0.0908251684634685
Weight,16,1,phi.wait,NA,0.106159790257683
Weight,16,1,phi.mac,NA,0.29942204417881
Weight,16,1,phi.macOps,NA,0.147124427140527
Weight,16,1,phi.macFree,NA,-0.145773203312622
Weight,16,1,phi.makespan,NA,-0.405896010020119
Weight,16,1,phi.slotReduced,NA,0.153848475148989
Weight,16,1,phi.slots,NA,0.54667451242086
Weight,16,1,phi.slotsTotal,NA,0.0618297929102119
Weight,16,1,phi.wrmMac,NA,0.0576278910513607
Weight,16,1,phi.wrmJob,NA,0.152984499806395
Weight,16,1,phi.wrmTotal,NA,0.123277233827957
