Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.107368276509421
Weight,16,1,phi.startTime,NA,-0.169999247740296
Weight,16,1,phi.endTime,NA,0.0542039171167145
Weight,16,1,phi.jobOps,NA,0.40617419148102
Weight,16,1,phi.arrival,NA,0.390957852826779
Weight,16,1,phi.wait,NA,0.0458404169181437
Weight,16,1,phi.mac,NA,0.174510452339594
Weight,16,1,phi.macOps,NA,0.176099582084481
Weight,16,1,phi.macFree,NA,0.0405261902032722
Weight,16,1,phi.makespan,NA,-0.303036558355859
Weight,16,1,phi.slotReduced,NA,0.318822576845584
Weight,16,1,phi.slots,NA,-0.0045584896473358
Weight,16,1,phi.slotsTotal,NA,-0.106825943115299
Weight,16,1,phi.wrmMac,NA,0.0739682801959132
Weight,16,1,phi.wrmJob,NA,-0.262092942482779
Weight,16,1,phi.wrmTotal,NA,-0.336582520321615
