Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
Weight,16,1,phi.proc,NA,-0.0546796060699492,0.012309706138571639,-0.0054940482134638166,-0.0075346489065138567,0.043242434530602294,0.031368381625634122,-0.040699417627429395,-0.038371679281293473,-0.021311953202162889,-0.0099800028709172636,-0.026967086446616325,-0.0037342304825580029,-0.034834223211055004,-0.0021071566858661918,0.054465033760456721,0.028886798666042268,0.031027233882823205,-0.068981108460190649,-0.0060423293705883039,-0.034281111991430309,0.031329929731204437,-0.010345008256020749,-0.0079102915747128657,-0.065881117494008185,-0.042807044781869412,-0.021519245926537613,-0.0060686216625360136,-0.035104573961637263,0.077264049157094561,0.00039035419030430566
Weight,16,1,phi.startTime,NA,-0.099381361186455658,-0.0200327585168316,-0.091087252178723876,-0.01081843890440245,-0.052766246526431818,0.026935533920013268,-0.05432729043645354,-0.064617541898212089,-0.079135681943645578,-0.0047482878751397934,0.020163643954139679,-0.026594443414399465,-0.026684783322659954,0.014642190435590908,-0.087270667121503581,-0.06712342127848514,0.026811632255482356,-0.070280634258047911,-0.018921799153155384,-0.021686291321877809,-0.05317000852237562,-0.050479589704360291,-0.083993445985275236,-0.063697071008093992,-0.027580773189575098,0.035766842613375122,0.031856821102702992,-0.027423273910033557,-0.0046452861003853461,-0.0467884995441116
Weight,16,1,phi.endTime,NA,-0.05469392389057845,-0.041810286117943608,0.059972993283756555,-0.012564716575263948,-0.12892180648111842,-0.060789091265791385,-0.0789990926939402,-0.044802370788716704,-0.037274677593732888,-0.10751808172292676,-0.057628283946895696,-0.037895058800934356,-0.0084083350423449239,-0.12162391122562276,-0.042676724435333553,-0.066050913967212743,-0.043364301629558885,-0.010617755284407848,-0.056216542673652045,-0.013850634319154256,-0.036491314444467612,-0.043067828723272819,-0.0610808791753925,-0.04502569962374816,-0.03104052624689705,-0.084824548656587451,-0.10171402394232303,-0.074373839876906864,0.004852077729757826,-0.029156852093728449
Weight,16,1,phi.arrival,NA,-0.010311725296505337,-0.10700477554902051,0.057875513188756875,0.015782563317533936,-0.06221731174872628,0.02305056886164392,-0.015601769876156626,-0.022064091426895777,-0.05287335133678215,-0.04107827351583581,-0.029247659010623962,-0.07159285179570675,-0.0647828187716343,-0.002470272796982319,-0.030654882985635342,0.037380471913843007,-0.0046326766262855743,-0.080774714525521818,-0.0047194409947156337,-0.034605792889216044,-0.010112803422617559,-0.027506579756520298,-0.054262202807670315,-0.03667116227438208,-0.066767510479572759,-0.026230330992518525,-0.054504422677305042,0.036149460307600308,-0.056835141028039431,0.035551471772834374
Weight,16,1,phi.wait,NA,0.088194902897960725,0.015675896673766388,0.034489827385407158,-0.030315349824404113,0.016209140077835336,0.04766174521124214,-0.043652634153958966,0.042533106731265806,-0.053663977110837036,0.022607117615802329,-0.00059997885984519172,-0.036623861085654533,-0.053981757316735532,-0.044576045832124579,-0.016978762457805909,0.010691549307933796,0.0047719833330181873,-0.026438317027995137,-0.016805564557389296,-0.042286330957592516,0.0028556882089142547,-0.023760380017327783,-0.030205806286846288,-0.041275136868448886,-0.016413412504418211,-0.014630527246644832,0.038162259388577348,0.014828416316965645,-0.02467690904719826,0.00035468018922304512
Weight,16,1,phi.macFree,NA,-0.047167401762882234,-0.1262218408968056,-0.090937065312155466,-0.06691837340170427,-0.018397213003549448,0.0091655244153528489,-0.021255819757663691,-0.0591264352309457,0.0095960203089755069,-0.012738111752901959,-0.041913744376797325,-0.037191400194164524,-0.0534987795199149,-0.022193904663309276,-0.042572667863767621,-0.047073002511734158,-0.089747083585630535,0.025803004886521329,-0.023050265159381564,-0.019938593689259695,-0.041642116440705049,-0.027944866016704865,-0.017971661628830432,-0.0017814216707798547,-0.014428870338406719,-0.033056331750340527,-0.0083530334372794,0.0411021015821786,-0.039287230392929112,-0.022605389998078887
Weight,16,1,phi.makespan,NA,-0.04071153343526298,-0.055368219956220391,-0.0369564869459706,-0.023028659582458928,0.086768197477476841,-0.075590141477234654,0.049106113810669934,-0.061258188650366314,-0.013457057674059461,0.003629232156202917,-0.028394476813057533,-0.029062870558914676,-0.034819201401250971,-0.083243528673125886,-0.033605551233285784,-0.010080224873545925,-0.038017031923591731,-0.074034923928030308,-0.12150758795645526,-0.050256582088128686,-0.05243320121863005,-0.0015324395963823307,-0.031696308505210859,0.056107470690373827,-0.039963822753413113,0.036469572825124016,-0.011051667403636625,-0.0039236763144269889,-0.0070297321138359462,0.022931602521893628
Weight,16,1,phi.reducedSlack,NA,-0.038412140905084588,-0.010711606682996247,0.11280607474574877,0.063124142328561533,0.059597231627530556,0.040352251454749084,0.02422205972080765,-0.007508613036135342,0.048352675321395394,0.14594703706686601,0.035049618383235566,0.009425851477255616,-0.037779649720724423,-0.019493905854590973,-0.080341818721824179,0.017608562886257124,-0.0081082076139422279,0.030731551573120044,0.096781872637453428,0.023669350075323753,-0.0034386921888428902,0.035674012803220904,-0.044501808938008314,0.032957783444386927,-0.028546799959138027,0.039622599389870172,-0.023540609766012119,0.014534896691825738,0.053620248577363826,0.0079059458097445433
Weight,16,1,phi.macSlack,NA,0.04987324205757878,0.024467475189004228,-0.078117846253902529,-0.078495107559599986,-0.038727426908899992,-0.0098270701271473328,0.01697234064864803,-0.09319561396527043,0.076222532532076309,-0.005090764785303516,0.053583209612377183,-0.062618420002032382,-0.076949472847778533,-0.088703868199415961,-0.0090051690629614073,-0.077219201503870918,0.030762577819217502,0.037591444342805813,0.016775661468247778,-0.0037043506787712284,-0.011782514181419625,0.033459209015400039,0.032812087908207596,-0.0046727551287813526,-0.084378916043711907,-0.015753386839960259,-0.058567272265393065,-0.023470456857357731,-0.11697278229636311,-0.0032540748607012928
Weight,16,1,phi.allSlack,NA,0.030208081832734528,0.0011835859025517547,-0.0014283316707496083,-0.030772190203040669,0.02633381861909188,-0.028521684856888378,-0.019821983680412131,0.038810413939515183,-0.017287052748481208,0.10787012115753551,-0.036734314034889609,-0.030247190945073742,-0.0891743020877762,-0.042485660270716465,-0.031131080859525255,0.036262429737481568,-0.024984091069412833,-0.012568641384173632,-0.088670920540139864,-0.024640699874037095,-0.041722853875227381,-0.016243592219594569,-0.0433297093197325,0.037385167809929717,0.034441896160147818,0.01638882199677278,0.01898837429649209,-0.02006306193364818,-0.033756145577442047,-0.0077493198820754909
