Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
Weight,16,1,phi.proc,NA,-0.011578744766616246,-0.076165375635860427,0.055497806647082815,-0.032960757255204434,0.059113506797739974,-0.13958298885491027,-0.011782832853708899,0.041526312690889182,-0.064716644876659263,-0.054133314494180018,-0.070160137587034876,0.02707686392564226,0.0251322713743525,-0.05161429465992657,0.017484000986503132,0.053183020068584316,-0.01738200226315963,-0.016462685898134717,-0.01294384048260103,-0.07606718803914439,0.033690327805837805,-0.014538600149065009,0.037414201340246818,0.01837018677399499,0.074184185704945962,-0.00547617330692243,-0.00632302541674432,0.015896636985923033,-0.030184050482946749,0.072683656467218652
Weight,16,1,phi.startTime,NA,-0.038955621016267428,0.0055658601360060031,0.075148737544046329,-0.02059797982279336,-0.021053518077156406,0.034889046192826532,-0.00098651124857711747,0.029626052462206676,0.043870435750956491,0.039008490389674993,-0.018517402720550486,-0.011688438930164767,-0.019317756318583,-0.028046653416541393,-0.020202848562850331,0.019338989085199324,-0.035387917923437665,-0.051810371325670131,-0.042467795260643211,-0.016955318922715786,-0.016583233316828233,-0.10933545477809949,-0.02851683732639879,0.031802313287920665,-0.078804240251786187,-0.059714939959169121,-0.046590154326123984,-0.055455873420428979,-0.06983681109576606,0.036822769465528267
Weight,16,1,phi.endTime,NA,-0.048542856670577596,-0.05297186224990573,-0.0076421826986309369,-0.10488245920893817,-0.052073379952153387,-0.059372155438899329,0.0230991799241185,0.0080134835331943811,0.046266061228468519,0.037956510899027983,-0.032398238287979095,0.014825708284421268,-0.017714206967955493,-0.047240388796469586,-0.0032736616307164688,-0.10003849715083829,-0.0426026533891123,0.023750985741730412,-0.0067040132577684793,-0.0096285296620361484,-0.037471224764390916,0.10162572759867478,-0.064379698988407216,-0.020286091294548551,0.058895951821764478,0.012483484728379948,-0.027200785200795868,-0.01791454851637329,0.036798129225962067,-0.02697863001924981
Weight,16,1,phi.arrival,NA,-0.045819173257418695,-0.0022888725985625311,0.042256838602317957,0.041420553986204957,0.058275111819749766,-0.064307501826270611,0.070782033314213968,0.027919603350207264,-0.0042728312095523108,0.013755895723191721,0.040762276774402306,0.0068172801226709951,0.033830208875131641,-0.056188002587225935,-0.053591684015429637,0.023169234517368648,-0.079295706764967056,-0.0013183195740592191,0.010310010165622677,0.023045358171179347,0.018405076577837264,-0.0038987929134929426,-0.013390504517921828,-0.030622485511694036,-0.044332443018581219,-0.024022963897369045,0.0063285997519750246,0.085949625686059045,0.013014166665434196,-0.012636231798016651
Weight,16,1,phi.wait,NA,0.024061520090183877,-0.017364994587184338,0.080211546268629683,0.072141621200003558,-0.06577361498321517,-0.0038094748588084217,-0.0074393441079152571,-0.031056713857201237,-0.043061660187588058,-0.0003401830099278207,0.0042432083015781358,-0.05605203126680873,-0.0198927997730166,-0.024162132964925292,-0.0041817740494284874,-0.041429485430621624,0.0131363035865464,0.0759603137862478,-0.063443817450930015,0.034698115695641726,0.039655854529457489,0.016792369731521064,0.03580393042836464,0.020413488823399766,0.053173556853517753,0.015669707527566985,0.0350229379633953,0.018408238296921908,0.052660515468923551,0.041954196080537992
Weight,16,1,phi.macFree,NA,0.0077245307190528479,0.033669345422670173,-0.015892773722142664,-0.029328515223485448,-0.0528280314062604,-0.061450639100221312,0.1458578613138406,0.011241677841109216,0.052185472430953304,-0.060847243978461724,-0.13594867273267128,-0.055978970489838041,-0.02120638818601351,-0.029617319732477457,-0.058319588881856468,-0.024597326872667892,0.055383861068301093,-0.02725598391996982,0.0052048772598396152,-0.0013069123913514663,-0.011879579302812802,-0.036570423739539552,-0.00045360952718012789,-0.0011887502786633044,-0.033690753633573454,0.013488834804232866,-0.041322184396899969,0.021375819108596473,-0.01964407946472832,0.050539420161734981
Weight,16,1,phi.makespan,NA,-0.1127899369144118,0.053547782058143652,0.042209063101779395,0.067029741946336679,0.0024133351708452051,0.030005462254482321,-0.064893469055735051,0.10077264442991436,-0.047496733997780774,-0.066269494906406656,-0.046246558857648147,-0.011466090844679273,0.013187927451006812,0.018603971736895215,-0.021493694728818531,-0.10034138207523147,-0.12775795284097213,0.013841652964122514,-0.01124360166876011,-0.021691438968800495,0.042473224590141058,0.01704733716444165,0.0065833846186798637,0.044213835151226094,-0.013601213134692532,-0.018327823414169584,-0.04274237648192207,-0.023960750575824304,-0.041888764602236957,-0.022891936166300982
Weight,16,1,phi.reducedSlack,NA,-0.080855949069839256,-0.030768033546291824,0.012565898467264774,-0.1058576428267992,-0.059897536725668728,-0.020177669052768073,-0.029051120124740426,-0.061221899707126264,0.020054918149142932,-0.05566252514295577,-0.046718751379708753,0.0017931823821471609,-0.016626952614607466,-0.033294520279768175,0.026089593446117852,-0.013414898139757964,0.013003808391397229,0.021503947709573593,-0.002927574889107094,0.13473169955964809,0.008994182152837097,0.019512911995504492,0.049915474405949158,-0.0061719745318843042,0.013920800883809481,0.069837341239475839,0.11038202647730415,0.024397059913421233,-0.035331164976533783,-0.039705682346106337
Weight,16,1,phi.macSlack,NA,0.03575381752504276,0.050065560048144227,0.080657535482516571,0.024445518617392706,-0.044501480885428227,-0.011538867260040411,-0.032838306553018955,0.056159735400171482,0.0778859184523018,0.028607700958540462,-0.0067944738118477128,0.04255517013622441,0.0092601814627416065,0.0288434697167402,-0.0868393319202804,-0.10698522993508022,-0.012693999469219563,-0.024204207932878318,-0.029366071162609458,-0.012993064369484181,-0.053529387049985264,-0.078886588157437126,0.018615761393764352,-0.096504312069003464,-0.049768647737062417,-0.0011355505306822676,-0.054438444250229326,0.01155856581121098,-0.046086848659041418,-0.0736058777690642
Weight,16,1,phi.allSlack,NA,-0.0051412588294841481,-0.0045672901580943951,0.015983901776530078,-0.053901467661910743,0.024607611197218857,-0.01310197220464155,0.03366046068170666,-0.029910637947773721,-0.014347144994457073,0.025977559802323656,0.078348161411017456,0.047542520235261877,-0.060386967579536419,0.011447800873206309,0.028802189551545322,-0.014264745210465418,-0.079942897051672152,-0.075161487927377882,-0.084011156540002241,0.041666398042242064,-0.018070100715968821,-0.0416974118531064,-0.055037037693395525,-0.01657657855076046,-0.059363756642512838,0.017654529401011469,0.036889741329782351,0.00949874198978383,0.055372317826144268,0.022980291624042616
