Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.35639344817492169
Weight,16,1,phi.startTime,NA,0.039493674889406222
Weight,16,1,phi.endTime,NA,0.080803148096245
Weight,16,1,phi.arrival,NA,-0.46024967488231916
Weight,16,1,phi.wait,NA,-0.45571972662171467
Weight,16,1,phi.macFree,NA,0.020286080826081066
Weight,16,1,phi.makespan,NA,0.0816910077977913
Weight,16,1,phi.reducedSlack,NA,-0.13438257073181351
Weight,16,1,phi.macSlack,NA,-0.4713748603443515
Weight,16,1,phi.allSlack,NA,0.041537771778562528
Weight,16,1,phi.jobOps,NA,-0.0092804046034834671
Weight,16,1,phi.macOps,NA,-0.2824232491684508
Weight,16,1,phi.jobWrm,NA,0.15023372461901935
Weight,16,1,phi.macWrm,NA,0.22590406922172271
Weight,16,1,phi.jobTotProcTime,NA,0.0031894320922025523
Weight,16,1,phi.macTotProcTime,NA,-0.20693302308166608
