Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.35923684345462
Weight,16,1,phi.startTime,NA,-0.0418406529275018
Weight,16,1,phi.endTime,NA,-0.398693073261936
Weight,16,1,phi.jobOps,NA,0.136930461592763
Weight,16,1,phi.arrival,NA,-0.245398660844229
Weight,16,1,phi.wait,NA,-0.186504043120014
Weight,16,1,phi.mac,NA,0.183787349720496
Weight,16,1,phi.macOps,NA,0.282846833662672
Weight,16,1,phi.macFree,NA,0.133294913352293
Weight,16,1,phi.makespan,NA,-0.186863061246688
Weight,16,1,phi.slotReduced,NA,-0.0921410339283654
Weight,16,1,phi.slots,NA,0.234487706684439
Weight,16,1,phi.slotsTotal,NA,-0.169199379876226
Weight,16,1,phi.wrmMac,NA,0.0162062147596706
Weight,16,1,phi.wrmJob,NA,-0.232053218901968
Weight,16,1,phi.wrmTotal,NA,-0.00637251808475473
