Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.26552742397996787
Weight,16,1,phi.startTime,NA,-0.13965561579037714
Weight,16,1,phi.endTime,NA,-0.34765992254967487
Weight,16,1,phi.jobOps,NA,0.15982800883051765
Weight,16,1,phi.arrivalTime,NA,0.18783913834106267
Weight,16,1,phi.wait,NA,0.23424220875692234
Weight,16,1,phi.mac,NA,0.34688420174484524
Weight,16,1,phi.macOps,NA,0.11058625877799651
Weight,16,1,phi.macFree,NA,-0.21904733962082953
Weight,16,1,phi.makespan,NA,-0.20718322655338631
Weight,16,1,phi.slotReduced,NA,-0.0058504984535192716
Weight,16,1,phi.slots,NA,0.33489517552854459
Weight,16,1,phi.slotsTotal,NA,-0.39486619942777906
Weight,16,1,phi.wrmMac,NA,-0.09187811432911587
Weight,16,1,phi.wrmJob,NA,0.097566798210619976
Weight,16,1,phi.wrmTotal,NA,-0.40260208836382005
