Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
f.rnd.10x10.train.96,f,rnd,train,96,10,10,100,1197
f.rnd.10x10.train.97,f,rnd,train,97,10,10,100,1179
f.rnd.10x10.train.98,f,rnd,train,98,10,10,100,1133
f.rnd.10x10.train.99,f,rnd,train,99,10,10,100,1220
f.rnd.10x10.train.100,f,rnd,train,100,10,10,100,1269
f.rnd.10x10.train.101,f,rnd,train,101,10,10,100,1167
f.rnd.10x10.train.102,f,rnd,train,102,10,10,100,1196
f.rnd.10x10.train.103,f,rnd,train,103,10,10,100,1109
f.rnd.10x10.train.104,f,rnd,train,104,10,10,100,1171
f.rnd.10x10.train.105,f,rnd,train,105,10,10,100,1379
f.rnd.10x10.train.106,f,rnd,train,106,10,10,100,1142
f.rnd.10x10.train.107,f,rnd,train,107,10,10,100,1214
f.rnd.10x10.train.108,f,rnd,train,108,10,10,100,1189
f.rnd.10x10.train.109,f,rnd,train,109,10,10,100,1220
f.rnd.10x10.train.110,f,rnd,train,110,10,10,100,1195
f.rnd.10x10.train.111,f,rnd,train,111,10,10,100,1274
f.rnd.10x10.train.112,f,rnd,train,112,10,10,100,1243
f.rnd.10x10.train.113,f,rnd,train,113,10,10,100,1204
f.rnd.10x10.train.114,f,rnd,train,114,10,10,100,1161
f.rnd.10x10.train.115,f,rnd,train,115,10,10,100,1231
f.rnd.10x10.train.116,f,rnd,train,116,10,10,100,1245
f.rnd.10x10.train.117,f,rnd,train,117,10,10,100,1170
f.rnd.10x10.train.118,f,rnd,train,118,10,10,100,1140
f.rnd.10x10.train.119,f,rnd,train,119,10,10,100,1156
f.rnd.10x10.train.120,f,rnd,train,120,10,10,100,1252
f.rnd.10x10.train.121,f,rnd,train,121,10,10,100,1130
f.rnd.10x10.train.122,f,rnd,train,122,10,10,100,1237
f.rnd.10x10.train.123,f,rnd,train,123,10,10,100,1147
f.rnd.10x10.train.124,f,rnd,train,124,10,10,100,1212
f.rnd.10x10.train.125,f,rnd,train,125,10,10,100,1178
f.rnd.10x10.train.126,f,rnd,train,126,10,10,100,1229
f.rnd.10x10.train.127,f,rnd,train,127,10,10,100,1301
f.rnd.10x10.train.128,f,rnd,train,128,10,10,100,1191
f.rnd.10x10.train.129,f,rnd,train,129,10,10,100,1346
f.rnd.10x10.train.130,f,rnd,train,130,10,10,100,1173
f.rnd.10x10.train.131,f,rnd,train,131,10,10,100,1195
f.rnd.10x10.train.132,f,rnd,train,132,10,10,100,1257
f.rnd.10x10.train.133,f,rnd,train,133,10,10,100,1377
f.rnd.10x10.train.134,f,rnd,train,134,10,10,100,1130
f.rnd.10x10.train.135,f,rnd,train,135,10,10,100,1214
f.rnd.10x10.train.136,f,rnd,train,136,10,10,100,1425
f.rnd.10x10.train.137,f,rnd,train,137,10,10,100,1179
f.rnd.10x10.train.138,f,rnd,train,138,10,10,100,1090
f.rnd.10x10.train.139,f,rnd,train,139,10,10,100,1112
f.rnd.10x10.train.140,f,rnd,train,140,10,10,100,1314
f.rnd.10x10.train.141,f,rnd,train,141,10,10,100,1318
f.rnd.10x10.train.142,f,rnd,train,142,10,10,100,1207
f.rnd.10x10.train.143,f,rnd,train,143,10,10,100,1296
f.rnd.10x10.train.144,f,rnd,train,144,10,10,100,1212
f.rnd.10x10.train.145,f,rnd,train,145,10,10,100,1289
f.rnd.10x10.train.146,f,rnd,train,146,10,10,100,1190
f.rnd.10x10.train.147,f,rnd,train,147,10,10,100,1236
f.rnd.10x10.train.148,f,rnd,train,148,10,10,100,1126
f.rnd.10x10.train.149,f,rnd,train,149,10,10,100,1242
f.rnd.10x10.train.150,f,rnd,train,150,10,10,100,1050
f.rnd.10x10.train.151,f,rnd,train,151,10,10,100,1082
f.rnd.10x10.train.152,f,rnd,train,152,10,10,100,1239
f.rnd.10x10.train.153,f,rnd,train,153,10,10,100,1125
f.rnd.10x10.train.154,f,rnd,train,154,10,10,100,1234
f.rnd.10x10.train.155,f,rnd,train,155,10,10,100,1202
f.rnd.10x10.train.156,f,rnd,train,156,10,10,100,1211
f.rnd.10x10.train.157,f,rnd,train,157,10,10,100,1404
f.rnd.10x10.train.158,f,rnd,train,158,10,10,100,1114
f.rnd.10x10.train.159,f,rnd,train,159,10,10,100,1250
f.rnd.10x10.train.160,f,rnd,train,160,10,10,100,1191
f.rnd.10x10.train.161,f,rnd,train,161,10,10,100,1176
f.rnd.10x10.train.162,f,rnd,train,162,10,10,100,1181
f.rnd.10x10.train.163,f,rnd,train,163,10,10,100,1212
f.rnd.10x10.train.164,f,rnd,train,164,10,10,100,1077
f.rnd.10x10.train.165,f,rnd,train,165,10,10,100,1192
f.rnd.10x10.train.166,f,rnd,train,166,10,10,100,1265
f.rnd.10x10.train.167,f,rnd,train,167,10,10,100,1206
f.rnd.10x10.train.168,f,rnd,train,168,10,10,100,1229
f.rnd.10x10.train.169,f,rnd,train,169,10,10,100,1292
f.rnd.10x10.train.170,f,rnd,train,170,10,10,100,1227
f.rnd.10x10.train.171,f,rnd,train,171,10,10,100,1154
f.rnd.10x10.train.172,f,rnd,train,172,10,10,100,1249
f.rnd.10x10.train.173,f,rnd,train,173,10,10,100,1142
f.rnd.10x10.train.174,f,rnd,train,174,10,10,100,1346
f.rnd.10x10.train.175,f,rnd,train,175,10,10,100,1211
f.rnd.10x10.train.176,f,rnd,train,176,10,10,100,1183
f.rnd.10x10.train.177,f,rnd,train,177,10,10,100,1279
f.rnd.10x10.train.178,f,rnd,train,178,10,10,100,1211
f.rnd.10x10.train.179,f,rnd,train,179,10,10,100,1254
f.rnd.10x10.train.180,f,rnd,train,180,10,10,100,1235
f.rnd.10x10.train.181,f,rnd,train,181,10,10,100,1285
f.rnd.10x10.train.182,f,rnd,train,182,10,10,100,1185
f.rnd.10x10.train.183,f,rnd,train,183,10,10,100,1354
f.rnd.10x10.train.184,f,rnd,train,184,10,10,100,1132
f.rnd.10x10.train.185,f,rnd,train,185,10,10,100,1211
f.rnd.10x10.train.186,f,rnd,train,186,10,10,100,1124
f.rnd.10x10.train.187,f,rnd,train,187,10,10,100,1206
f.rnd.10x10.train.188,f,rnd,train,188,10,10,100,1227
f.rnd.10x10.train.189,f,rnd,train,189,10,10,100,1150
f.rnd.10x10.train.190,f,rnd,train,190,10,10,100,1186
f.rnd.10x10.train.191,f,rnd,train,191,10,10,100,1188
f.rnd.10x10.train.192,f,rnd,train,192,10,10,100,1141
f.rnd.10x10.train.193,f,rnd,train,193,10,10,100,1267
f.rnd.10x10.train.194,f,rnd,train,194,10,10,100,1224
f.rnd.10x10.train.195,f,rnd,train,195,10,10,100,1172
f.rnd.10x10.train.196,f,rnd,train,196,10,10,100,1323
f.rnd.10x10.train.197,f,rnd,train,197,10,10,100,1303
f.rnd.10x10.train.198,f,rnd,train,198,10,10,100,1252
f.rnd.10x10.train.199,f,rnd,train,199,10,10,100,1056
f.rnd.10x10.train.200,f,rnd,train,200,10,10,100,1405
f.rnd.10x10.train.201,f,rnd,train,201,10,10,100,1137
f.rnd.10x10.train.202,f,rnd,train,202,10,10,100,1145
f.rnd.10x10.train.203,f,rnd,train,203,10,10,100,1106
f.rnd.10x10.train.204,f,rnd,train,204,10,10,100,1189
f.rnd.10x10.train.205,f,rnd,train,205,10,10,100,1211
f.rnd.10x10.train.206,f,rnd,train,206,10,10,100,1167
f.rnd.10x10.train.207,f,rnd,train,207,10,10,100,1197
f.rnd.10x10.train.208,f,rnd,train,208,10,10,100,1071
f.rnd.10x10.train.209,f,rnd,train,209,10,10,100,1143
f.rnd.10x10.train.210,f,rnd,train,210,10,10,100,1226
f.rnd.10x10.train.211,f,rnd,train,211,10,10,100,1178
f.rnd.10x10.train.212,f,rnd,train,212,10,10,100,1171
f.rnd.10x10.train.213,f,rnd,train,213,10,10,100,1172
f.rnd.10x10.train.214,f,rnd,train,214,10,10,100,1154
f.rnd.10x10.train.215,f,rnd,train,215,10,10,100,981
f.rnd.10x10.train.216,f,rnd,train,216,10,10,100,1245
f.rnd.10x10.train.217,f,rnd,train,217,10,10,100,1343
f.rnd.10x10.train.218,f,rnd,train,218,10,10,100,1092
f.rnd.10x10.train.219,f,rnd,train,219,10,10,100,1174
f.rnd.10x10.train.220,f,rnd,train,220,10,10,100,1372
f.rnd.10x10.train.221,f,rnd,train,221,10,10,100,1117
f.rnd.10x10.train.222,f,rnd,train,222,10,10,100,1136
f.rnd.10x10.train.223,f,rnd,train,223,10,10,100,1201
