Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.13656532331635071
Weight,16,1,phi.startTime,NA,-0.30321744153801111
Weight,16,1,phi.endTime,NA,-0.39046856148369785
Weight,16,1,phi.jobOps,NA,-0.28115424373640163
Weight,16,1,phi.arrivalTime,NA,-0.14533557026714261
Weight,16,1,phi.wait,NA,-0.1283744037649627
Weight,16,1,phi.mac,NA,-0.068477344698115991
Weight,16,1,phi.macOps,NA,-0.12524666083833561
Weight,16,1,phi.macFree,NA,-0.37845154784913748
Weight,16,1,phi.makespan,NA,-0.24750853342130086
Weight,16,1,phi.slotReduced,NA,0.099886633230192243
Weight,16,1,phi.slots,NA,-0.17955368050626883
Weight,16,1,phi.slotsTotal,NA,-0.0781893875775938
Weight,16,1,phi.wrmMac,NA,-0.27624662837433644
Weight,16,1,phi.wrmJob,NA,0.46862328028871225
Weight,16,1,phi.wrmTotal,NA,0.1141972511368123
