Name,Optimum,Solved
j.rndn.8x8.train.1,559,opt
j.rndn.8x8.train.2,605,opt
j.rndn.8x8.train.3,606,opt
j.rndn.8x8.train.4,571,opt
j.rndn.8x8.train.5,597,opt
j.rndn.8x8.train.6,622,opt
j.rndn.8x8.train.7,617,opt
j.rndn.8x8.train.8,501,opt
j.rndn.8x8.train.9,556,opt
j.rndn.8x8.train.10,624,opt
j.rndn.8x8.train.11,610,opt
j.rndn.8x8.train.12,562,opt
j.rndn.8x8.train.13,619,opt
j.rndn.8x8.train.14,606,opt
j.rndn.8x8.train.15,617,opt
j.rndn.8x8.train.16,617,opt
j.rndn.8x8.train.17,657,opt
j.rndn.8x8.train.18,569,opt
j.rndn.8x8.train.19,575,opt
j.rndn.8x8.train.20,642,opt
j.rndn.8x8.train.21,613,opt
j.rndn.8x8.train.22,600,opt
j.rndn.8x8.train.23,621,opt
j.rndn.8x8.train.24,614,opt
j.rndn.8x8.train.25,559,opt
j.rndn.8x8.train.26,589,opt
j.rndn.8x8.train.27,599,opt
j.rndn.8x8.train.28,606,opt
j.rndn.8x8.train.29,596,opt
j.rndn.8x8.train.30,603,opt
j.rndn.8x8.train.31,652,opt
j.rndn.8x8.train.32,579,opt
j.rndn.8x8.train.33,640,opt
j.rndn.8x8.train.34,594,opt
j.rndn.8x8.train.35,632,opt
j.rndn.8x8.train.36,555,opt
j.rndn.8x8.train.37,598,opt
j.rndn.8x8.train.38,629,opt
j.rndn.8x8.train.39,559,opt
j.rndn.8x8.train.40,601,opt
j.rndn.8x8.train.41,575,opt
j.rndn.8x8.train.42,655,opt
j.rndn.8x8.train.43,568,opt
j.rndn.8x8.train.44,606,opt
j.rndn.8x8.train.45,607,opt
j.rndn.8x8.train.46,654,opt
j.rndn.8x8.train.47,606,opt
j.rndn.8x8.train.48,599,opt
j.rndn.8x8.train.49,601,opt
j.rndn.8x8.train.50,600,opt
j.rndn.8x8.train.51,657,opt
j.rndn.8x8.train.52,622,opt
j.rndn.8x8.train.53,611,opt
j.rndn.8x8.train.54,612,opt
j.rndn.8x8.train.55,614,opt
j.rndn.8x8.train.56,598,opt
j.rndn.8x8.train.57,590,opt
j.rndn.8x8.train.58,622,opt
j.rndn.8x8.train.59,612,opt
j.rndn.8x8.train.60,596,opt
j.rndn.8x8.train.61,607,opt
j.rndn.8x8.train.62,597,opt
j.rndn.8x8.train.63,565,opt
j.rndn.8x8.train.64,618,opt
j.rndn.8x8.train.65,660,opt
j.rndn.8x8.train.66,576,opt
j.rndn.8x8.train.67,568,opt
j.rndn.8x8.train.68,609,opt
j.rndn.8x8.train.69,609,opt
j.rndn.8x8.train.70,607,opt
j.rndn.8x8.train.71,609,opt
j.rndn.8x8.train.72,619,opt
j.rndn.8x8.train.73,648,opt
j.rndn.8x8.train.74,572,opt
j.rndn.8x8.train.75,627,opt
j.rndn.8x8.train.76,597,opt
j.rndn.8x8.train.77,596,opt
j.rndn.8x8.train.78,597,opt
j.rndn.8x8.train.79,609,opt
j.rndn.8x8.train.80,567,opt
j.rndn.8x8.train.81,606,opt
j.rndn.8x8.train.82,665,opt
j.rndn.8x8.train.83,597,opt
j.rndn.8x8.train.84,598,opt
j.rndn.8x8.train.85,567,opt
j.rndn.8x8.train.86,593,opt
j.rndn.8x8.train.87,600,opt
j.rndn.8x8.train.88,596,opt
j.rndn.8x8.train.89,569,opt
j.rndn.8x8.train.90,621,opt
j.rndn.8x8.train.91,563,opt
j.rndn.8x8.train.92,567,opt
j.rndn.8x8.train.93,602,opt
j.rndn.8x8.train.94,651,opt
j.rndn.8x8.train.95,654,opt
j.rndn.8x8.train.96,606,opt
j.rndn.8x8.train.97,608,opt
j.rndn.8x8.train.98,598,opt
j.rndn.8x8.train.99,607,opt
j.rndn.8x8.train.100,613,opt
j.rndn.8x8.train.101,595,opt
j.rndn.8x8.train.102,588,opt
j.rndn.8x8.train.103,553,opt
j.rndn.8x8.train.104,605,opt
j.rndn.8x8.train.105,598,opt
j.rndn.8x8.train.106,611,opt
j.rndn.8x8.train.107,620,opt
j.rndn.8x8.train.108,599,opt
j.rndn.8x8.train.109,564,opt
j.rndn.8x8.train.110,556,opt
j.rndn.8x8.train.111,616,opt
j.rndn.8x8.train.112,566,opt
j.rndn.8x8.train.113,605,opt
j.rndn.8x8.train.114,554,opt
j.rndn.8x8.train.115,612,opt
j.rndn.8x8.train.116,654,opt
j.rndn.8x8.train.117,593,opt
j.rndn.8x8.train.118,591,opt
j.rndn.8x8.train.119,615,opt
j.rndn.8x8.train.120,610,opt
j.rndn.8x8.train.121,596,opt
j.rndn.8x8.train.122,604,opt
j.rndn.8x8.train.123,642,opt
j.rndn.8x8.train.124,624,opt
j.rndn.8x8.train.125,605,opt
