Name,Optimum,Solved
j.rnd_p1mdoubled.6x5.train.1,766,opt
j.rnd_p1mdoubled.6x5.train.2,576,opt
j.rnd_p1mdoubled.6x5.train.3,467,opt
j.rnd_p1mdoubled.6x5.train.4,984,opt
j.rnd_p1mdoubled.6x5.train.5,667,opt
j.rnd_p1mdoubled.6x5.train.6,600,opt
j.rnd_p1mdoubled.6x5.train.7,691,opt
j.rnd_p1mdoubled.6x5.train.8,640,opt
j.rnd_p1mdoubled.6x5.train.9,446,opt
j.rnd_p1mdoubled.6x5.train.10,818,opt
j.rnd_p1mdoubled.6x5.train.11,636,opt
j.rnd_p1mdoubled.6x5.train.12,669,opt
j.rnd_p1mdoubled.6x5.train.13,670,opt
j.rnd_p1mdoubled.6x5.train.14,658,opt
j.rnd_p1mdoubled.6x5.train.15,494,opt
j.rnd_p1mdoubled.6x5.train.16,891,opt
j.rnd_p1mdoubled.6x5.train.17,886,opt
j.rnd_p1mdoubled.6x5.train.18,528,opt
j.rnd_p1mdoubled.6x5.train.19,894,opt
j.rnd_p1mdoubled.6x5.train.20,496,opt
j.rnd_p1mdoubled.6x5.train.21,491,opt
j.rnd_p1mdoubled.6x5.train.22,809,opt
j.rnd_p1mdoubled.6x5.train.23,709,opt
j.rnd_p1mdoubled.6x5.train.24,551,opt
j.rnd_p1mdoubled.6x5.train.25,526,opt
j.rnd_p1mdoubled.6x5.train.26,531,opt
j.rnd_p1mdoubled.6x5.train.27,510,opt
j.rnd_p1mdoubled.6x5.train.28,403,opt
j.rnd_p1mdoubled.6x5.train.29,814,opt
j.rnd_p1mdoubled.6x5.train.30,548,opt
j.rnd_p1mdoubled.6x5.train.31,469,opt
j.rnd_p1mdoubled.6x5.train.32,736,opt
j.rnd_p1mdoubled.6x5.train.33,742,opt
j.rnd_p1mdoubled.6x5.train.34,668,opt
j.rnd_p1mdoubled.6x5.train.35,950,opt
j.rnd_p1mdoubled.6x5.train.36,582,opt
j.rnd_p1mdoubled.6x5.train.37,566,opt
j.rnd_p1mdoubled.6x5.train.38,852,opt
j.rnd_p1mdoubled.6x5.train.39,574,opt
j.rnd_p1mdoubled.6x5.train.40,580,opt
j.rnd_p1mdoubled.6x5.train.41,618,opt
j.rnd_p1mdoubled.6x5.train.42,592,opt
j.rnd_p1mdoubled.6x5.train.43,413,opt
j.rnd_p1mdoubled.6x5.train.44,678,opt
j.rnd_p1mdoubled.6x5.train.45,493,opt
j.rnd_p1mdoubled.6x5.train.46,660,opt
j.rnd_p1mdoubled.6x5.train.47,816,opt
j.rnd_p1mdoubled.6x5.train.48,822,opt
j.rnd_p1mdoubled.6x5.train.49,445,opt
j.rnd_p1mdoubled.6x5.train.50,512,opt
j.rnd_p1mdoubled.6x5.train.51,943,opt
j.rnd_p1mdoubled.6x5.train.52,682,opt
j.rnd_p1mdoubled.6x5.train.53,544,opt
j.rnd_p1mdoubled.6x5.train.54,670,opt
j.rnd_p1mdoubled.6x5.train.55,518,opt
j.rnd_p1mdoubled.6x5.train.56,513,opt
j.rnd_p1mdoubled.6x5.train.57,713,opt
j.rnd_p1mdoubled.6x5.train.58,705,opt
j.rnd_p1mdoubled.6x5.train.59,514,opt
j.rnd_p1mdoubled.6x5.train.60,703,opt
j.rnd_p1mdoubled.6x5.train.61,543,opt
j.rnd_p1mdoubled.6x5.train.62,521,opt
j.rnd_p1mdoubled.6x5.train.63,978,opt
j.rnd_p1mdoubled.6x5.train.64,904,opt
j.rnd_p1mdoubled.6x5.train.65,512,opt
j.rnd_p1mdoubled.6x5.train.66,718,opt
j.rnd_p1mdoubled.6x5.train.67,605,opt
j.rnd_p1mdoubled.6x5.train.68,487,opt
j.rnd_p1mdoubled.6x5.train.69,930,opt
j.rnd_p1mdoubled.6x5.train.70,593,opt
j.rnd_p1mdoubled.6x5.train.71,548,opt
j.rnd_p1mdoubled.6x5.train.72,782,opt
j.rnd_p1mdoubled.6x5.train.73,617,opt
j.rnd_p1mdoubled.6x5.train.74,380,opt
j.rnd_p1mdoubled.6x5.train.75,592,opt
j.rnd_p1mdoubled.6x5.train.76,574,opt
j.rnd_p1mdoubled.6x5.train.77,613,opt
j.rnd_p1mdoubled.6x5.train.78,503,opt
j.rnd_p1mdoubled.6x5.train.79,784,opt
j.rnd_p1mdoubled.6x5.train.80,424,opt
j.rnd_p1mdoubled.6x5.train.81,598,opt
j.rnd_p1mdoubled.6x5.train.82,804,opt
j.rnd_p1mdoubled.6x5.train.83,688,opt
j.rnd_p1mdoubled.6x5.train.84,461,opt
j.rnd_p1mdoubled.6x5.train.85,835,opt
j.rnd_p1mdoubled.6x5.train.86,470,opt
j.rnd_p1mdoubled.6x5.train.87,634,opt
j.rnd_p1mdoubled.6x5.train.88,634,opt
j.rnd_p1mdoubled.6x5.train.89,686,opt
j.rnd_p1mdoubled.6x5.train.90,485,opt
j.rnd_p1mdoubled.6x5.train.91,703,opt
j.rnd_p1mdoubled.6x5.train.92,531,opt
j.rnd_p1mdoubled.6x5.train.93,521,opt
j.rnd_p1mdoubled.6x5.train.94,866,opt
j.rnd_p1mdoubled.6x5.train.95,674,opt
j.rnd_p1mdoubled.6x5.train.96,510,opt
j.rnd_p1mdoubled.6x5.train.97,706,opt
j.rnd_p1mdoubled.6x5.train.98,706,opt
j.rnd_p1mdoubled.6x5.train.99,542,opt
j.rnd_p1mdoubled.6x5.train.100,968,opt
j.rnd_p1mdoubled.6x5.train.101,508,opt
j.rnd_p1mdoubled.6x5.train.102,564,opt
j.rnd_p1mdoubled.6x5.train.103,399,opt
j.rnd_p1mdoubled.6x5.train.104,526,opt
j.rnd_p1mdoubled.6x5.train.105,528,opt
j.rnd_p1mdoubled.6x5.train.106,610,opt
j.rnd_p1mdoubled.6x5.train.107,622,opt
j.rnd_p1mdoubled.6x5.train.108,744,opt
j.rnd_p1mdoubled.6x5.train.109,447,opt
j.rnd_p1mdoubled.6x5.train.110,856,opt
j.rnd_p1mdoubled.6x5.train.111,769,opt
j.rnd_p1mdoubled.6x5.train.112,628,opt
j.rnd_p1mdoubled.6x5.train.113,783,opt
j.rnd_p1mdoubled.6x5.train.114,584,opt
j.rnd_p1mdoubled.6x5.train.115,446,opt
j.rnd_p1mdoubled.6x5.train.116,784,opt
j.rnd_p1mdoubled.6x5.train.117,588,opt
j.rnd_p1mdoubled.6x5.train.118,460,opt
j.rnd_p1mdoubled.6x5.train.119,839,opt
j.rnd_p1mdoubled.6x5.train.120,482,opt
j.rnd_p1mdoubled.6x5.train.121,458,opt
j.rnd_p1mdoubled.6x5.train.122,710,opt
j.rnd_p1mdoubled.6x5.train.123,680,opt
j.rnd_p1mdoubled.6x5.train.124,628,opt
j.rnd_p1mdoubled.6x5.train.125,905,opt
j.rnd_p1mdoubled.6x5.train.126,680,opt
j.rnd_p1mdoubled.6x5.train.127,503,opt
j.rnd_p1mdoubled.6x5.train.128,875,opt
j.rnd_p1mdoubled.6x5.train.129,852,opt
j.rnd_p1mdoubled.6x5.train.130,498,opt
j.rnd_p1mdoubled.6x5.train.131,551,opt
j.rnd_p1mdoubled.6x5.train.132,709,opt
j.rnd_p1mdoubled.6x5.train.133,607,opt
j.rnd_p1mdoubled.6x5.train.134,488,opt
j.rnd_p1mdoubled.6x5.train.135,788,opt
j.rnd_p1mdoubled.6x5.train.136,541,opt
j.rnd_p1mdoubled.6x5.train.137,556,opt
j.rnd_p1mdoubled.6x5.train.138,508,opt
j.rnd_p1mdoubled.6x5.train.139,708,opt
j.rnd_p1mdoubled.6x5.train.140,527,opt
j.rnd_p1mdoubled.6x5.train.141,937,opt
j.rnd_p1mdoubled.6x5.train.142,795,opt
j.rnd_p1mdoubled.6x5.train.143,530,opt
j.rnd_p1mdoubled.6x5.train.144,741,opt
j.rnd_p1mdoubled.6x5.train.145,600,opt
j.rnd_p1mdoubled.6x5.train.146,548,opt
j.rnd_p1mdoubled.6x5.train.147,750,opt
j.rnd_p1mdoubled.6x5.train.148,558,opt
j.rnd_p1mdoubled.6x5.train.149,489,opt
j.rnd_p1mdoubled.6x5.train.150,812,opt
j.rnd_p1mdoubled.6x5.train.151,426,opt
j.rnd_p1mdoubled.6x5.train.152,661,opt
j.rnd_p1mdoubled.6x5.train.153,661,opt
j.rnd_p1mdoubled.6x5.train.154,788,opt
j.rnd_p1mdoubled.6x5.train.155,640,opt
j.rnd_p1mdoubled.6x5.train.156,614,opt
j.rnd_p1mdoubled.6x5.train.157,671,opt
j.rnd_p1mdoubled.6x5.train.158,870,opt
j.rnd_p1mdoubled.6x5.train.159,510,opt
j.rnd_p1mdoubled.6x5.train.160,818,opt
j.rnd_p1mdoubled.6x5.train.161,520,opt
j.rnd_p1mdoubled.6x5.train.162,609,opt
j.rnd_p1mdoubled.6x5.train.163,688,opt
j.rnd_p1mdoubled.6x5.train.164,642,opt
j.rnd_p1mdoubled.6x5.train.165,507,opt
j.rnd_p1mdoubled.6x5.train.166,654,opt
j.rnd_p1mdoubled.6x5.train.167,529,opt
j.rnd_p1mdoubled.6x5.train.168,545,opt
j.rnd_p1mdoubled.6x5.train.169,667,opt
j.rnd_p1mdoubled.6x5.train.170,674,opt
j.rnd_p1mdoubled.6x5.train.171,676,opt
j.rnd_p1mdoubled.6x5.train.172,716,opt
j.rnd_p1mdoubled.6x5.train.173,688,opt
j.rnd_p1mdoubled.6x5.train.174,438,opt
j.rnd_p1mdoubled.6x5.train.175,698,opt
j.rnd_p1mdoubled.6x5.train.176,706,opt
j.rnd_p1mdoubled.6x5.train.177,574,opt
j.rnd_p1mdoubled.6x5.train.178,716,opt
j.rnd_p1mdoubled.6x5.train.179,722,opt
j.rnd_p1mdoubled.6x5.train.180,420,opt
j.rnd_p1mdoubled.6x5.train.181,732,opt
j.rnd_p1mdoubled.6x5.train.182,621,opt
j.rnd_p1mdoubled.6x5.train.183,578,opt
j.rnd_p1mdoubled.6x5.train.184,553,opt
j.rnd_p1mdoubled.6x5.train.185,754,opt
j.rnd_p1mdoubled.6x5.train.186,562,opt
j.rnd_p1mdoubled.6x5.train.187,501,opt
j.rnd_p1mdoubled.6x5.train.188,787,opt
j.rnd_p1mdoubled.6x5.train.189,784,opt
j.rnd_p1mdoubled.6x5.train.190,459,opt
j.rnd_p1mdoubled.6x5.train.191,788,opt
j.rnd_p1mdoubled.6x5.train.192,639,opt
j.rnd_p1mdoubled.6x5.train.193,620,opt
j.rnd_p1mdoubled.6x5.train.194,820,opt
j.rnd_p1mdoubled.6x5.train.195,415,opt
j.rnd_p1mdoubled.6x5.train.196,481,opt
j.rnd_p1mdoubled.6x5.train.197,671,opt
j.rnd_p1mdoubled.6x5.train.198,556,opt
j.rnd_p1mdoubled.6x5.train.199,522,opt
j.rnd_p1mdoubled.6x5.train.200,831,opt
j.rnd_p1mdoubled.6x5.train.201,652,opt
j.rnd_p1mdoubled.6x5.train.202,646,opt
j.rnd_p1mdoubled.6x5.train.203,650,opt
j.rnd_p1mdoubled.6x5.train.204,693,opt
j.rnd_p1mdoubled.6x5.train.205,664,opt
j.rnd_p1mdoubled.6x5.train.206,866,opt
j.rnd_p1mdoubled.6x5.train.207,675,opt
j.rnd_p1mdoubled.6x5.train.208,505,opt
j.rnd_p1mdoubled.6x5.train.209,533,opt
j.rnd_p1mdoubled.6x5.train.210,738,opt
j.rnd_p1mdoubled.6x5.train.211,516,opt
j.rnd_p1mdoubled.6x5.train.212,592,opt
j.rnd_p1mdoubled.6x5.train.213,615,opt
j.rnd_p1mdoubled.6x5.train.214,513,opt
j.rnd_p1mdoubled.6x5.train.215,518,opt
j.rnd_p1mdoubled.6x5.train.216,797,opt
j.rnd_p1mdoubled.6x5.train.217,779,opt
j.rnd_p1mdoubled.6x5.train.218,806,opt
j.rnd_p1mdoubled.6x5.train.219,795,opt
j.rnd_p1mdoubled.6x5.train.220,803,opt
j.rnd_p1mdoubled.6x5.train.221,499,opt
j.rnd_p1mdoubled.6x5.train.222,600,opt
j.rnd_p1mdoubled.6x5.train.223,756,opt
j.rnd_p1mdoubled.6x5.train.224,483,opt
j.rnd_p1mdoubled.6x5.train.225,770,opt
j.rnd_p1mdoubled.6x5.train.226,428,opt
j.rnd_p1mdoubled.6x5.train.227,440,opt
j.rnd_p1mdoubled.6x5.train.228,668,opt
j.rnd_p1mdoubled.6x5.train.229,650,opt
j.rnd_p1mdoubled.6x5.train.230,511,opt
j.rnd_p1mdoubled.6x5.train.231,996,opt
j.rnd_p1mdoubled.6x5.train.232,649,opt
j.rnd_p1mdoubled.6x5.train.233,643,opt
j.rnd_p1mdoubled.6x5.train.234,618,opt
j.rnd_p1mdoubled.6x5.train.235,820,opt
j.rnd_p1mdoubled.6x5.train.236,639,opt
j.rnd_p1mdoubled.6x5.train.237,719,opt
j.rnd_p1mdoubled.6x5.train.238,681,opt
j.rnd_p1mdoubled.6x5.train.239,644,opt
j.rnd_p1mdoubled.6x5.train.240,406,opt
j.rnd_p1mdoubled.6x5.train.241,859,opt
j.rnd_p1mdoubled.6x5.train.242,463,opt
j.rnd_p1mdoubled.6x5.train.243,562,opt
j.rnd_p1mdoubled.6x5.train.244,670,opt
j.rnd_p1mdoubled.6x5.train.245,478,opt
j.rnd_p1mdoubled.6x5.train.246,611,opt
j.rnd_p1mdoubled.6x5.train.247,755,opt
j.rnd_p1mdoubled.6x5.train.248,699,opt
j.rnd_p1mdoubled.6x5.train.249,573,opt
j.rnd_p1mdoubled.6x5.train.250,704,opt
j.rnd_p1mdoubled.6x5.train.251,548,opt
j.rnd_p1mdoubled.6x5.train.252,514,opt
j.rnd_p1mdoubled.6x5.train.253,732,opt
j.rnd_p1mdoubled.6x5.train.254,788,opt
j.rnd_p1mdoubled.6x5.train.255,525,opt
j.rnd_p1mdoubled.6x5.train.256,781,opt
j.rnd_p1mdoubled.6x5.train.257,542,opt
j.rnd_p1mdoubled.6x5.train.258,571,opt
j.rnd_p1mdoubled.6x5.train.259,811,opt
j.rnd_p1mdoubled.6x5.train.260,642,opt
j.rnd_p1mdoubled.6x5.train.261,660,opt
j.rnd_p1mdoubled.6x5.train.262,766,opt
j.rnd_p1mdoubled.6x5.train.263,625,opt
j.rnd_p1mdoubled.6x5.train.264,774,opt
j.rnd_p1mdoubled.6x5.train.265,782,opt
j.rnd_p1mdoubled.6x5.train.266,786,opt
j.rnd_p1mdoubled.6x5.train.267,594,opt
j.rnd_p1mdoubled.6x5.train.268,521,opt
j.rnd_p1mdoubled.6x5.train.269,606,opt
j.rnd_p1mdoubled.6x5.train.270,808,opt
j.rnd_p1mdoubled.6x5.train.271,467,opt
j.rnd_p1mdoubled.6x5.train.272,644,opt
j.rnd_p1mdoubled.6x5.train.273,494,opt
j.rnd_p1mdoubled.6x5.train.274,579,opt
j.rnd_p1mdoubled.6x5.train.275,703,opt
j.rnd_p1mdoubled.6x5.train.276,588,opt
j.rnd_p1mdoubled.6x5.train.277,648,opt
j.rnd_p1mdoubled.6x5.train.278,856,opt
j.rnd_p1mdoubled.6x5.train.279,715,opt
j.rnd_p1mdoubled.6x5.train.280,536,opt
j.rnd_p1mdoubled.6x5.train.281,795,opt
j.rnd_p1mdoubled.6x5.train.282,676,opt
j.rnd_p1mdoubled.6x5.train.283,743,opt
j.rnd_p1mdoubled.6x5.train.284,684,opt
j.rnd_p1mdoubled.6x5.train.285,768,opt
j.rnd_p1mdoubled.6x5.train.286,471,opt
j.rnd_p1mdoubled.6x5.train.287,700,opt
j.rnd_p1mdoubled.6x5.train.288,743,opt
j.rnd_p1mdoubled.6x5.train.289,634,opt
j.rnd_p1mdoubled.6x5.train.290,516,opt
j.rnd_p1mdoubled.6x5.train.291,725,opt
j.rnd_p1mdoubled.6x5.train.292,526,opt
j.rnd_p1mdoubled.6x5.train.293,862,opt
j.rnd_p1mdoubled.6x5.train.294,793,opt
j.rnd_p1mdoubled.6x5.train.295,753,opt
j.rnd_p1mdoubled.6x5.train.296,585,opt
j.rnd_p1mdoubled.6x5.train.297,775,opt
j.rnd_p1mdoubled.6x5.train.298,560,opt
j.rnd_p1mdoubled.6x5.train.299,428,opt
j.rnd_p1mdoubled.6x5.train.300,768,opt
j.rnd_p1mdoubled.6x5.train.301,576,opt
j.rnd_p1mdoubled.6x5.train.302,428,opt
j.rnd_p1mdoubled.6x5.train.303,677,opt
j.rnd_p1mdoubled.6x5.train.304,590,opt
j.rnd_p1mdoubled.6x5.train.305,421,opt
j.rnd_p1mdoubled.6x5.train.306,867,opt
j.rnd_p1mdoubled.6x5.train.307,747,opt
j.rnd_p1mdoubled.6x5.train.308,614,opt
j.rnd_p1mdoubled.6x5.train.309,928,opt
j.rnd_p1mdoubled.6x5.train.310,643,opt
j.rnd_p1mdoubled.6x5.train.311,471,opt
j.rnd_p1mdoubled.6x5.train.312,1032,opt
j.rnd_p1mdoubled.6x5.train.313,640,opt
j.rnd_p1mdoubled.6x5.train.314,646,opt
j.rnd_p1mdoubled.6x5.train.315,545,opt
j.rnd_p1mdoubled.6x5.train.316,716,opt
j.rnd_p1mdoubled.6x5.train.317,525,opt
j.rnd_p1mdoubled.6x5.train.318,751,opt
j.rnd_p1mdoubled.6x5.train.319,681,opt
j.rnd_p1mdoubled.6x5.train.320,583,opt
j.rnd_p1mdoubled.6x5.train.321,551,opt
j.rnd_p1mdoubled.6x5.train.322,686,opt
j.rnd_p1mdoubled.6x5.train.323,554,opt
j.rnd_p1mdoubled.6x5.train.324,585,opt
j.rnd_p1mdoubled.6x5.train.325,942,opt
j.rnd_p1mdoubled.6x5.train.326,535,opt
j.rnd_p1mdoubled.6x5.train.327,587,opt
j.rnd_p1mdoubled.6x5.train.328,574,opt
j.rnd_p1mdoubled.6x5.train.329,724,opt
j.rnd_p1mdoubled.6x5.train.330,613,opt
j.rnd_p1mdoubled.6x5.train.331,736,opt
j.rnd_p1mdoubled.6x5.train.332,645,opt
j.rnd_p1mdoubled.6x5.train.333,544,opt
