Name,Optimum,Solved
f.mc.6x5.train.1,826,opt
f.mc.6x5.train.2,402,opt
f.mc.6x5.train.3,309,opt
f.mc.6x5.train.4,537,opt
f.mc.6x5.train.5,596,opt
f.mc.6x5.train.6,665,opt
f.mc.6x5.train.7,739,opt
f.mc.6x5.train.8,678,opt
f.mc.6x5.train.9,417,opt
f.mc.6x5.train.10,412,opt
f.mc.6x5.train.11,560,opt
f.mc.6x5.train.12,492,opt
f.mc.6x5.train.13,692,opt
f.mc.6x5.train.14,705,opt
f.mc.6x5.train.15,844,opt
f.mc.6x5.train.16,598,opt
f.mc.6x5.train.17,417,opt
f.mc.6x5.train.18,475,opt
f.mc.6x5.train.19,548,opt
f.mc.6x5.train.20,615,opt
f.mc.6x5.train.21,630,opt
f.mc.6x5.train.22,710,opt
f.mc.6x5.train.23,672,opt
f.mc.6x5.train.24,849,opt
f.mc.6x5.train.25,203,opt
f.mc.6x5.train.26,465,opt
f.mc.6x5.train.27,430,opt
f.mc.6x5.train.28,597,opt
f.mc.6x5.train.29,650,opt
f.mc.6x5.train.30,736,opt
f.mc.6x5.train.31,836,opt
f.mc.6x5.train.32,393,opt
f.mc.6x5.train.33,442,opt
f.mc.6x5.train.34,536,opt
f.mc.6x5.train.35,583,opt
f.mc.6x5.train.36,622,opt
f.mc.6x5.train.37,620,opt
f.mc.6x5.train.38,738,opt
f.mc.6x5.train.39,737,opt
f.mc.6x5.train.40,192,opt
f.mc.6x5.train.41,389,opt
f.mc.6x5.train.42,493,opt
f.mc.6x5.train.43,532,opt
f.mc.6x5.train.44,638,opt
f.mc.6x5.train.45,683,opt
f.mc.6x5.train.46,820,opt
f.mc.6x5.train.47,387,opt
f.mc.6x5.train.48,369,opt
f.mc.6x5.train.49,495,opt
f.mc.6x5.train.50,584,opt
f.mc.6x5.train.51,566,opt
f.mc.6x5.train.52,737,opt
f.mc.6x5.train.53,662,opt
f.mc.6x5.train.54,865,opt
f.mc.6x5.train.55,444,opt
f.mc.6x5.train.56,499,opt
f.mc.6x5.train.57,512,opt
f.mc.6x5.train.58,585,opt
f.mc.6x5.train.59,606,opt
f.mc.6x5.train.60,681,opt
f.mc.6x5.train.61,780,opt
f.mc.6x5.train.62,851,opt
f.mc.6x5.train.63,363,opt
f.mc.6x5.train.64,478,opt
f.mc.6x5.train.65,508,opt
f.mc.6x5.train.66,579,opt
f.mc.6x5.train.67,629,opt
f.mc.6x5.train.68,737,opt
f.mc.6x5.train.69,740,opt
f.mc.6x5.train.70,362,opt
f.mc.6x5.train.71,396,opt
f.mc.6x5.train.72,457,opt
f.mc.6x5.train.73,525,opt
f.mc.6x5.train.74,614,opt
f.mc.6x5.train.75,691,opt
f.mc.6x5.train.76,763,opt
f.mc.6x5.train.77,826,opt
f.mc.6x5.train.78,422,opt
f.mc.6x5.train.79,533,opt
f.mc.6x5.train.80,389,opt
f.mc.6x5.train.81,541,opt
f.mc.6x5.train.82,526,opt
f.mc.6x5.train.83,722,opt
f.mc.6x5.train.84,805,opt
f.mc.6x5.train.85,261,opt
f.mc.6x5.train.86,324,opt
f.mc.6x5.train.87,485,opt
f.mc.6x5.train.88,546,opt
f.mc.6x5.train.89,488,opt
f.mc.6x5.train.90,622,opt
f.mc.6x5.train.91,740,opt
f.mc.6x5.train.92,891,opt
f.mc.6x5.train.93,406,opt
f.mc.6x5.train.94,462,opt
f.mc.6x5.train.95,513,opt
f.mc.6x5.train.96,564,opt
f.mc.6x5.train.97,645,opt
f.mc.6x5.train.98,664,opt
f.mc.6x5.train.99,807,opt
f.mc.6x5.train.100,878,opt
f.mc.6x5.train.101,321,opt
f.mc.6x5.train.102,446,opt
f.mc.6x5.train.103,568,opt
f.mc.6x5.train.104,524,opt
f.mc.6x5.train.105,689,opt
f.mc.6x5.train.106,672,opt
f.mc.6x5.train.107,841,opt
f.mc.6x5.train.108,286,opt
f.mc.6x5.train.109,465,opt
f.mc.6x5.train.110,401,opt
f.mc.6x5.train.111,531,opt
f.mc.6x5.train.112,569,opt
f.mc.6x5.train.113,592,opt
f.mc.6x5.train.114,670,opt
f.mc.6x5.train.115,767,opt
f.mc.6x5.train.116,492,opt
f.mc.6x5.train.117,405,opt
f.mc.6x5.train.118,545,opt
f.mc.6x5.train.119,563,opt
f.mc.6x5.train.120,740,opt
f.mc.6x5.train.121,732,opt
f.mc.6x5.train.122,759,opt
f.mc.6x5.train.123,183,opt
f.mc.6x5.train.124,480,opt
f.mc.6x5.train.125,482,opt
f.mc.6x5.train.126,569,opt
f.mc.6x5.train.127,616,opt
f.mc.6x5.train.128,660,opt
f.mc.6x5.train.129,766,opt
f.mc.6x5.train.130,633,opt
f.mc.6x5.train.131,357,opt
f.mc.6x5.train.132,415,opt
f.mc.6x5.train.133,513,opt
f.mc.6x5.train.134,568,opt
f.mc.6x5.train.135,603,opt
f.mc.6x5.train.136,698,opt
f.mc.6x5.train.137,800,opt
f.mc.6x5.train.138,815,opt
f.mc.6x5.train.139,395,opt
f.mc.6x5.train.140,527,opt
f.mc.6x5.train.141,595,opt
f.mc.6x5.train.142,659,opt
f.mc.6x5.train.143,609,opt
f.mc.6x5.train.144,735,opt
f.mc.6x5.train.145,705,opt
f.mc.6x5.train.146,317,opt
f.mc.6x5.train.147,345,opt
f.mc.6x5.train.148,559,opt
f.mc.6x5.train.149,468,opt
f.mc.6x5.train.150,592,opt
f.mc.6x5.train.151,710,opt
f.mc.6x5.train.152,833,opt
f.mc.6x5.train.153,823,opt
f.mc.6x5.train.154,392,opt
f.mc.6x5.train.155,439,opt
f.mc.6x5.train.156,553,opt
f.mc.6x5.train.157,660,opt
f.mc.6x5.train.158,569,opt
f.mc.6x5.train.159,697,opt
f.mc.6x5.train.160,717,opt
f.mc.6x5.train.161,404,opt
f.mc.6x5.train.162,379,opt
f.mc.6x5.train.163,513,opt
f.mc.6x5.train.164,520,opt
f.mc.6x5.train.165,604,opt
f.mc.6x5.train.166,700,opt
f.mc.6x5.train.167,686,opt
f.mc.6x5.train.168,743,opt
f.mc.6x5.train.169,395,opt
f.mc.6x5.train.170,432,opt
f.mc.6x5.train.171,489,opt
f.mc.6x5.train.172,465,opt
f.mc.6x5.train.173,597,opt
f.mc.6x5.train.174,671,opt
f.mc.6x5.train.175,738,opt
f.mc.6x5.train.176,749,opt
f.mc.6x5.train.177,422,opt
f.mc.6x5.train.178,435,opt
f.mc.6x5.train.179,542,opt
f.mc.6x5.train.180,646,opt
f.mc.6x5.train.181,684,opt
f.mc.6x5.train.182,745,opt
f.mc.6x5.train.183,828,opt
f.mc.6x5.train.184,401,opt
f.mc.6x5.train.185,485,opt
f.mc.6x5.train.186,479,opt
f.mc.6x5.train.187,447,opt
f.mc.6x5.train.188,625,opt
f.mc.6x5.train.189,739,opt
f.mc.6x5.train.190,739,opt
f.mc.6x5.train.191,725,opt
f.mc.6x5.train.192,336,opt
f.mc.6x5.train.193,495,opt
f.mc.6x5.train.194,461,opt
f.mc.6x5.train.195,523,opt
f.mc.6x5.train.196,567,opt
f.mc.6x5.train.197,782,opt
f.mc.6x5.train.198,825,opt
f.mc.6x5.train.199,331,opt
f.mc.6x5.train.200,345,opt
f.mc.6x5.train.201,526,opt
f.mc.6x5.train.202,569,opt
f.mc.6x5.train.203,584,opt
f.mc.6x5.train.204,668,opt
f.mc.6x5.train.205,734,opt
f.mc.6x5.train.206,874,opt
f.mc.6x5.train.207,362,opt
f.mc.6x5.train.208,323,opt
f.mc.6x5.train.209,370,opt
f.mc.6x5.train.210,526,opt
f.mc.6x5.train.211,607,opt
f.mc.6x5.train.212,711,opt
f.mc.6x5.train.213,594,opt
