Problem,NrFeat,Model,Bias,TimeIndependent,Training.Rho,NTrain,Validation.Rho,NValidation,Test.Rho,NTest
j.rnd,2,57,equal,TRUE,30.57204,240,30.881,60,30.7615,200
j.rnd,2,58,equal,TRUE,37.33087,240,37.06183,60,36.74145,200
j.rnd,2,59,equal,TRUE,25.48067,240,25.70233,60,26.931,200
j.rnd,2,6,equal,TRUE,19.17471,240,18.4285,60,19.5931,200
j.rnd,2,60,equal,TRUE,56.33529,240,57.69583,60,55.0673,200
j.rnd,2,61,equal,TRUE,42.83438,240,43.31533,60,43.0345,200
j.rnd,2,62,equal,TRUE,55.24725,240,56.71167,60,56.25005,200
j.rnd,2,63,equal,TRUE,50.48338,240,51.54167,60,51.9522,200
j.rnd,2,64,equal,TRUE,45.44283,240,47.86383,60,48.5086,200
j.rnd,2,65,equal,TRUE,37.24425,240,36.53233,60,36.6984,200
j.rnd,2,66,equal,TRUE,37.11396,240,35.74367,60,37.1515,200
j.rnd,2,67,equal,TRUE,48.63762,240,46.79117,60,51.0829,200
j.rnd,2,68,equal,TRUE,30.33279,240,30.34617,60,30.3699,200
j.rnd,2,69,equal,TRUE,34.58029,240,33.309,60,32.94385,200
j.rnd,2,7,equal,TRUE,54.45521,240,53.8345,60,54.09555,200
j.rnd,2,70,equal,TRUE,26.28242,240,27.2385,60,26.52315,200
j.rnd,2,71,equal,TRUE,50.19929,240,50.90917,60,49.80295,200
j.rnd,2,72,equal,TRUE,40.50371,240,39.18933,60,40.5257,200
j.rnd,2,73,equal,TRUE,54.86271,240,57.2935,60,55.4824,200
j.rnd,2,74,equal,TRUE,26.411,240,24.8465,60,26.00505,200
j.rnd,2,75,equal,TRUE,44.02646,240,46.6465,60,44.26935,200
j.rnd,2,76,equal,TRUE,34.4685,240,33.01867,60,33.1046,200
j.rnd,2,77,equal,TRUE,34.50508,240,32.52483,60,32.90805,200
j.rnd,2,78,equal,TRUE,47.62,240,45.68633,60,45.93905,200
j.rnd,2,79,equal,TRUE,50.74946,240,50.7215,60,52.15045,200
j.rnd,2,8,equal,TRUE,42.88854,240,43.76,60,40.3078,200
j.rnd,2,80,equal,TRUE,30.75446,240,30.883,60,30.89135,200
j.rnd,2,81,equal,TRUE,37.19738,240,37.42383,60,37.02435,200
j.rnd,2,82,equal,TRUE,25.94983,240,25.96817,60,26.842,200
j.rnd,2,83,equal,TRUE,56.25208,240,57.71233,60,55.0405,200
j.rnd,2,84,equal,TRUE,42.50796,240,43.16,60,42.91785,200
j.rnd,2,85,equal,TRUE,55.87175,240,56.93267,60,56.438,200
j.rnd,2,86,equal,TRUE,49.99058,240,50.07983,60,51.26345,200
j.rnd,2,87,equal,TRUE,45.43083,240,47.82633,60,48.65535,200
j.rnd,2,88,equal,TRUE,37.32512,240,37.43867,60,36.83245,200
j.rnd,2,89,equal,TRUE,36.18858,240,35.56017,60,37.0903,200
j.rnd,2,9,equal,TRUE,50.48262,240,47.80667,60,50.5389,200
j.rnd,2,90,equal,TRUE,51.34837,240,51.41583,60,52.59195,200
j.rnd,2,91,equal,TRUE,47.44092,240,45.40817,60,45.6533,200
j.rnd,2,92,equal,TRUE,49.35129,240,52.12233,60,48.26865,200
j.rnd,2,93,equal,TRUE,30.42179,240,30.43533,60,28.41305,200
j.rnd,2,94,equal,TRUE,32.93675,240,32.57867,60,33.03665,200
j.rnd,2,95,equal,TRUE,25.69146,240,24.48367,60,25.65305,200
j.rnd,2,96,equal,TRUE,53.11225,240,60.02467,60,55.6308,200
j.rnd,2,97,equal,TRUE,40.03658,240,40.4585,60,39.2454,200
j.rnd,2,98,equal,TRUE,53.70971,240,56.79633,60,56.05805,200
j.rnd,2,99,equal,TRUE,45.35308,240,45.05033,60,47.75435,200
j.rnd,3,1,equal,TRUE,43.32692,240,41.118,60,43.1472,200
j.rnd,3,10,equal,TRUE,37.36417,240,35.84517,60,36.357,200
j.rnd,3,100,equal,TRUE,50.38196,240,48.53483,60,52.8496,200
j.rnd,3,101,equal,TRUE,51.23858,240,48.92583,60,52.84705,200
j.rnd,3,102,equal,TRUE,45.29413,240,45.038,60,44.7569,200
j.rnd,3,103,equal,TRUE,32.20617,240,28.96967,60,32.30725,200
j.rnd,3,104,equal,TRUE,51.34687,240,49.20767,60,52.92015,200
j.rnd,3,105,equal,TRUE,30.16021,240,30.98533,60,31.7064,200
j.rnd,3,106,equal,TRUE,43.11629,240,41.24433,60,43.0965,200
j.rnd,3,107,equal,TRUE,42.2515,240,38.92717,60,42.67825,200
j.rnd,3,108,equal,TRUE,34.34708,240,32.99467,60,32.89225,200
j.rnd,3,109,equal,TRUE,19.54846,240,19.30283,60,19.7922,200
j.rnd,3,11,equal,TRUE,32.17608,240,32.098,60,33.87455,200
j.rnd,3,110,equal,TRUE,50.61792,240,49.44267,60,51.265,200
j.rnd,3,111,equal,TRUE,25.01783,240,24.2765,60,27.1216,200
j.rnd,3,112,equal,TRUE,45.20188,240,45.64333,60,44.5229,200
j.rnd,3,113,equal,TRUE,40.96254,240,40.0675,60,41.45665,200
j.rnd,3,114,equal,TRUE,40.68675,240,38.78733,60,41.38645,200
j.rnd,3,115,equal,TRUE,33.64233,240,33.09367,60,32.5721,200
j.rnd,3,116,equal,TRUE,21.27613,240,20.61567,60,20.39625,200
j.rnd,3,117,equal,TRUE,52.00254,240,52.59883,60,55.17585,200
j.rnd,3,118,equal,TRUE,25.10717,240,24.431,60,26.8011,200
j.rnd,3,119,equal,TRUE,46.43471,240,48.05067,60,46.9159,200
j.rnd,3,12,equal,TRUE,32.32771,240,31.91433,60,34.02995,200
j.rnd,3,120,equal,TRUE,33.75904,240,32.84733,60,32.7702,200
j.rnd,3,121,equal,TRUE,43.16892,240,40.08183,60,42.72665,200
j.rnd,3,122,equal,TRUE,43.16417,240,39.88533,60,42.6322,200
j.rnd,3,123,equal,TRUE,42.94221,240,39.98717,60,42.7361,200
j.rnd,3,124,equal,TRUE,29.049,240,28.5145,60,29.2717,200
j.rnd,3,125,equal,TRUE,23.06325,240,22.08467,60,22.10815,200
j.rnd,3,126,equal,TRUE,19.55242,240,18.489,60,19.58745,200
j.rnd,3,127,equal,TRUE,57.00908,240,56.98617,60,57.03285,200
j.rnd,3,128,equal,TRUE,53.96696,240,54.83,60,54.38095,200
j.rnd,3,129,equal,TRUE,47.68925,240,46.1975,60,48.56405,200
j.rnd,3,13,equal,TRUE,32.28083,240,32.01117,60,33.7088,200
j.rnd,3,130,equal,TRUE,40.50854,240,42.39067,60,40.9198,200
j.rnd,3,131,equal,TRUE,37.3855,240,35.594,60,37.93415,200
j.rnd,3,132,equal,TRUE,33.8895,240,32.5375,60,35.2404,200
j.rnd,3,133,equal,TRUE,25.48325,240,25.369,60,27.27145,200
j.rnd,3,134,equal,TRUE,20.09304,240,18.72217,60,19.78105,200
j.rnd,3,135,equal,TRUE,38.428,240,38.159,60,38.26255,200
j.rnd,3,136,equal,TRUE,59.80846,240,60.34583,60,59.07565,200
j.rnd,3,137,equal,TRUE,53.36379,240,56.01983,60,53.5717,200
j.rnd,3,138,equal,TRUE,44.16504,240,43.53333,60,42.9353,200
j.rnd,3,139,equal,TRUE,36.15163,240,36.39033,60,35.4522,200
j.rnd,3,14,equal,TRUE,30.20654,240,29.22083,60,29.78005,200
j.rnd,3,140,equal,TRUE,53.60325,240,55.3365,60,53.80185,200
j.rnd,3,141,equal,TRUE,37.43988,240,36.81567,60,38.3468,200
j.rnd,3,142,equal,TRUE,47.80654,240,46.10433,60,48.4107,200
j.rnd,3,143,equal,TRUE,36.53137,240,35.4745,60,36.2602,200
j.rnd,3,144,equal,TRUE,34.34708,240,32.99467,60,32.9223,200
j.rnd,3,145,equal,TRUE,19.49462,240,18.65617,60,19.47865,200
j.rnd,3,146,equal,TRUE,54.50096,240,58.51767,60,55.7694,200
j.rnd,3,147,equal,TRUE,29.51917,240,26.82033,60,29.0378,200
j.rnd,3,148,equal,TRUE,53.05112,240,52.29383,60,51.9489,200
j.rnd,3,149,equal,TRUE,44.63496,240,44.9415,60,46.6012,200
j.rnd,3,15,equal,TRUE,18.11729,240,19.28167,60,18.54685,200
j.rnd,3,150,equal,TRUE,42.73646,240,40.70233,60,42.28925,200
j.rnd,3,151,equal,TRUE,33.67342,240,33.05667,60,32.39735,200
j.rnd,3,152,equal,TRUE,20.52358,240,19.484,60,19.7482,200
j.rnd,3,153,equal,TRUE,56.82267,240,56.59133,60,56.79895,200
j.rnd,3,154,equal,TRUE,30.18267,240,29.221,60,31.07915,200
j.rnd,3,155,equal,TRUE,52.242,240,54.646,60,52.49835,200
j.rnd,3,156,equal,TRUE,35.121,240,36.89767,60,34.08225,200
j.rnd,3,157,equal,TRUE,42.62062,240,39.625,60,42.86655,200
j.rnd,3,158,equal,TRUE,42.53079,240,40.1105,60,42.75745,200
j.rnd,3,159,equal,TRUE,34.34708,240,32.99467,60,32.9223,200
j.rnd,3,16,equal,TRUE,19.31921,240,18.02933,60,18.60135,200
j.rnd,3,160,equal,TRUE,19.78492,240,19.1765,60,19.6676,200
j.rnd,3,161,equal,TRUE,48.68379,240,46.91217,60,49.4642,200
j.rnd,3,162,equal,TRUE,25.52204,240,25.6245,60,27.1913,200
j.rnd,3,163,equal,TRUE,44.24317,240,43.7385,60,42.73525,200
j.rnd,3,164,equal,TRUE,34.34708,240,32.99467,60,32.9223,200
j.rnd,3,165,equal,TRUE,33.57825,240,32.98233,60,32.4965,200
j.rnd,3,166,equal,TRUE,43.99725,240,41.29467,60,43.2169,200
j.rnd,3,167,equal,TRUE,43.87292,240,41.45333,60,43.3577,200
j.rnd,3,168,equal,TRUE,43.17304,240,41.09933,60,42.91225,200
j.rnd,3,169,equal,TRUE,32.35483,240,31.16233,60,31.65965,200
j.rnd,3,17,equal,TRUE,35.91825,240,32.35633,60,35.09955,200
j.rnd,3,170,equal,TRUE,17.57229,240,17.577,60,17.31115,200
j.rnd,3,171,equal,TRUE,22.09996,240,20.945,60,21.3756,200
j.rnd,3,172,equal,TRUE,54.617,240,53.466,60,54.3853,200
j.rnd,3,173,equal,TRUE,43.52496,240,45.47317,60,42.11065,200
j.rnd,3,174,equal,TRUE,50.15279,240,47.6665,60,50.5477,200
j.rnd,3,175,equal,TRUE,38.456,240,37.7895,60,39.0151,200
j.rnd,3,176,equal,TRUE,39.69633,240,38.68583,60,40.877,200
j.rnd,3,177,equal,TRUE,32.25346,240,29.04,60,31.5599,200
j.rnd,3,178,equal,TRUE,27.34662,240,26.77333,60,27.9636,200
j.rnd,3,179,equal,TRUE,25.68096,240,24.60367,60,25.9745,200
j.rnd,3,18,equal,TRUE,37.85,240,36.95483,60,38.45495,200
j.rnd,3,180,equal,TRUE,42.87112,240,43.6965,60,42.6447,200
j.rnd,3,181,equal,TRUE,59.85771,240,60.16017,60,60.19725,200
j.rnd,3,182,equal,TRUE,43.01275,240,42.79433,60,40.87955,200
j.rnd,3,183,equal,TRUE,45.01642,240,45.21,60,44.94785,200
j.rnd,3,184,equal,TRUE,40.12604,240,36.498,60,40.2013,200
j.rnd,3,185,equal,TRUE,43.42275,240,44.38083,60,41.94185,200
j.rnd,3,186,equal,TRUE,50.52083,240,51.3725,60,50.96245,200
j.rnd,3,187,equal,TRUE,51.34092,240,49.14183,60,53.3635,200
j.rnd,3,188,equal,TRUE,30.73583,240,31.11583,60,30.9305,200
j.rnd,3,189,equal,TRUE,37.26025,240,37.22433,60,37.132,200
j.rnd,3,19,equal,TRUE,34.7595,240,34.78567,60,35.0811,200
j.rnd,3,190,equal,TRUE,25.89725,240,26.00533,60,26.9478,200
j.rnd,3,191,equal,TRUE,54.28604,240,53.264,60,54.96995,200
j.rnd,3,192,equal,TRUE,43.46167,240,43.249,60,42.69225,200
j.rnd,3,193,equal,TRUE,54.57417,240,56.68567,60,56.6842,200
j.rnd,3,194,equal,TRUE,48.89713,240,50.13,60,50.13025,200
j.rnd,3,195,equal,TRUE,29.87187,240,29.9485,60,29.93575,200
j.rnd,3,196,equal,TRUE,38.80092,240,37.9385,60,38.61065,200
j.rnd,3,197,equal,TRUE,29.24383,240,28.78,60,28.7332,200
j.rnd,3,198,equal,TRUE,53.36754,240,52.5535,60,53.2487,200
j.rnd,3,199,equal,TRUE,38.78187,240,39.54383,60,38.95265,200
j.rnd,3,2,equal,TRUE,27.20025,240,28.23317,60,26.80685,200
j.rnd,3,20,equal,TRUE,35.90117,240,33.52483,60,35.40495,200
j.rnd,3,200,equal,TRUE,59.26758,240,57.3625,60,59.1683,200
j.rnd,3,201,equal,TRUE,47.58742,240,45.31683,60,46.18595,200
j.rnd,3,202,equal,TRUE,43.99125,240,41.23317,60,43.46115,200
j.rnd,3,203,equal,TRUE,43.13692,240,41.79483,60,43.0926,200
j.rnd,3,204,equal,TRUE,37.22421,240,37.42383,60,36.9903,200
j.rnd,3,205,equal,TRUE,21.96404,240,21.24717,60,21.2146,200
j.rnd,3,206,equal,TRUE,50.05225,240,48.9265,60,50.30595,200
j.rnd,3,207,equal,TRUE,26.94429,240,26.87233,60,28.36015,200
j.rnd,3,208,equal,TRUE,45.312,240,44.78,60,45.12555,200
j.rnd,3,209,equal,TRUE,37.36871,240,37.25933,60,36.7637,200
j.rnd,3,21,equal,TRUE,50.07496,240,44.45767,60,50.79015,200
j.rnd,3,210,equal,TRUE,38.73842,240,37.79217,60,38.8013,200
j.rnd,3,211,equal,TRUE,47.96217,240,47.188,60,47.73255,200
j.rnd,3,212,equal,TRUE,37.43896,240,36.19367,60,37.8574,200
j.rnd,3,213,equal,TRUE,37.1525,240,36.976,60,37.50425,200
j.rnd,3,214,equal,TRUE,21.12996,240,20.56317,60,21.9612,200
j.rnd,3,215,equal,TRUE,54.94617,240,59.631,60,55.9518,200
j.rnd,3,216,equal,TRUE,29.95913,240,29.0625,60,31.0411,200
j.rnd,3,217,equal,TRUE,51.44379,240,52.29783,60,51.0284,200
