Problem,NrFeat,Model,Prob,TimeIndependent,Training.Rho,NTrain,Validation.Rho,NValidation,Test.Rho,NTest
f.rnd,1,1,opt,TRUE,32.64459,214,32.82294,54,34.69587,177
f.rnd,1,10,opt,TRUE,18.56947,214,19.19492,54,18.4966,177
f.rnd,1,11,opt,TRUE,18.56947,214,19.19492,54,18.4966,177
f.rnd,1,12,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,13,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,14,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,15,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,16,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,1,2,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,3,opt,TRUE,18.56947,214,19.19492,54,18.4966,177
f.rnd,1,4,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,5,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,6,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,1,7,opt,TRUE,24.36447,214,25.50008,54,24.41112,177
f.rnd,1,8,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,1,9,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,16,1,opt,TRUE,22.66705,214,20.96567,54,21.50942,177
f.rnd,2,1,opt,TRUE,34.85726,214,33.6629,54,35.08113,177
f.rnd,2,10,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,11,opt,TRUE,29.73904,214,29.83598,54,30.3594,177
f.rnd,2,12,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,13,opt,TRUE,17.43301,214,16.86332,54,17.761,177
f.rnd,2,14,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,15,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,16,opt,TRUE,23.48727,214,23.48285,54,23.82841,177
f.rnd,2,2,opt,TRUE,35.02505,214,33.3054,54,34.65607,177
f.rnd,2,3,opt,TRUE,34.95601,214,33.3054,54,34.65977,177
f.rnd,2,4,opt,TRUE,19.60906,214,20.11173,54,19.37145,177
f.rnd,2,5,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,6,opt,TRUE,17.09164,214,17.25913,54,17.41374,177
f.rnd,2,7,opt,TRUE,22.05942,214,21.43861,54,21.33274,177
f.rnd,2,8,opt,TRUE,28.65448,214,28.82745,54,28.08688,177
f.rnd,2,9,opt,TRUE,28.31144,214,28.7524,54,28.43332,177
f.rnd,2,100,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,101,opt,TRUE,18.14659,214,17.35949,54,17.79305,177
f.rnd,2,102,opt,TRUE,18.66426,214,19.07563,54,19.67656,177
f.rnd,2,103,opt,TRUE,27.93212,214,28.8301,54,27.23724,177
f.rnd,2,104,opt,TRUE,24.74159,214,25.68116,54,24.55702,177
f.rnd,2,105,opt,TRUE,27.93212,214,28.8301,54,27.18997,177
f.rnd,2,106,opt,TRUE,26.06076,214,25.14002,54,24.86253,177
f.rnd,2,107,opt,TRUE,26.47808,214,27.21286,54,25.64614,177
f.rnd,2,108,opt,TRUE,24.0436,214,24.47152,54,23.63989,177
f.rnd,2,109,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,110,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,111,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,112,opt,TRUE,25.22001,214,25.19938,54,23.95562,177
f.rnd,2,113,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,114,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,115,opt,TRUE,23.99952,214,24.52597,54,23.73549,177
f.rnd,2,116,opt,TRUE,24.06124,214,23.67917,54,23.14008,177
f.rnd,2,117,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,118,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,119,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,120,opt,TRUE,25.23594,214,25.35999,54,23.96915,177
f.rnd,2,17,opt,TRUE,28.57884,214,28.56044,54,28.18631,177
f.rnd,2,18,opt,TRUE,24.14659,214,23.17493,54,23.84446,177
f.rnd,2,19,opt,TRUE,24.2993,214,25.03879,54,23.93699,177
f.rnd,2,20,opt,TRUE,28.7051,214,28.95087,54,28.05095,177
f.rnd,2,21,opt,TRUE,25.47229,214,25.36214,54,24.15433,177
f.rnd,2,22,opt,TRUE,19.60906,214,20.11173,54,19.37145,177
f.rnd,2,23,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,24,opt,TRUE,17.09164,214,17.25913,54,17.35538,177
f.rnd,2,25,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,26,opt,TRUE,24.30226,214,25.04862,54,23.95524,177
f.rnd,2,27,opt,TRUE,25.22165,214,25.29656,54,23.97709,177
f.rnd,2,28,opt,TRUE,24.2993,214,25.03879,54,23.93699,177
