Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.1104129,-0.1171576,-0.1622573,-0.1804554,-0.1905583,-0.1417277,-0.1472404,-0.1489622,-0.165358,-0.1891329,-0.1480108,-0.1382789,-0.1607864,-0.1608835,-0.1791408,-0.1355924,-0.1740352,-0.1786008,-0.176103,-0.1649994,-0.1761178
Weight,16,1,phi.startTime,NA,0,0,0.04620952,0.04949083,0.05482563,0,0.001174708,0.03283148,0.04867433,0.06279776,0,0.002350987,0.02699074,0.04197573,0.04973314,0,0.001092902,0.02560357,0.04723671,0.04317301,0
Weight,16,1,phi.endTime,NA,-0.1104129,-0.1171576,-0.1160478,-0.1309646,-0.1357326,-0.1417277,-0.1460657,-0.1161307,-0.1166837,-0.1263351,-0.1480108,-0.135928,-0.1337957,-0.1189078,-0.1294076,-0.1355924,-0.1729423,-0.1529972,-0.1288663,-0.1218263,-0.1761178
Weight,16,1,phi.jobOps,NA,0,0.005469582,0.01009761,0.007958194,0.00957945,0,0.003033829,0.003951766,0.005130194,0.00636215,0,0.001263298,0.002431911,0.003443277,0.004094472,0,0.001001649,0.00240949,0.003166594,0.002656294,0
Weight,16,1,phi.arrivalTime,NA,0,0.06005976,0.09184198,0.07267647,0.07259113,0,0.07985758,0.08230819,0.08743045,0.09710864,0,0.0579291,0.08454088,0.08747362,0.08425553,0,0.05702188,0.08754843,0.1048459,0.0812584,0
Weight,16,1,phi.totproc,NA,0.03992561,0.07185267,0.09293365,0.07636523,0.07780151,0.03782642,0.06317864,0.06273047,0.0686547,0.07979702,0.03953103,0.04886806,0.06349102,0.0657219,0.07039671,0.03592062,0.06255637,0.07242985,0.07733321,0.06846752,0.05170089
Weight,16,1,phi.wait,NA,0,-0.06005976,-0.04563247,-0.02318564,-0.0177655,0,-0.07868287,-0.04947671,-0.03875612,-0.03431088,0,-0.05557811,-0.05755014,-0.04549789,-0.0345224,0,-0.05592897,-0.06194485,-0.05760923,-0.03808539,0
Weight,16,1,phi.mac,NA,0,0.005469582,0.01009761,0.007958194,0.00957945,0,0.003033829,0.003951766,0.005130194,0.00636215,0,0.001263298,0.002431911,0.003443277,0.004094472,0,0.001001649,0.00240949,0.003166594,0.002656294,0
Weight,16,1,phi.macOps,NA,0,-0.005469582,-0.005048805,-0.002652731,-0.002394862,0,-0.003033829,-0.001975883,-0.001710065,-0.001590537,0,-0.001263298,-0.001215955,-0.001147759,-0.001023618,0,-0.001001649,-0.001204745,-0.001055531,-0.0006640736,0
Weight,16,1,phi.macfree,NA,-0.1104129,-0.1171576,-0.1160478,-0.1309646,-0.1357326,-0.1417277,-0.1460657,-0.1161307,-0.1166837,-0.1263351,-0.1480108,-0.135928,-0.1337957,-0.1189078,-0.1294076,-0.1355924,-0.1729423,-0.1529972,-0.1288663,-0.1218263,-0.1761178
Weight,16,1,phi.makespan,NA,-0.1104129,-0.1171576,-0.1177171,-0.01004338,-0.005692848,0.0006923844,-0.01840417,-0.005335701,0.009132914,-0.03427341,-0.03980784,0.02443516,-0.004165419,-0.009846053,0.02303118,-0.0002352027,-0.03054866,-0.03826617,-0.03896301,0.01151748,-0.001209131
Weight,16,1,phi.slotReduced,NA,0,-0.06005976,-0.09184198,-0.07267647,-0.07259113,0,-0.01393864,-0.01608852,-0.01963403,-0.02191424,0,-0.006413794,-0.01318286,-0.01637918,-0.0182357,0,-0.004613436,-0.01049374,-0.01582976,-0.0114988,0
Weight,16,1,phi.slots,NA,0,0.06005976,0.09184198,0.07267647,0.07259113,0,0.04669711,0.0602319,0.07123669,0.08280863,0,0.02551311,0.05210114,0.06279611,0.06434455,0,0.02049436,0.04648502,0.06903088,0.0578542,0
Weight,16,1,phi.slotsTotal,NA,0,0.06005976,0.09184198,0.07267647,0.07259113,0,0.01393864,0.01608852,0.01963403,0.02191424,0,0.006413794,0.01318286,0.01637918,0.0182357,0,0.004613436,0.01049374,0.01582976,0.0114988,0
Weight,16,1,phi.wrmMac,NA,0,0.06495983,0.05111284,0.02056244,0.01477673,0,0.05186491,0.02981013,0.02238208,0.02198525,0,0.02686812,0.0276838,0.01992262,0.01544893,0,0.02418468,0.02497772,0.02121954,0.01461094,0
Weight,16,1,phi.wrmJob,NA,0.03992561,0.01179292,0.001091663,0.003688761,0.005210378,0.03782642,0.01607953,0.003413157,-8.829312e-05,-0.000741548,0.03953103,0.0233056,0.0126017,0.004743448,0.00664284,0.03592062,0.04096191,0.02507911,0.009347423,0.01157134,0.05170089
Training.Accuracy,16,1,NA,80.09,73.3,79.25,79.16,79.02,79.47,73.31,80.77,80.83,80.71,81,73.38,81.93,82.25,82.25,82.17,72.31,87.02,87.02,86.88,86.58,73.17
Validation.Accuracy,16,1,NA,82,72.73,80.21,80.38,80.21,80.38,74.44,82.92,83.6,83.6,83.14,77.03,84.4,84.4,84.4,84.4,75.53,87.2,86.01,87.2,87.8,75.6
