Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.1168901,-0.06782996,-0.05279722,-0.08805161,-0.08436837,-0.08172557,-0.07882115,-0.1025379,-0.1059459,-0.1269131,-0.09542383,-0.199018,-0.1909246,-0.1345508,-0.1730194,-0.136097,-0.1848607,-0.1791865,-0.07965861,-0.06101248,-0.1732963,-0.002302713,-0.00156865,-0.0009475762
Weight,16,1,phi.startTime,NA,0,0,0.02017178,0.02469586,0.02506632,0,-0.01013434,0.02479493,0.03215169,0.04458343,0,0.1074548,0.1181755,0.03252772,0.0540999,0,0.08045595,0.02116449,0.005918812,0.02372182,0,-0.009370465,-0.007516702,-0.005584502
Weight,16,1,phi.endTime,NA,-0.1168901,-0.06782996,-0.03262543,-0.06335575,-0.05930205,-0.08172557,-0.08895549,-0.07774296,-0.07379419,-0.08232966,-0.09542383,-0.09156316,-0.07274907,-0.1020231,-0.1189195,-0.136097,-0.1044048,-0.158022,-0.0737398,-0.03729066,-0.1732963,-0.01167318,-0.009085352,-0.006532078
Weight,16,1,phi.jobOps,NA,0,0.002241007,0.00554385,0.001732538,0.002086201,0,-0.00162482,0.001076879,0.001573148,0.001714417,0,-0.002472267,-0.003146084,0.001164344,0.001897996,0,-0.002383288,-0.00145004,0.001067016,0.001133621,0,-0.0001136487,-0.0001451474,-8.990401e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04667162,0.05497385,0.04003249,0.03533843,0,0.03981095,0.07411202,0.06924424,0.07723596,0,0.08261124,0.07766287,0.1024637,0.1076595,0,0.07513631,0.1338682,0.08069418,0.06085305,0,-0.01560571,-0.01316353,-0.007607354
Weight,16,1,phi.totproc,NA,-0.01850323,0.070446,0.06879533,0.05863293,0.05233496,0.0415583,0.0654064,0.08227707,0.07828778,0.09364411,0.06341012,0.1267224,0.1246644,0.1378644,0.1514328,0.1200999,0.2599278,0.2938059,0.1522321,0.1129942,0.2766485,0.0003749288,0.0001680153,9.532884e-05
Weight,16,1,phi.wait,NA,0,-0.04667162,-0.03480207,-0.01533663,-0.01027211,0,-0.0499453,-0.04931708,-0.03709254,-0.03265253,0,0.02484359,0.04051261,-0.06993603,-0.05355957,0,0.005319643,-0.1127037,-0.07477537,-0.03713122,0,0.006235242,0.005646824,0.002022852
Weight,16,1,phi.mac,NA,0,0.002241007,0.00554385,0.001732538,0.002086201,0,-0.00162482,0.001076879,0.001573148,0.001714417,0,-0.002472267,-0.003146084,0.001164344,0.001897996,0,-0.002383288,-0.00145004,0.001067016,0.001133621,0,-0.0001136487,-0.0001451474,-8.990401e-05
Weight,16,1,phi.macOps,NA,0,-0.002241007,-0.002771925,-0.0005775127,-0.0005215503,0,0.00162482,-0.0005384395,-0.0005243827,-0.0004286042,0,0.002472267,0.001573042,-0.0003881145,-0.000474499,0,0.002383288,0.0007250198,-0.0003556718,-0.0002834053,0,0.0001136487,7.257371e-05,2.9968e-05
Weight,16,1,phi.macfree,NA,-0.1168901,-0.06782996,-0.03262543,-0.06335575,-0.05930205,-0.08172557,-0.08895549,-0.07774296,-0.07379419,-0.08232966,-0.09542383,-0.09156316,-0.07274907,-0.1020231,-0.1189195,-0.136097,-0.1044048,-0.158022,-0.0737398,-0.03729066,-0.1732963,-0.01167318,-0.009085352,-0.006532078
Weight,16,1,phi.makespan,NA,-0.1168901,-0.06782996,-0.2323129,0.004502984,0.007370201,0,-0.009603866,-0.008497933,0.002462258,0.01248838,0,0.006002366,0.03359209,0.009385194,0.01920664,0,0.002471246,0.009350081,0.001950438,0.007588403,0,-8.178088e-05,-0.0001358293,-0.0007092656
Weight,16,1,phi.slotReduced,NA,0,-0.04667162,-0.05497385,-0.04003249,-0.03533843,0,0.001416837,-0.002381982,-0.003168749,-0.003960232,0,-0.004230055,-0.01401875,-0.002050865,-0.003825587,0,-0.007957825,-0.00187767,-0.002118873,-0.002658581,0,0,0,0
Weight,16,1,phi.slots,NA,0,0.04667162,0.05497385,0.04003249,0.03533843,0,0.01982261,0.04941719,0.05080305,0.06115725,0,0.005869381,0.05165375,0.06038748,0.07253358,0,0.005759165,0.07720459,0.04412386,0.03834143,0,-0.002987179,-0.00364265,-0.002818693
Weight,16,1,phi.slotsTotal,NA,0,0.04667162,0.05497385,0.04003249,0.03533843,0,-0.001416837,0.002381982,0.003168749,0.003960232,0,0.004230055,0.01401875,0.002050865,0.003825587,0,0.007957825,0.00187767,0.002118873,0.002658581,0,0,0,0
Weight,16,1,phi.wrmMac,NA,0,0.04007846,0.03869035,0.02211112,0.01146719,0,0.03058138,0.03467105,0.02362054,0.01664115,0,0.04418617,0.01352193,0.0003807991,0.01680531,0,0.07499089,-0.04544158,-0.006535048,0.004236148,0,-0.007855473,-0.005316955,-0.002844941
Weight,16,1,phi.wrmJob,NA,-0.01850323,0.02377437,0.01382147,0.01860045,0.01699653,0.0415583,0.04683489,0.03486624,0.02955674,0.03479283,0.06341012,0.1099317,0.09167722,0.07972772,0.08330721,0.1200999,0.2153706,0.2224098,0.1148743,0.08128069,0.2766485,0.003549558,0.0040938,0.003100704
Training.Accuracy,16,1,NA,83.43,77.55,75.42,75.6,75.42,75.42,65.96,79.57,79.54,79.25,79.37,70.25,86.17,85.09,85.29,85.03,75.96,91.44,92.58,92.41,90.94,84.06,100,100,100
Validation.Accuracy,16,1,NA,85,75.88,77.75,77.75,77.75,77.75,68.58,82.33,82.66,82.66,82.66,74.71,87.5,84.4,85.07,85.07,76.19,93.06,91.07,91.88,91.67,85.9,100,100,100
