Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.09978197,-0.11196,-0.07505463,-0.06547035,-0.05020865,-0.1405565,-0.1090981,-0.05256678,-0.1018867,-0.04384662,-0.1498437,-0.02917285,-0.01175025,-0.003208367,-0.02369681,-0.2201869,-0.02025681,-0.01392854,0.009713742,0.01828443,-0.2041413,-0.002099931,-0.001731599,-0.0009261453
Weight,16,1,phi.startTime,NA,0,0,0.02023423,0.02134812,0.01901279,0,0.0161196,0.009702532,0.03741753,0.02235513,0,-0.01332104,0.004925936,-0.005829515,0.0213302,0,-0.06952591,0.009208531,-0.02032592,0.01205727,0,-0.008782285,-0.008632904,-0.005660966
Weight,16,1,phi.endTime,NA,-0.09978197,-0.11196,-0.0548204,-0.04412223,-0.03119585,-0.1405565,-0.09297855,-0.04286425,-0.06446918,-0.02149149,-0.1498437,-0.04249389,-0.006824311,-0.009037881,-0.002366604,-0.2201869,-0.08978272,-0.004720004,-0.01061218,0.03034169,-0.2041413,-0.01088222,-0.0103645,-0.006587111
Weight,16,1,phi.jobOps,NA,0,0.003878022,0.002851272,0.002034735,0.001677055,0,-0.01296059,0.0003384871,0.003055983,0.002162686,0,-0.004400971,-0.0008843947,0.0007841479,0.001634399,0,0.007926983,-0.003582734,-7.339228e-05,0.0007343354,0,-0.0001039061,-0.0001724748,-9.574549e-05
Weight,16,1,phi.arrivalTime,NA,0,0.0537618,0.05002269,0.03626987,0.02825141,0,0.06770752,0.05645427,0.07459183,0.04324504,0,0.03008258,0.05054323,0.04508974,0.05242314,0,-0.01452531,0.05222573,0.05330567,0.03472871,0,-0.01509395,-0.01237516,-0.008044524
Weight,16,1,phi.totproc,NA,0.01205852,0.09277413,0.07072221,0.05962024,0.04844438,0.06526794,0.07733367,0.07119448,0.09041778,0.06700777,0.0868722,0.09732601,0.09239307,0.09366581,0.105431,0.1544491,0.1947635,0.1826534,0.1630832,0.1020752,0.2438335,0.0006272799,0.0004708471,0.0002165051
Weight,16,1,phi.wait,NA,0,-0.0537618,-0.02978846,-0.01492175,-0.009238617,0,-0.05158792,-0.04675174,-0.03717431,-0.02088991,0,-0.04340362,-0.0456173,-0.05091926,-0.03109293,0,-0.0550006,-0.0430172,-0.07363158,-0.02267144,0,0.006311661,0.003742255,0.002383559
Weight,16,1,phi.mac,NA,0,0.003878022,0.002851272,0.002034735,0.001677055,0,-0.01296059,0.0003384871,0.003055983,0.002162686,0,-0.004400971,-0.0008843947,0.0007841479,0.001634399,0,0.007926983,-0.003582734,-7.339228e-05,0.0007343354,0,-0.0001039061,-0.0001724748,-9.574549e-05
Weight,16,1,phi.macOps,NA,0,-0.003878022,-0.001425636,-0.000678245,-0.0004192636,0,0.01296059,-0.0001692436,-0.001018661,-0.0005406716,0,0.004400971,0.0004421973,-0.0002613826,-0.0004085998,0,-0.007926983,0.001791367,2.446409e-05,-0.0001835838,0,0.0001039061,8.623739e-05,3.191516e-05
Weight,16,1,phi.macfree,NA,-0.09978197,-0.11196,-0.0548204,-0.04412223,-0.03119585,-0.1405565,-0.09297855,-0.04286425,-0.06446918,-0.02149149,-0.1498437,-0.04249389,-0.006824311,-0.009037881,-0.002366604,-0.2201869,-0.08978272,-0.004720004,-0.01061218,0.03034169,-0.2041413,-0.01088222,-0.0103645,-0.006587111
Weight,16,1,phi.makespan,NA,-0.09978197,-0.11196,-0.09352516,0.01240943,0.01370403,0,0.05666764,0.02813424,0.04657949,0.01442188,0,0.01009065,0.05314098,0.004601456,0.007818159,0,0.01039928,0.03634939,-0.02142026,0.004099843,0,-4.56814e-06,-0.0001319846,-0.0007708704
Weight,16,1,phi.slotReduced,NA,0,-0.0537618,-0.05002269,-0.03626987,-0.02825141,0,0.0004328129,-0.005369019,-0.006426946,-0.003219053,0,-0.007540713,-0.0002327718,-0.004851049,-0.005403356,0,-0.04379778,-0.002981518,-0.005511881,-0.002326602,0,0,0,0
Weight,16,1,phi.slots,NA,0,0.0537618,0.05002269,0.03626987,0.02825141,0,0.04013121,0.0376333,0.05762473,0.03501558,0,0.02485607,0.02284718,0.02966637,0.03947442,0,0.04866703,0.08565676,0.04590193,0.02313059,0,-0.002846315,-0.003266286,-0.002840425
Weight,16,1,phi.slotsTotal,NA,0,0.0537618,0.05002269,0.03626987,0.02825141,0,-0.0004328129,0.005369019,0.006426946,0.003219053,0,0.007540713,0.0002327718,0.004851049,0.005403356,0,0.04379778,0.002981518,0.005511881,0.002326602,0,0,0,0
Weight,16,1,phi.wrmMac,NA,0,0.06634256,0.04767053,0.01540352,0.008161553,0,0.01696803,0.01451535,0.009409204,-0.002412899,0,-0.01492756,-0.06682325,-0.0374423,-0.006541432,0,0.1168281,-0.1535881,-0.05691424,-7.765388e-05,0,-0.007604347,-0.005732367,-0.002993958
Weight,16,1,phi.wrmJob,NA,0.01205852,0.03901233,0.02069952,0.02335037,0.02019297,0.06526794,0.05019017,0.04068631,0.03708033,0.03453986,0.0868722,0.07718565,0.06566695,0.07067904,0.07360945,0.1544491,0.1290955,0.09587533,0.1335786,0.0843881,0.2438335,0.003799177,0.00445309,0.003340137
Training.Accuracy,16,1,NA,85.05,71.27,71.62,72.65,72.87,72.87,63.79,81.05,80.99,81.45,81.45,74.39,88.77,89.31,88.89,89.21,83.45,96.03,96.6,96.07,96.12,92.25,100,100,100
Validation.Accuracy,16,1,NA,86,66.8,66.09,68.12,71.88,71.88,57.25,79.09,84.8,83.16,83.67,75.51,94.83,96.6,96.38,96.38,90.22,97.96,98.53,98.33,100,100,100,100
