Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.1839597,-0.1828989,-0.2035708,-0.2460162,-0.2706178,-0.2267382,-0.2053935,-0.208696,-0.2399522,-0.2521269,-0.202994,-0.1727732,-0.1785757,-0.1886685,-0.1688854,-0.1618823,-0.1328939,-0.2037889,-0.1234806,-0.17698,-0.1723617
Weight,16,1,phi.startTime,NA,0,0,0.04990343,0.06123623,0.06985644,0,0.002443694,0.04909897,0.06717289,0.07781666,0,0.002507222,0.02911947,0.04502008,0.04731073,0,0.0008415445,0.02941648,0.03078467,0.05115929,0
Weight,16,1,phi.endTime,NA,-0.1839597,-0.1828989,-0.1536674,-0.1847799,-0.2007614,-0.2267382,-0.2029498,-0.159597,-0.1727793,-0.1743102,-0.202994,-0.170266,-0.1494563,-0.1436484,-0.1215746,-0.1618823,-0.1320524,-0.1743724,-0.09269593,-0.1258207,-0.1723617
Weight,16,1,phi.jobOps,NA,0,0.008280946,0.01131149,0.01003022,0.01333779,0,0.003187941,0.006322107,0.007749622,0.009534457,0,0.001633455,0.003051785,0.003432286,0.003558262,0,0.0008380676,0.002619077,0.002100735,0.003531743,0
Weight,16,1,phi.arrivalTime,NA,0,0.08328911,0.09745132,0.09099182,0.09270827,0,0.08471361,0.1166773,0.1195061,0.1186507,0,0.06707875,0.08828734,0.09320148,0.08127373,0,0.0513332,0.09830469,0.07001232,0.09596215,0
Weight,16,1,phi.totproc,NA,0.06811634,0.1089734,0.1091602,0.1019022,0.1080601,0.06217706,0.07942442,0.08849586,0.09948885,0.1033727,0.05515591,0.06226606,0.07003846,0.07534159,0.0677604,0.04421059,0.04938233,0.08269628,0.05408727,0.07687212,0.05106338
Weight,16,1,phi.wait,NA,0,-0.08328911,-0.04754788,-0.02975559,-0.02285183,0,-0.08226991,-0.06757829,-0.05233319,-0.04083405,0,-0.06457153,-0.05916787,-0.04818141,-0.03396301,0,-0.05049165,-0.06888821,-0.03922765,-0.04480286,0
Weight,16,1,phi.mac,NA,0,0.008280946,0.01131149,0.01003022,0.01333779,0,0.003187941,0.006322107,0.007749622,0.009534457,0,0.001633455,0.003051785,0.003432286,0.003558262,0,0.0008380676,0.002619077,0.002100735,0.003531743,0
Weight,16,1,phi.macOps,NA,0,-0.008280946,-0.005655746,-0.003343408,-0.003334448,0,-0.003187941,-0.003161054,-0.002583207,-0.002383614,0,-0.001633455,-0.001525892,-0.001144095,-0.0008895655,0,-0.0008380676,-0.001309538,-0.0007002449,-0.0008829357,0
Weight,16,1,phi.macfree,NA,-0.1839597,-0.1828989,-0.1536674,-0.1847799,-0.2007614,-0.2267382,-0.2029498,-0.159597,-0.1727793,-0.1743102,-0.202994,-0.170266,-0.1494563,-0.1436484,-0.1215746,-0.1618823,-0.1320524,-0.1743724,-0.09269593,-0.1258207,-0.1723617
Weight,16,1,phi.makespan,NA,-0.1839597,-0.1828989,-0.1495413,-0.007639706,-0.01309899,0.002177205,-0.006369245,-0.016553,0.005914689,-0.0002964467,-0.01802942,0.01666564,0.01261546,0.01487692,0.01237202,0.003057407,-0.02397406,-0.06013606,-0.003010872,0.01124065,-0.001109519
Weight,16,1,phi.slotReduced,NA,0,-0.08328911,-0.09745132,-0.09099182,-0.09270827,0,-0.01297576,-0.01949101,-0.02754884,-0.0311145,0,-0.007630154,-0.01436346,-0.01697134,-0.0185742,0,-0.003592433,-0.01387295,-0.00963837,-0.01408725,0
Weight,16,1,phi.slots,NA,0,0.08328911,0.09745132,0.09099182,0.09270827,0,0.04881879,0.08534312,0.09723258,0.1019781,0,0.03024797,0.05637083,0.06656556,0.06248442,0,0.01817404,0.05373484,0.04527914,0.06902719,0
Weight,16,1,phi.slotsTotal,NA,0,0.08328911,0.09745132,0.09099182,0.09270827,0,0.01297576,0.01949101,0.02754884,0.0311145,0,0.007630154,0.01436346,0.01697134,0.0185742,0,0.003592433,0.01387295,0.00963837,0.01408725,0
Weight,16,1,phi.wrmMac,NA,0,0.07595181,0.05852261,0.02642638,0.01435427,0,0.05476868,0.04145856,0.03066825,0.02663557,0,0.03110524,0.02619436,0.0207561,0.01583154,0,0.01989153,0.02871455,0.01402253,0.01713604,0
Weight,16,1,phi.wrmJob,NA,0.06811634,0.02568425,0.01170888,0.0109104,0.0153518,0.06217706,0.03055384,0.006927176,0.006164122,0.004641175,0.05515591,0.03265177,0.01696952,0.01002848,0.006063236,0.04421059,0.03067812,0.02818399,0.009014462,0.009366283,0.05106338
Training.Accuracy,16,1,NA,85.17,82.96,87.74,87.5,87.59,87.62,81.52,87.62,87.44,87.4,87.67,79.86,86.73,86.59,86.73,86.59,76.15,86.88,87.02,86.44,86.73,73.75
Validation.Accuracy,16,1,NA,85,82.04,87.89,88.14,87.64,87.77,81.51,88.27,88.09,87.73,87.91,79.24,86.11,86.4,86.11,86.11,75,86.61,86.01,87.2,86.61,74.4
