Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.1369839,-0.1439022,-0.1721639,-0.2100633,-0.2079072,-0.189714,-0.1638531,-0.2018453,-0.2103164,-0.2145208,-0.1729393,-0.1564992,-0.1661495,-0.1683675,-0.1813348,-0.1633577,-0.1467522,-0.1182495,-0.118295,-0.1563786,-0.165856
Weight,16,1,phi.startTime,NA,0,0,0.04351071,0.05321571,0.05625049,0,0.002066211,0.05425717,0.05843176,0.06809408,0,0.001571971,0.02833871,0.04193843,0.05354654,0,0.0005666586,0.01830678,0.02994234,0.04176482,0
Weight,16,1,phi.endTime,NA,-0.1369839,-0.1439022,-0.1286532,-0.1568476,-0.1516567,-0.189714,-0.1617868,-0.1475882,-0.1518847,-0.1464267,-0.1729393,-0.1549273,-0.1378108,-0.1264291,-0.1277882,-0.1633577,-0.1461856,-0.09994277,-0.08835268,-0.1146138,-0.165856
Weight,16,1,phi.jobOps,NA,0,0.005546873,0.008619796,0.008323062,0.01028532,0,0.002542282,0.00718646,0.006207028,0.006844785,0,0.001287248,0.002707661,0.003431162,0.00347416,0,0.0007877373,0.001575932,0.001874412,0.002595412,0
Weight,16,1,phi.arrivalTime,NA,0,0.06098455,0.08484054,0.07931231,0.07502115,0,0.07226299,0.1200023,0.1035932,0.1052886,0,0.05792835,0.08767736,0.08712484,0.09202594,0,0.04998218,0.06512849,0.0685151,0.07857675,0
Weight,16,1,phi.totproc,NA,0.04967835,0.08201266,0.0925716,0.08620479,0.08289685,0.05129212,0.06425571,0.08353759,0.08627881,0.08911052,0.04626999,0.05475049,0.06714683,0.06838551,0.07454337,0.04483319,0.05242636,0.0491993,0.05113274,0.06566124,0.04944236
Weight,16,1,phi.wait,NA,0,-0.06098455,-0.04132982,-0.0260966,-0.01877065,0,-0.07019678,-0.06574514,-0.04516142,-0.03719453,0,-0.05635637,-0.05933865,-0.04518641,-0.0384794,0,-0.04941552,-0.04682171,-0.03857276,-0.03681193,0
Weight,16,1,phi.mac,NA,0,0.005546873,0.008619796,0.008323062,0.01028532,0,0.002542282,0.00718646,0.006207028,0.006844785,0,0.001287248,0.002707661,0.003431162,0.00347416,0,0.0007877373,0.001575932,0.001874412,0.002595412,0
Weight,16,1,phi.macOps,NA,0,-0.005546873,-0.004309898,-0.002774354,-0.00257133,0,-0.002542282,-0.00359323,-0.002069009,-0.001711196,0,-0.001287248,-0.00135383,-0.001143721,-0.0008685401,0,-0.0007877373,-0.0007879661,-0.000624804,-0.0006488531,0
Weight,16,1,phi.macfree,NA,-0.1369839,-0.1439022,-0.1286532,-0.1568476,-0.1516567,-0.189714,-0.1617868,-0.1475882,-0.1518847,-0.1464267,-0.1729393,-0.1549273,-0.1378108,-0.1264291,-0.1277882,-0.1633577,-0.1461856,-0.09994277,-0.08835268,-0.1146138,-0.165856
Weight,16,1,phi.makespan,NA,-0.1369839,-0.1439022,-0.1277006,0.01146236,-0.0002373318,0.00566241,-0.006574086,0.006795962,0.01840747,-0.0249696,0.02675988,-0.001883361,0.01817369,0.01344736,0.02059428,0.002764788,-0.02214706,-0.00498619,-0.002151414,0.01099943,-0.000860904
Weight,16,1,phi.slotReduced,NA,0,-0.06098455,-0.08484054,-0.07931231,-0.07502115,0,-0.0111244,-0.01790808,-0.02278755,-0.02487808,0,-0.006589393,-0.01431075,-0.01785588,-0.01873494,0,-0.003572766,-0.007107255,-0.008963905,-0.01164466,0
Weight,16,1,phi.slots,NA,0,0.06098455,0.08484054,0.07931231,0.07502115,0,0.04189303,0.08792462,0.08322144,0.08910002,0,0.02609917,0.05443446,0.06324771,0.07007248,0,0.01776832,0.03438328,0.04408662,0.05598756,0
Weight,16,1,phi.slotsTotal,NA,0,0.06098455,0.08484054,0.07931231,0.07502115,0,0.0111244,0.01790808,0.02278755,0.02487808,0,0.006589393,0.01431075,0.01785588,0.01873494,0,0.003572766,0.007107255,0.008963905,0.01164466,0
Weight,16,1,phi.wrmMac,NA,0,0.0621882,0.04935408,0.02701416,0.01225555,0,0.04481245,0.03767612,0.02679089,0.02184636,0,0.02563471,0.02626653,0.0193637,0.01693807,0,0.01956163,0.01792859,0.01377503,0.01387661,0
Weight,16,1,phi.wrmJob,NA,0.04967835,0.02102811,0.007731063,0.006892486,0.007875703,0.05129212,0.02276136,0.00324781,0.005176139,0.001135239,0.04626999,0.02940382,0.01327116,0.007023154,0.004608953,0.04483319,0.03391142,0.01379172,0.007343001,0.01079615,0.04944236
Training.Accuracy,16,1,NA,82.62,78.53,83.68,83.77,83.65,83.46,78.11,83.8,83.73,83.62,83.78,76.11,84.55,84.17,84.36,84.42,74.32,87.17,86.88,86.73,86.73,73.46
Validation.Accuracy,16,1,NA,84,78.41,84.3,84.11,84.01,84.3,78.22,86.16,86.02,86.16,86.16,79.59,85.62,86.14,85.88,85.36,76.71,86.61,87.2,87.2,87.2,74.4
