Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27
Weight,16,1,phi.proc,NA,-0.1387302,-0.1377909,-0.02936253,0.02006905,0.01901512,0.01093686,0.07318312,0.013339,0.02470083,0.1327634,0.0320788,0.05741222,0.01757976,-0.00278231,0.0298236,0.009099545,-0.005105332,-0.006767728,0.0518629,-0.007748876,-0.006221746,-0.006914561,-0.00447747,-0.007326889,0,-0.009306992,-0.0009741774,-0.008550567
Weight,16,1,phi.startTime,NA,0,0,0.01059615,-0.007647319,-0.0049086,-0.009258991,-0.06703497,-0.009106539,-0.001982023,-0.0916312,-0.02179301,-0.03174237,-0.02523857,-0.01911932,-0.02843602,-0.02663252,-0.01001133,0.007890431,-0.04902117,-0.005287401,0.002453623,-0.001533546,-0.01043527,-0.0001873341,0,-0.0006059235,-0.006749658,-0.008355821
Weight,16,1,phi.endTime,NA,-0.1387302,-0.1377909,-0.01876639,0.01242173,0.01410652,0.001677866,0.006148149,0.004232466,0.02271881,0.04113218,0.01028579,0.02566985,-0.007658816,-0.02190162,0.001387579,-0.01753298,-0.01511666,0.001122704,0.002841727,-0.01303628,-0.003768124,-0.008448108,-0.01491274,-0.007514223,0,-0.009912915,-0.007723835,-0.01690639
Weight,16,1,phi.jobOps,NA,0,-0.1033431,0.001445291,0.0004917245,0.0004331244,-0.0002292401,-0.01072809,0.0008751026,0.0004996218,0.0110207,0.0007960423,0.0008781293,-0.0005375916,0.00342115,0.00341685,0.0002186123,0.0003305547,7.498129e-05,1.863268e-05,2.927861e-05,-0.0003707253,-0.0002381682,-6.533505e-05,-0.0003374508,0,-0.0003292522,-6.95841e-05,-0.0005086405
Weight,16,1,phi.arrivalTime,NA,0,0.03835198,0.03106109,0.03078082,0.02727087,0.07514413,-0.08110506,0.04268225,0.02964749,-0.01475709,0.03542275,0.03024462,0.04519937,0.0050907,0.002440562,0.06954913,0.02229725,-0.01296032,0.06161855,-0.0003760211,0.002453623,-0.009485738,-0.002510271,0.00362033,0,0.003696293,-0.006749658,-0.008355821
Weight,16,1,phi.totproc,NA,-0.01491469,0.1396267,0.1367647,0.1354779,0.1281246,0.154031,0.4152146,0.1564034,0.126515,0.3468876,0.1729629,0.1284454,0.1439901,0.2106778,0.4864393,0.2381464,0.1589056,0.02140382,0.3393062,-0.0002414557,-0.001493548,-0.0001957031,-8.237502e-05,-0.0009470458,0,-0.000375254,-6.95841e-05,-0.0013214
Weight,16,1,phi.wait,NA,0,-0.03835198,-0.02046494,-0.03842814,-0.03217947,-0.08440312,0.01407009,-0.05178879,-0.03162952,-0.07687411,-0.05721577,-0.06198699,-0.07043794,-0.02421002,-0.03087658,-0.09618165,-0.03230858,0.02085075,-0.1106397,-0.00491138,0,0.007952192,-0.007924995,-0.003807664,0,-0.004302216,0,0
Weight,16,1,phi.mac,NA,0,-0.1033431,0.001445291,0.0004917245,0.0004331244,-0.0002292401,-0.01072809,0.0008751026,0.0004996218,0.0110207,0.0007960423,0.0008781293,-0.0005375916,0.00342115,0.00341685,0.0002186123,0.0003305547,7.498129e-05,1.863268e-05,2.927861e-05,-0.0003707253,-0.0002381682,-6.533505e-05,-0.0003374508,0,-0.0003292522,-6.95841e-05,-0.0005086405
Weight,16,1,phi.macOps,NA,0,0.1033431,-0.001494874,-0.0007201095,-0.0006065029,0.001303386,0.03228889,-0.0004178402,-0.0005532682,-0.008216431,-0.0004147273,-0.000523939,0.0001414332,-0.0002084085,0.0002336502,6.286644e-05,0.0001350546,0.0004249927,-0.0004513287,-5.957714e-05,0.0001853626,0.0002381682,-1.52786e-05,0.0003374508,0,0.000322781,3.479205e-05,0.0005086405
Weight,16,1,phi.macfree,NA,-0.1387302,-0.1377909,-0.01876639,0.01242173,0.01410652,0.002907779,0.006148149,0.009541021,0.02271881,0.07596705,0.04407124,0.05687458,0.004154929,-0.01810783,0.009416269,-0.007644962,-0.001698298,0.002273411,0.002841727,-0.00864466,-0.003642928,-0.01206459,-0.01035756,-0.002596314,0,-0.008798864,-0.005044847,-0.00844751
