Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25
Weight,16,1,phi.proc,NA,-0.007024368,-0.0091019,-0.01381545,-0.008891127,-0.0109167,-0.01396545,-0.01325846,-0.01190285,-0.01341203,-0.01136834,-0.02120209,-0.009930004,-0.007490485,-0.006377481,-0.006686537,-0.01381971,-0.005698312,-0.001060263,-0.009223465,-0.009012213,0.005874963,-0.0180521,-0.0001089142,-0.0001174284,0.0001475057
Weight,16,1,phi.startTime,NA,0,0.003661235,-0.008416884,0.005974446,0.003744385,0.004747701,0.006435445,0.004515543,0.00595404,0.002048967,0.00660297,0.003910885,0.002397081,0.002219902,0.001748109,0.004880827,0.001408196,-0.0002252564,0.002294887,0.003519788,-0.01904665,-0.01040405,-0.005882078,-0.004077834,-0.0036686
Weight,16,1,phi.endTime,NA,-0.007024368,-0.005440665,-0.02223234,-0.002916682,-0.007172318,-0.009217749,-0.006823018,-0.00738731,-0.007457985,-0.009319376,-0.01459912,-0.006019119,-0.005093403,-0.004157579,-0.004938428,-0.008938878,-0.004290116,-0.001285519,-0.006928579,-0.005492426,-0.01317169,-0.02845615,-0.005990993,-0.004195263,-0.003521095
Weight,16,1,phi.jobOps,NA,0,-0.001090477,0.002177508,-0.01285222,-6.205679e-06,0,-0.0007287713,-0.003484343,-0.007464581,0.002829502,0,0.003039672,0.0008749869,0.004421431,1.73669e-06,0,-0.0007559332,-0.0007938852,-6.29599e-05,0.0002574327,0,-0.007741681,-0.0001222,-9.746069e-05,-7.653097e-05
Weight,16,1,phi.arrivalTime,NA,0,-0.0006960654,-0.01039693,0.007599153,0.002560227,0,0.007690536,0.005060924,0.005535096,-0.0004143142,0,0.002431547,0.002307127,0.002008165,-0.0003531404,0,-0.001958831,0.0006229234,0.002197672,0.002275771,0,-0.008711606,-0.01271514,-0.009645925,-0.007171567
Weight,16,1,phi.totproc,NA,0.002291349,0.002673112,-0.002031684,0.007432794,0.00438965,0.003995426,-0.008698996,-0.005171398,-0.003060259,0.009291344,0.006336028,-0.001739324,-0.0009105915,0.00249978,0.004789056,0.005827371,0.01934071,-0.003155919,0.01698343,0.004538483,0.01519858,0.004731783,0.002565086,0.001244893,0.000812564
Weight,16,1,phi.wait,NA,0,0.0043573,0.001980051,-0.001624708,0.001184158,0.004747701,-0.001255091,-0.000545381,0.0004189438,0.002463281,0.00660297,0.001479338,8.995469e-05,0.0002117369,0.00210125,0.004880827,0.003367027,-0.0008481798,9.721447e-05,0.001244017,-0.01904665,-0.001692439,0.006833065,0.005568091,0.003502967
Weight,16,1,phi.mac,NA,-0.0132483,-0.01106312,-0.05455374,-0.02586974,-0.0003301394,1.825578e-05,-0.00618698,-0.01400986,0.01150357,-0.01015424,-0.03469211,-0.0242356,0.01219532,-0.008476101,2.19236e-05,-0.001680898,0.001465322,0.0700802,-0.0005517596,-3.945505e-06,0.002498408,-0.0005879542,-1.368575e-05,-1.393312e-06,6.85602e-06
Weight,16,1,phi.macOps,NA,0,-0.00241576,0.003125079,-0.001827535,-0.0003754116,0,0.0003533733,0.002004423,-0.00445041,-0.003015871,0,-0.007869333,-0.003292346,-0.006319141,-0.0002053568,0,-0.0004913634,-0.00747156,-0.0009532975,7.27278e-05,0,0.0001683137,1.565376e-05,1.266452e-05,1.525754e-05
Weight,16,1,phi.macfree,NA,-0.007024368,-0.005440665,0.008264018,-0.01527225,-0.01136151,-0.01077168,-0.007818915,-0.01078387,-0.008636967,-0.005132422,-0.008711549,-0.008720334,-0.0119696,-0.01287546,-0.005603829,-0.006412987,-0.006620775,-0.008540858,-0.003821483,-0.00657407,-0.005176212,0.009988835,-0.001204675,-0.001287749,-0.000978392
Weight,16,1,phi.makespan,NA,-0.007024368,-0.00751536,0.006564068,0.0003887442,0.004776268,-0.001826065,0.008058066,0.006071703,-0.004653283,-0.005400043,0.0172903,-0.001627346,0.01191349,0.005485007,-0.006835214,0.003973287,-0.006195176,-0.003247491,-0.003215576,0.001465309,0.0003541696,0.01453953,-0.000328948,-0.0004932352,-0.0005343942
Weight,16,1,phi.slotReduced,NA,0,0.0006960654,-0.00737719,0.006877269,0.002390678,0.002969559,0.002864101,0.0015778,0.0006792494,-0.001543058,0.005441748,0.001161138,-0.0005358251,-8.877521e-05,-0.000727714,0.00583645,0.002108902,-0.003032347,-0.002691799,-0.001114503,-0.007820423,-0.01824385,0.001603228,0.001190471,0.001745496
Weight,16,1,phi.slots,NA,0,-0.0006960654,0.007968476,0.01174187,0.008783788,0.008571603,0.007475903,0.01221714,0.009756124,0.006552816,0.006558197,0.008940339,0.0109641,0.009370924,0.007716167,0.01171556,0.01039172,0.01410705,0.001606931,0.006702003,0.01152255,-0.00234542,-0.0009738129,-0.001536729,-0.001687295
