Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.01996949,-0.05776641,-0.04303219,-0.07129904,-0.005288793,-0.06941048,-0.06181333,-0.03594869,-0.02853833,-0.02247511,-0.05174449,-0.03799752,0.007929234,-0.004751325,-0.02489518,-0.01517204,-0.0185179,-0.0337454,-0.0210048,0.01907983,0.001059153,0.02399921,0.06286014,-0.1495057,0.05831087,-0.03040551,0.1376991,0.006247938,0
Weight,16,1,phi.startTime,NA,0,0.05269857,0.02070092,0.0192904,0.000733307,0.0234725,0.0224482,0.01165284,0.00871274,0.006410847,0.01760053,0.01183733,-0.006918246,-0.001463876,0.007147058,0.002688365,0.002562668,0.01047328,0.004876656,-0.01101366,-0.005618099,-0.01225478,-0.02852679,0.05751192,-0.03860192,-0.001013881,-0.06962883,0.004634266,0
Weight,16,1,phi.endTime,NA,-0.01996949,-0.005067844,-0.02233127,-0.05200863,-0.004555486,-0.04593798,-0.03936514,-0.02429586,-0.01982559,-0.01606427,-0.03414395,-0.02616019,0.001010988,-0.0062152,-0.01774813,-0.01248367,-0.01595523,-0.02327212,-0.01612815,0.008066163,-0.004558946,0.01174443,0.03433335,-0.09199373,0.01970896,-0.03141939,0.06807031,0.0108822,0
Weight,16,1,phi.jobOps,NA,0,6.432631e-05,0.001736982,0.0009852799,0.0001047175,-0.0005246826,-0.002975631,0.001023856,-0.0004978575,0.0005168132,0.001076305,-0.0005133613,-0.0006188561,-0.0001805873,-0.001320397,4.513326e-06,2.401622e-05,0.000384744,0.001267594,0.0006977811,0.0007071213,0.0008077218,0.0013872,0.00142368,0.001454872,-0.002472696,-0.002874257,-0.002678059,0
Weight,16,1,phi.arrivalTime,NA,0,0.00901344,0.008591825,0.004815889,-0.0008900162,0.01122337,0.009962163,0.00421091,0.004082177,0.003738507,0.00884039,0.004405885,-0.003185035,-0.001544296,0.005082855,0.001077855,0.003108002,0.005585761,0.001745511,-0.007287996,-0.005369173,-0.00746185,-0.01107142,0.03167363,-0.02342599,-0.02174908,-0.02636081,-0.01245558,0
Weight,16,1,phi.totproc,NA,0.01577554,0.01546528,0.02465028,0.02564971,-0.003364193,0.008059951,0.01659395,0.02256515,0.02982402,0.02541175,0.02854198,0.02383055,0.004985855,0.02224505,0.02796154,0.04566874,0.03680191,0.01329862,0.02713092,0.0213202,0.01539353,0.01060516,-0.08003844,-0.07129272,0.05451458,-0.006712211,-0.1231541,-0.02287594,0
Weight,16,1,phi.wait,NA,0,0.04368513,0.01210909,0.01447451,0.001623323,0.01224912,0.01248603,0.007441926,0.004630564,0.00267234,0.008760143,0.007431442,-0.00373321,8.042039e-05,0.002064204,0.00161051,-0.0005453338,0.004887517,0.003131145,-0.003725666,-0.0002489258,-0.004792931,-0.01745537,0.0258383,-0.01517593,0.0207352,-0.04326802,0.01708984,0
Weight,16,1,phi.mac,NA,-0.07064927,-0.06138375,-0.09632512,0.02883081,0.01181391,0.0512248,0.04707955,0.03216326,-0.01017156,-0.03404367,-0.02462139,-0.01083002,-0.01634576,0.001601178,0.038067,0.06702411,0.006344207,0.02345103,0.02879046,0.01272357,0.01543785,-0.007073528,0.01989289,0.03019375,0.006738331,-0.009799732,0.002834973,-6.096146e-05,0
Weight,16,1,phi.macOps,NA,0,0.001827426,0.0005977561,0.00449555,0.0003552029,0.003085016,0.005503677,0.001706353,0.0006802012,0.003015946,0.001709358,0.001544321,0.0009282974,0.00079254,0.002347154,0.001687708,-0.0001653142,-0.0001945289,0.0008392111,0.0007716009,-0.0001251274,0.0006015378,-3.745354e-05,0.002036207,0.0007230453,0.001044486,0.0001096458,-6.096146e-05,0
Weight,16,1,phi.macfree,NA,-0.01996949,-0.005067844,-0.01280355,0.02309063,0.004452148,0.0161421,0.01024314,0.01643928,0.01393541,0.01114387,0.01668236,0.01344663,0.02387497,0.006253684,0.00856651,0.01575917,-0.00447458,0.01101943,0.02089765,0.01872322,0.03173907,0.003365633,-0.04257507,0.09482431,0.005551721,0.009579652,0.1403346,0.006592609,0
Weight,16,1,phi.makespan,NA,-0.01996949,-0.08949237,-0.001714932,0.007060635,-0.00659083,-0.001856703,-0.005281287,0.0002051077,-0.004978004,-0.009738796,-0.008612546,-0.01279605,-0.009468775,-0.007820526,-0.01679073,-0.006550078,-0.006681159,-0.008397629,-0.02238421,-0.03212702,0.008112218,0.01904573,0.0164776,0.04516241,0.094009,0.0978151,-0.4118329,0.007381285,0
Weight,16,1,phi.slotReduced,NA,0,-0.00901344,0.009044117,-0.003152375,0.002298874,-0.001553936,-0.0001567191,-0.0005167839,-0.0001296166,-0.0003475041,-0.0003483335,-0.0005193644,-0.0004841328,-0.001274736,-0.001083288,-0.002768433,-0.002371471,-0.002378188,-0.004187979,-0.006823383,-0.009804726,-0.001301881,-0.001375029,-0.003297351,-0.0213959,-0.01411809,0.02045785,0.0002649432,0
Weight,16,1,phi.slots,NA,0,0.00901344,0.01742088,-0.01877981,-0.001823545,-0.01263639,-0.006461037,-0.01163665,-0.009253164,-0.00547002,-0.01013559,-0.006043668,-0.02018295,0.00125565,-0.0009253136,-0.01456901,0.008033921,-0.01182197,-0.01575444,-0.01172962,-0.03350985,-0.004435013,0.03269603,-0.1181259,-0.04900606,0.009877162,0.002116921,0.002478322,0
Weight,16,1,phi.slotsTotal,NA,0,0.00901344,-0.009044117,0.003152375,-0.002298874,0.001553936,0.0001567191,0.0005167839,0.0001296166,0.0003475041,0.0003483335,0.0005193644,0.0004841328,0.001274736,0.001083288,0.002768433,0.002371471,0.002378188,0.004187979,0.006823383,0.009804726,0.001301881,0.001375029,0.003297351,0.0213959,0.01411809,-0.02045785,-0.0002649432,0
Weight,16,1,phi.wrmMac,NA,0.008891262,0.01727182,0.01124418,0.02266231,0.01792986,0.01995217,0.01918977,0.02383824,0.01746417,0.01128333,0.01785312,0.01404756,0.02418979,-0.0005622994,0.002064049,0.01626263,-0.006223466,0.00763247,0.01441296,0.01108233,0.02729289,-0.006635852,-0.05719518,-0.02994395,-0.04556879,-0.07237463,-0.01064183,0.003169996,0
Weight,16,1,phi.wrmJob,NA,0.01577554,0.006451836,0.0001362954,-0.003667725,-0.0004376829,0.003641015,0.00526222,0.008391562,0.008023395,0.006770264,0.006614229,0.004734715,0.003367856,0.00386537,0.009428605,0.006059133,0.01049812,0.004378603,0.007675685,0.005531164,0.004848181,0.009115097,0.01472319,0.02215766,0.04133284,0.08931806,0.2468523,0.1319204,0
Training.Accuracy,16,1,NA,76.23,54.56,60.91,61.36,65.92,66.94,68.37,69.19,70.51,72.13,69.92,73.22,71.97,72.68,71.89,74.58,75.64,77.18,75.19,75.95,75.37,79.49,80.11,84.17,88.54,98.78,100,100,100
Validation.Accuracy,16,1,NA,NA,50.1,55.86,59.88,63.78,58.41,59.76,67.74,65.75,66.58,67.42,67.72,70.34,71.02,70.98,78.11,77.59,78.8,83.12,85.12,68,80.52,70.69,92.5,73.91,100,100,66.67,100,NA
