Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.1111427,-0.07650756,-0.045305,-0.1042766,-0.1532164,-0.07332428,-0.0769786,-0.03663961,-0.08224679,-0.4381284,-0.3136309,-0.01084067,-0.006430948,0.1279149,-0.01493521,-0.007837237,-0.02490808,-0.02322274,-0.00948887,-0.009640661,-0.006425914,-0.02133308,-0.01085028,-0.007577744,-0.001212786,-0.001901579,-0.001414555,-0.003328834
Weight,16,1,phi.startTime,NA,0,0,0.01012281,0.09782607,0.080466,0.03008277,0.01415217,0.009421229,0.02716408,0.1728066,0.1467492,-0.02399032,-0.01471822,-0.04673821,-0.009720089,-0.007432481,-0.0005462629,0.01023171,-0.007325831,-0.005251338,-0.002733689,0.004134386,0.002949386,-0.004628993,-0.007063716,-0.00898814,-0.008382548,-0.001180649
Weight,16,1,phi.endTime,NA,-0.1111427,-0.07650756,-0.03518219,-0.00645048,-0.07275036,-0.04324151,-0.06282644,-0.02721838,-0.0550827,-0.2653218,-0.1668817,-0.03483099,-0.02114917,0.08117672,-0.0246553,-0.01526972,-0.02545435,-0.01299103,-0.0168147,-0.014892,-0.009159603,-0.0171987,-0.007900893,-0.01220674,-0.008276502,-0.01088972,-0.009797102,-0.004509482
Weight,16,1,phi.jobOps,NA,0,0.0005415588,0.0007461866,0.007926023,-0.01305271,-0.001225128,-0.005428171,0.0009038586,0.00680625,-0.02307352,0.003190126,-0.003481623,0.0006705363,0.01024504,0.0003147018,9.345303e-05,-0.0008764311,-0.0008122153,-3.291538e-05,-0.0001491296,-0.0003036164,-0.0002069262,-0.0001625756,-0.0002720271,-7.430835e-05,-5.518308e-05,-0.0001047818,-8.498723e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04889981,0.03388933,0.07343864,0.0103394,0.02629408,0.006231533,0.03335383,0.01314404,0.1402655,0.06658602,0.03589015,0.07925251,-0.02566215,0.01114667,0.01797746,0.01857047,0.007676786,0.01073206,0.01010109,0.002232212,0.006546613,0.003549116,0.003998864,-0.002369786,-0.007460493,-0.008382548,0.01215518
Weight,16,1,phi.totproc,NA,-0.01793298,0.08451979,0.09144054,0.2628703,0.2080574,0.3090346,0.3563655,0.3322093,0.5127074,0.5653236,0.4886612,0.4307268,0.2535418,0.5009859,0.04123988,0.01932305,0.009757719,0.02225467,0.009581521,-0.0001738988,-0.000212283,-0.003464054,-0.00170963,0.001708905,1.646689e-05,0.0001137303,-0.0005763001,8.498723e-05
Weight,16,1,phi.wait,NA,0,-0.04889981,-0.02376651,0.02438743,0.0701266,0.003788689,0.007920632,-0.0239326,0.01402004,0.03254105,0.08016321,-0.05988047,-0.09397073,-0.02107605,-0.02086676,-0.02540994,-0.01911673,0.002554926,-0.01805789,-0.01535243,-0.004965901,-0.002412226,-0.0005997306,-0.008627857,-0.00469393,-0.001527647,0,-0.01333583
Weight,16,1,phi.mac,NA,0,0.0005415588,0.0007461866,0.007926023,-0.01305271,-0.001225128,-0.005428171,0.0009038586,0.00680625,-0.02307352,0.003190126,-0.003481623,0.0006705363,0.01024504,0.0003147018,9.345303e-05,-0.0008764311,-0.0008122153,-3.291538e-05,-0.0001491296,-0.0003036164,-0.0002069262,-0.0001625756,-0.0002720271,-7.430835e-05,-5.518308e-05,-0.0001047818,-8.498723e-05
Weight,16,1,phi.macOps,NA,0,-0.0005415588,-0.0005877358,-0.002099353,0.01927555,0.01108314,0.01253401,-0.000428633,-0.0009486257,0.07190051,0.01078298,0.01109599,-0.0001660623,-0.00879983,0.0002749636,-0.0001503873,0.001200396,0.0005733839,0.0002866693,0.0001220766,0.000131767,2.901436e-06,-2.600853e-05,0.0002764573,3.715417e-05,5.518308e-05,5.239092e-05,8.498723e-05
Weight,16,1,phi.macfree,NA,-0.1111427,-0.07650756,-0.03518219,0.008709739,-0.01944798,-0.01136494,0.1017656,-0.02583,-0.04689117,0.1062115,-0.2196341,0.0001390146,0.0009984325,-0.05979305,-0.01596688,-0.01612389,-0.04073369,-0.02305434,-0.006722821,-0.01303064,-0.00996724,-0.03706627,-0.02622845,-0.009592578,-0.006727678,-0.006590715,-0.00623452,-0.01041072
Weight,16,1,phi.makespan,NA,-0.1111427,-0.07650756,-0.01982298,-0.2971105,-0.1554535,-0.01580878,-0.1679156,-0.1523951,0.0128069,-0.3684667,-0.122444,-0.09121649,-0.01401278,-0.2172734,-0.02433649,-0.005734152,0.008351689,-0.03985874,-0.0001699229,0.0001144424,-0.002716084,-0.01464892,-0.01053874,-0.001776815,-0.0004361229,-0.001704814,-0.003300628,0
Weight,16,1,phi.slotReduced,NA,0,-0.04889981,-0.03388933,0.04768052,0.02590501,0.006682521,0.004774845,0.01440113,0.004089325,0.007736845,0.102698,0.01138235,0.00330705,0.01838699,-1.106966e-05,-0.004138903,-0.002636452,-0.00997162,0.003880143,-0.00213769,-0.007996198,-0.001323831,-0.005737359,-0.003853714,-0.0002091907,0.002358035,0.00455801,-0.003328834
Weight,16,1,phi.slots,NA,0,0.04889981,0.03388933,0.02746294,0.09699164,-0.01605813,0.02807489,0.04030324,0.04867776,-0.01756755,0.3542533,0.05859495,0.0766687,0.1337312,0.04665396,0.01755429,0.03768246,0.04469993,0.01711625,0.01419585,0.006021124,0.03751521,0.01434696,0.01143764,-0.002748257,-0.001238448,-0.002357592,0.002041413
Weight,16,1,phi.slotsTotal,NA,0,0.04889981,0.03388933,-0.04768052,-0.02590501,-0.006682521,-0.004774845,-0.01440113,-0.004089325,-0.007736845,-0.102698,-0.01138235,-0.00330705,-0.01838699,1.106966e-05,0.004138903,0.002636452,0.00997162,-0.003880143,0.00213769,0.007996198,0.001323831,0.005737359,0.003853714,0.0002091907,-0.002358035,-0.00455801,0.003328834
Weight,16,1,phi.wrmMac,NA,0,0.02795518,0.02651788,0.01725489,0.01128818,-0.01972377,-0.05466395,-0.08072748,-0.08044828,-0.1047778,-0.1670389,-0.1268454,-0.1240823,-0.1060277,-0.05494173,-0.03326416,-0.07133486,-0.08332855,-0.03904143,-0.03595199,-0.02692543,-0.05101115,-0.02720408,-0.03218421,-0.003962938,-0.007442025,-0.004505619,-0.01028345
Weight,16,1,phi.wrmJob,NA,-0.01793298,0.03561998,0.05867205,-0.08156679,-0.0466873,-0.07581077,-0.1055934,-0.05988075,-0.08759084,-0.06830198,-0.14162,0.01118092,0.15237,-0.001459643,-0.007991131,0.008403953,-0.01380915,-0.02107399,-0.003228026,-0.004136976,0.01012434,-0.00878974,0.00351509,0.007040226,0.003797828,0.002268028,0.004610401,0.003625787
Training.Accuracy,16,1,NA,95.43,77.6,78.11,85.66,88.18,89.59,87.29,91.61,96.96,97.15,98.37,97.1,97.94,96.12,99.08,98.9,99.08,97.16,99.19,96.88,100,100,100,100,100,100,100,100,100
Validation.Accuracy,16,1,NA,92,75.67,76.23,81.74,86.61,90.16,84.91,82.5,93.63,93.21,93.08,82,89.34,94.68,94.44,100,100,100,100,77.78,100,100,100,100,100,100,100
