Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.01264218,-0.01208406,-0.006623085,-0.005553065,-0.02351367,-0.01387786,-0.02079679,-0.01571379,-0.01927801,-0.0205608,-0.01244342,-0.01799586,-0.01138709,-0.01379516,-0.01750301,-0.01032761,-0.01149873,-0.009172543,-0.00277454,-0.01437245,-0.008005251,-0.001741659,-0.0004349166,-0.0001956368
Weight,16,1,phi.startTime,NA,0,0,-0.008326045,-0.01188375,0.01482572,0,0.01251537,0.008080243,0.01086468,0.01250798,0,0.005925299,0.001805277,0.004859606,0.01049369,0,-0.002273012,0.001286941,-0.008692276,0.009483477,0,-0.004925514,-0.004282422,-0.003443253
Weight,16,1,phi.endTime,NA,-0.01264218,-0.01208406,-0.01494913,-0.01743681,-0.008687955,-0.01387786,-0.008281416,-0.007633546,-0.00841333,-0.008052823,-0.01244342,-0.01207056,-0.009581816,-0.008935559,-0.007009318,-0.01032761,-0.01377174,-0.007885601,-0.01146682,-0.004888974,-0.008005251,-0.006667173,-0.004717339,-0.003638889
Weight,16,1,phi.jobOps,NA,0,0.8235915,0.3825809,0.01752258,0.00107881,0,0.002784706,0.001790518,0.01209369,0.0004815754,0,0.001656017,0.001118379,0.002298465,0.0002771418,0,0.002828598,0.01088561,0.002013477,0.0002160188,0,-7.797469e-05,-7.202343e-05,-5.353388e-05
Weight,16,1,phi.arrivalTime,NA,0,-0.0003527371,0.005384201,0.0163234,0.01915883,0,0.02022226,0.01912763,0.03427019,0.01848706,0,0.007879044,0.01385621,0.01338094,0.01750656,0,0.003412238,0.01345241,0.0135806,0.0169881,0,-0.01460569,-0.01018524,-0.006845234
Weight,16,1,phi.totproc,NA,0.001526586,0.001397858,0.003016382,0.009188946,0.01072003,0.0009082302,0.01062404,0.009867927,0.02099126,0.009107352,0.001216307,0.01099158,0.009106451,0.01946461,0.009904219,0.004295332,0.02599018,0.004770922,0.01640636,0.01291741,0.008107038,0.00286699,0.001082147,0.0005984831
Weight,16,1,phi.wait,NA,0,0.0003527371,-0.01371025,-0.02820714,-0.00433311,0,-0.007706885,-0.01104738,-0.02340551,-0.005979079,0,-0.001953745,-0.01205094,-0.008521333,-0.007012866,0,-0.00568525,-0.01216547,-0.02227288,-0.00750462,0,0.009680174,0.00590282,0.003401982
Weight,16,1,phi.mac,NA,0,0.8235915,0.3825809,0.01752258,0.00107881,0,0.002784706,0.001790518,0.01209369,0.0004815754,0,0.001656017,0.001118379,0.002298465,0.0002771418,0,0.002828598,0.01088561,0.002013477,0.0002160188,0,-7.797469e-05,-7.202343e-05,-5.353388e-05
Weight,16,1,phi.macOps,NA,0,-0.8235915,-0.1912904,-0.005840859,-0.0002697026,0,-0.002784706,-0.0008952588,-0.00403123,-0.0001203939,0,-0.001656017,-0.0005591897,-0.000766155,-6.928544e-05,0,-0.002828598,-0.005442805,-0.0006711591,-5.40047e-05,0,7.797469e-05,3.601171e-05,1.784463e-05
Weight,16,1,phi.macfree,NA,-0.01264218,-0.01208406,-0.01494913,-0.01743681,-0.008687955,-0.01387786,-0.008281416,-0.007633546,-0.00841333,-0.008052823,-0.01244342,-0.01207056,-0.009581816,-0.008935559,-0.007009318,-0.01032761,-0.01377174,-0.007885601,-0.01146682,-0.004888974,-0.008005251,-0.006667173,-0.004717339,-0.003638889
Weight,16,1,phi.makespan,NA,-0.01264218,-0.01208406,-0.004584383,0.007131952,0.009733915,-0.02053826,-0.01470918,-0.0253299,-0.002906479,0.006933765,-1.745351e-05,-0.009011256,-0.00481173,-0.02549314,0.004359414,-5.876529e-05,-0.006047718,-0.02384009,-0.01411904,0.003157579,0,-1.063709e-05,-0.0001958081,-0.0009272006
Weight,16,1,phi.slotReduced,NA,0,0.0003527371,-0.005384201,-0.0163234,-0.01915883,0,0.008179315,0.007269555,0.007882398,-0.001729945,0,-0.001329842,0.008492925,0.009650411,-0.001672263,0,0.006592944,-0.00362457,0.01172603,-0.0009705593,0,0.0001897714,0.0003043056,0.0003897427
Weight,16,1,phi.slots,NA,0,-0.0003527371,0.005384201,0.0163234,0.01915883,0,-0.006463137,-0.00109532,-0.03487437,0.01408417,0,0.002878818,-0.005756578,0.003545148,0.01218845,0,0.006985073,-0.01071288,-0.0009340844,0.01017835,0,-0.004185417,-0.004573189,-0.003868051
Weight,16,1,phi.slotsTotal,NA,0,-0.0003527371,0.005384201,0.0163234,0.01915883,0,-0.008179315,-0.007269555,-0.007882398,0.001729945,0,0.001329842,-0.008492925,-0.009650411,0.001672263,0,-0.006592944,0.00362457,-0.01172603,0.0009705593,0,-0.0001897714,-0.0003043056,-0.0003897427
Weight,16,1,phi.wrmMac,NA,0,-0.0007153849,0.002287027,0.001097757,0.007370779,0,-0.000156621,0.0008061694,0.001986475,0.007578084,0,-0.0009958632,0.0006906316,0.003616433,0.003505218,0,-0.007389639,-0.003118932,-0.004813647,0.002431661,0,-0.006496336,-0.002457268,-0.001219128
