Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25
Weight,16,1,phi.proc,NA,-0.007040846,-0.007238668,-0.01308037,-0.007115229,-0.01227176,-0.01465226,-0.01494439,-0.01227444,-0.01244452,-0.01147348,-0.02286738,-0.01305195,-0.01144089,-0.007075634,-0.006484054,-0.01622572,-0.002072896,0.006573643,-0.009823871,-0.008475898,0.003219316,-0.01952423,-0.00013097,-8.980945e-05,0.0001782734
Weight,16,1,phi.startTime,NA,0,0.003521089,-0.009517476,0.001850026,0.004512286,0.005018068,0.007250268,0.004277603,0.003281585,0.00144158,0.007414455,0.00473038,0.003953549,0.002383769,0.0001126747,0.00556085,-0.001019632,-0.004063133,0.002797473,0.002892175,-0.02087042,-0.009718321,-0.00583771,-0.004140342,-0.003671164
Weight,16,1,phi.endTime,NA,-0.007040846,-0.003717579,-0.02259785,-0.005265203,-0.007759471,-0.009634196,-0.007694121,-0.007996841,-0.009162937,-0.0100319,-0.01545292,-0.008321567,-0.007487345,-0.004691864,-0.00637138,-0.01066487,-0.003092528,0.00251051,-0.007026398,-0.005583723,-0.0176511,-0.02924255,-0.00596868,-0.004230151,-0.00349289
Weight,16,1,phi.jobOps,NA,0,-0.0006708091,-0.003174557,0.005322871,-0.002673527,0,-0.003206149,-0.0002959995,-0.002831149,0.0005583564,0,0.00279394,-0.0007956663,0.0008931588,0.0005957615,0,-0.1962729,-0.0001561143,-9.774893e-05,2.992432e-05,0,-0.006487936,-0.0001260109,-9.630608e-05,-7.672461e-05
Weight,16,1,phi.arrivalTime,NA,0,-0.0006937502,-0.01488929,0.001803056,0.002587105,0,0.01041119,0.005478958,0.003250534,-0.0001019955,0,0.003434118,0.003929798,0.001645261,-0.003973296,0,-0.004345648,-0.0008322298,0.002609753,0.002366177,0,-0.008453621,-0.01286472,-0.00959012,-0.007201255
Weight,16,1,phi.totproc,NA,0.002748963,0.002418378,-0.003515888,0.004762212,0.004894309,0.00369421,-0.01409279,-0.003510641,0.001478479,0.01116002,0.007269033,0.001202787,-0.0001371813,0.002946875,0.01378594,0.005267743,0.02451433,-0.001538368,0.01271485,0.002920319,0.016487,0.004982669,0.00251947,0.001261635,0.0008174084
Weight,16,1,phi.wait,NA,0,0.004214839,0.005371817,4.697035e-05,0.001925181,0.005018068,-0.003160922,-0.001201355,3.10516e-05,0.001543575,0.007414455,0.001296262,2.375114e-05,0.0007385087,0.00408597,0.00556085,0.003326016,-0.003230903,0.0001877193,0.0005259981,-0.02087042,-0.0012647,0.007027009,0.005449778,0.003530091
Weight,16,1,phi.mac,NA,-0.01357504,-0.0092802,-0.0287506,-0.02677398,-0.02420263,-0.03191218,-0.02049364,-0.0137708,0.009464591,-0.00215212,-0.001987373,-0.09043615,0.0124199,-0.0006663549,-0.0001342728,-0.03719867,0.1059157,0.003916884,0.0003024235,0.0002602913,0.003047086,-0.0005723226,-1.190127e-05,-1.280696e-07,9.28922e-06
Weight,16,1,phi.macOps,NA,0,-0.001443712,-0.001771864,-0.005874087,-0.002058529,0,-0.001020998,0.0006575095,-0.002912159,-0.0006264772,0,-0.03520475,-0.006018364,-0.001273308,-0.001517211,0,-0.05068334,-0.0002712488,-0.0003354827,0.0002001709,0,0.0001677635,1.589613e-05,1.292572e-05,1.5432e-05
Weight,16,1,phi.macfree,NA,-0.007040846,-0.003717579,0.00681097,-0.01271722,-0.0114599,-0.01258264,-0.01005625,-0.00854821,-0.003880134,-0.005138223,-0.01017061,-0.00710185,-0.01013956,-0.01208855,-0.002419616,-0.005476591,-0.007078594,-0.01119819,-0.004236607,-0.004684643,-0.008704071,0.009617441,-0.001179351,-0.001305368,-0.0009563584
