Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25
Weight,16,1,phi.proc,NA,-0.01867894,-0.01264647,-0.08041583,-0.07220825,-0.04598305,-0.02199313,-0.02110902,-0.03752887,-0.03429814,-0.03655163,-0.06473611,-0.02620826,-0.008949101,-0.01952238,-0.006612378,-0.008068988,-0.1178753,-0.03871256,-0.01615687,-0.005851566,0.1820686,-0.005000902,-1.101438e-07,-5.331676e-06,3.269325e-05
Weight,16,1,phi.startTime,NA,0,0.01429033,-0.04009467,0.03472346,0.01588991,0.006390928,0.006480593,0.01447493,0.0115578,0.0130269,0.01989827,0.01098775,0.002637062,0.006144079,0.002103075,0.002446456,0.04801616,0.01480613,0.00487234,-0.0001699176,-0.1326512,-0.03072572,-0.0053194,-0.00496097,-0.003839659
Weight,16,1,phi.endTime,NA,-0.01867894,0.001643862,-0.1205105,-0.0374848,-0.03009313,-0.0156022,-0.01462843,-0.02305394,-0.02274034,-0.02352473,-0.04483784,-0.01522051,-0.006312039,-0.0133783,-0.004509303,-0.005622531,-0.06985912,-0.02390643,-0.01128453,-0.006021484,0.04941741,-0.03572662,-0.00531951,-0.004966302,-0.003806966
Weight,16,1,phi.jobOps,NA,0,-0.006023245,-0.02396869,-0.0002840688,0.0003363186,0,-0.00944649,0.0005001418,0.0007234633,0.00049683,0,-0.001605772,0.002252574,-0.0003546568,5.161806e-05,0,-0.002064062,-0.0004511988,-0.0002482179,8.562553e-05,0,0.000237779,-0.0002692836,-8.685042e-05,-7.314465e-05
Weight,16,1,phi.arrivalTime,NA,0,0.00366192,-0.06515912,0.02472152,0.00795016,0,0.006396108,0.00818942,0.004850942,0.008139163,0,0.008365287,0.00175387,0.004115522,0.003687625,0,0.0275986,0.009845961,0.000898346,-0.000571126,0,-0.03311929,-0.01671624,-0.0097821,-0.007557512
Weight,16,1,phi.totproc,NA,0.01387868,0.01305864,-0.02224532,0.02505621,0.01730184,0.01731645,0.01041125,0.01874627,0.02959355,0.02934688,0.024581,0.003494107,0.04338032,-0.004858731,0.01166977,0.01765525,0.0682129,0.04969327,0.04131058,0.008490295,0.04693852,0.01587244,0.0003880036,0.0001326949,7.643792e-05
Weight,16,1,phi.wait,NA,0,0.01062841,0.02506445,0.01000193,0.007939754,0.006390928,8.448478e-05,0.006285507,0.006706858,0.004887736,0.01989827,0.002622463,0.0008831918,0.002028556,-0.00158455,0.002446456,0.02041756,0.004960168,0.003973994,0.0004012084,-0.1326512,0.002393574,0.01139684,0.00482113,0.003717854
Weight,16,1,phi.mac,NA,-0.0687983,-0.05638846,-0.08134871,-0.05902727,-0.0149229,-0.03384929,-0.007560583,-0.01238644,-0.009132942,-0.01177902,-0.06771233,-0.01301538,-0.001764443,-0.004250908,-0.0008350899,-0.1554365,-0.2608749,0.003422051,0.07025493,0.002699241,0.002172116,-3.974322e-05,6.380516e-05,2.366244e-05,-5.265544e-07
Weight,16,1,phi.macOps,NA,0,0.002191934,-0.0001194932,0.0009370075,0.0005182476,0,0.006931214,0.000640113,0.0008212713,0.0002993435,0,-0.0002585162,-0.0006769704,-0.0002248921,-0.0001360817,0,-0.005718892,0.001086192,-0.001546159,0.0002187095,0,3.461311e-05,9.910997e-06,1.656276e-05,1.655349e-05
Weight,16,1,phi.macfree,NA,-0.01867894,0.001643862,0.1321456,0.0001727109,-0.0004462971,-0.0294408,0.002385356,-0.00340751,-0.008583222,0.001350014,0.009726976,-0.003047955,-0.0351247,-0.02192608,-0.01242697,-0.03749796,0.02015858,-0.002224208,-0.01800365,-0.0008871626,0.2569263,-0.0133406,0.00263632,-0.001211062,-0.001385278
Weight,16,1,phi.makespan,NA,-0.01867894,-0.03838247,-0.004123619,-0.008614572,-0.006544702,0,0.1065224,0.01039247,0.006482413,-0.0003062847,0.1320939,-0.0119237,-0.01305319,9.209991e-05,-0.01531175,0.01288904,-0.02756422,-0.0179346,0.003643037,-0.01606891,-1.088322,5.80517e-05,5.173092e-05,-0.0004262818,-0.0005048561
Weight,16,1,phi.slotReduced,NA,0,-0.00366192,-0.06472272,0.009479785,-0.001477137,0.001518481,-0.002944899,0.002948797,-0.00125338,-0.002624097,-0.003617206,0.003779789,0.0004071159,-0.001624581,-0.0004665825,0.007601339,0.01107799,0.003496398,0.0008610242,-0.003290129,-0.1416184,0.0167109,0.0004133071,0.001363987,0.001352559
Weight,16,1,phi.slots,NA,0,0.00366192,-6.501024e-06,-0.008029465,0.007689634,0.03345914,0.001366754,0.005429204,0.0120456,-0.0005480153,-0.006774668,0.003430079,0.03614743,0.02494773,0.0139495,0.04186721,-0.01784053,0.00503185,0.01976629,0.004102479,0.06678759,-0.0124765,0.00199221,-0.001986808,-0.002265734
Weight,16,1,phi.slotsTotal,NA,0,0.00366192,0.06472272,-0.009479785,0.001477137,-0.001518481,0.002944899,-0.002948797,0.00125338,0.002624097,0.003617206,-0.003779789,-0.0004071159,0.001624581,0.0004665825,-0.007601339,-0.01107799,-0.003496398,-0.0008610242,0.003290129,0.1416184,-0.0167109,-0.0004133071,-0.001363987,-0.001352559
Weight,16,1,phi.wrmMac,NA,0.0142849,0.001548892,0.01118235,0.02649261,0.008589772,0.009674015,-0.003734485,0.004891602,-0.003036544,-0.001203517,0.033981,0.003213784,-0.02477304,-0.01277226,-0.01315336,-0.01009359,0.01805728,0.003641106,-0.01018492,-0.01374601,-0.02025744,-0.002659875,-0.0005359768,-0.0008653985,-0.0008385889
Weight,16,1,phi.wrmJob,NA,0.01387868,0.009396719,0.0429138,0.0003346834,0.009351677,0.01731645,0.01034946,0.0079198,0.003862829,0.007248067,0.024581,0.02068578,0.00650789,0.01070345,0.009501915,0.01765525,0.02514965,0.01631793,0.001149751,0.001568269,0.04693852,-0.006802412,0.01393416,0.004511185,0.003825062
Training.Accuracy,16,1,NA,73.28,55.55,60.47,64.2,64.87,66.43,59.72,62.02,66.03,66.48,68.51,59.84,67.88,70.41,70.63,78.86,63.33,75,82.31,79.7,85.07,68.75,96,100,100,100
Validation.Accuracy,16,1,NA,73,50.34,59.54,63.57,62,65.37,59.85,65.07,62.87,70,68.31,56.94,62.32,66.67,68.15,78.84,67.74,76.32,89.29,86,93.75,80,90.91,90.91,100,100
