Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.1085704,-0.07363106,-0.08071614,-0.1086456,-0.07778036,-0.08944664,-0.1321465,-0.1228675,-0.1130789,-0.9692912,-0.2657373,-0.03221542,0.03895418,0.02732666,-0.01527494,-0.007570297,-0.02479145,-0.02785063,-0.009317717,-0.009564401,-0.006408733,-0.02144734,-0.01074383,-0.007468721,-0.001190981,-0.00187033,-0.001414555,-0.003318394
Weight,16,1,phi.startTime,NA,0,0,0.01164037,0.09657147,0.041047,0.0378921,0.02659559,0.06270052,0.05362485,0.3306874,0.1174812,-0.01295382,-0.03356563,-0.008881631,-0.008751325,-0.007964528,0.0001296285,0.01380106,-0.007740898,-0.005117533,-0.002985369,0.00397579,0.002708871,-0.004717048,-0.007027943,-0.008943517,-0.008382548,-0.00129315
Weight,16,1,phi.endTime,NA,-0.1085704,-0.07363106,-0.06907577,-0.01207414,-0.03673336,-0.05155454,-0.1055509,-0.06016698,-0.05945402,-0.6386037,-0.1482562,-0.04516924,0.005388554,0.01844503,-0.02402626,-0.01553482,-0.02466182,-0.01404958,-0.01705861,-0.01468193,-0.009394102,-0.01747155,-0.008034955,-0.01218577,-0.008218924,-0.01081385,-0.009797102,-0.004611544
Weight,16,1,phi.jobOps,NA,0,0.0004112782,0.001038595,0.005544237,-0.0001920917,-0.0007614551,-0.01186007,-0.02625696,0.007560165,-0.09256483,0.003481523,-0.00982297,0.0002996977,0.00574441,0.0003858219,9.160535e-05,-0.001238478,-0.001781966,-3.180546e-05,-0.0001504211,-0.0003003223,-0.0001810306,-0.0001590253,-0.0002668347,-7.293792e-05,-5.449515e-05,-0.0001047818,-8.495148e-05
Weight,16,1,phi.arrivalTime,NA,0,0.03863589,0.04425555,0.07303096,0.01212444,0.02334978,0.005062518,0.05982991,0.02700597,0.2475449,0.05727732,0.04940875,0.05385813,-0.005743435,0.01211795,0.01783904,0.01871452,0.009594684,0.01112159,0.009596005,0.002139642,0.006286372,0.003930956,0.003709717,-0.002404613,-0.007413361,-0.008382548,0.01204159
Weight,16,1,phi.totproc,NA,-0.03324264,0.06790124,0.09595245,0.2460957,0.1827491,0.2366802,0.4037333,0.4137373,0.5477103,0.8233898,0.4224181,0.5283433,0.2063649,0.305175,0.04921288,0.01951795,0.01590302,0.04581329,0.009555006,-7.371365e-05,-0.0002152587,-0.003815234,-0.001769286,0.00158506,1.084613e-05,0.000113327,-0.0005763001,8.495148e-05
Weight,16,1,phi.wait,NA,0,-0.03863589,-0.03261517,0.02354051,0.02892255,0.01454233,0.02153307,0.002870612,0.02661888,0.08314257,0.06020384,-0.06236258,-0.08742376,-0.003138196,-0.02086927,-0.02580356,-0.01858489,0.004206372,-0.01886249,-0.01471354,-0.005125011,-0.002310583,-0.001222085,-0.008426765,-0.00462333,-0.001530156,0,-0.01333474
Weight,16,1,phi.mac,NA,0,0.0004112782,0.001038595,0.005544237,-0.0001920917,-0.0007614551,-0.01186007,-0.02625696,0.007560165,-0.09256483,0.003481523,-0.00982297,0.0002996977,0.00574441,0.0003858219,9.160535e-05,-0.001238478,-0.001781966,-3.180546e-05,-0.0001504211,-0.0003003223,-0.0001810306,-0.0001590253,-0.0002668347,-7.293792e-05,-5.449515e-05,-0.0001047818,-8.495148e-05
Weight,16,1,phi.macOps,NA,0,-0.0004112782,-0.000839294,0.0002271586,0.004397992,0.008054691,0.02019812,0.02586749,-0.000934967,0.2316836,0.006900999,0.02231085,-0.000125219,-0.0036931,0.0003187126,-0.0001249379,0.00154495,0.001522853,0.000279154,0.0001191095,0.0001256822,-2.137639e-05,-2.937336e-05,0.0002696651,3.646896e-05,5.449515e-05,5.239092e-05,8.495148e-05
Weight,16,1,phi.macfree,NA,-0.1085704,-0.07363106,-0.06907577,-0.001853489,-0.005236192,-0.01582229,0.1412192,-0.05829844,-0.07000007,0.3804704,-0.2072725,0.02927058,0.02708868,-0.03030106,-0.01973256,-0.01565079,-0.03970607,-0.01376556,-0.007071397,-0.01260347,-0.009796474,-0.03701842,-0.0263503,-0.009113408,-0.006650499,-0.006484892,-0.00623452,-0.01051369
Weight,16,1,phi.makespan,NA,-0.1085704,-0.07363106,-0.03475808,-0.251329,-0.1213156,-0.0006152403,-0.2138949,-0.1325769,-0.008974496,-0.4993405,-0.07258149,-0.1257118,-0.01903143,-0.1250973,-0.03082047,-0.003892694,0.007722595,-0.07752775,-0.000588867,-4.576202e-05,-0.002868516,-0.01480745,-0.01071531,-0.00191522,-0.0004339372,-0.001713511,-0.003300628,0
Weight,16,1,phi.slotReduced,NA,0,-0.03863589,-0.04425555,0.04907958,0.01324699,0.008919397,0.008441899,0.01302827,0.003684742,-0.02535964,0.08324856,0.008286951,-0.008167834,0.01050958,-0.001288155,-0.004248263,-0.003113411,-0.01359123,0.003963944,-0.001872133,-0.007984069,-0.001712889,-0.005649979,-0.003766897,-0.0001749706,0.002409602,0.00455801,-0.003318394
Weight,16,1,phi.slots,NA,0,0.03863589,0.04425555,0.02168551,0.05056656,-0.01229783,0.04325873,0.007461444,0.04565138,-0.1402188,0.2888139,0.008261114,0.05965873,0.07678549,0.05159318,0.01758495,0.04098332,0.05276143,0.01649368,0.01479106,0.006540466,0.03722801,0.01376844,0.01130243,-0.002739414,-0.001234992,-0.002357592,0.001851848
Weight,16,1,phi.slotsTotal,NA,0,0.03863589,0.04425555,-0.04907958,-0.01324699,-0.008919397,-0.008441899,-0.01302827,-0.003684742,0.02535964,-0.08324856,-0.008286951,0.008167834,-0.01050958,0.001288155,0.004248263,0.003113411,0.01359123,-0.003963944,0.001872133,0.007984069,0.001712889,0.005649979,0.003766897,0.0001749706,-0.002409602,-0.00455801,0.003318394
Weight,16,1,phi.wrmMac,NA,0,0.02903172,0.03763521,0.02338275,-0.01201178,-0.006726845,-0.05258718,-0.08682244,-0.1123345,-0.06217665,-0.1302752,-0.1483005,-0.1294831,-0.05611607,-0.05697844,-0.0334128,-0.07553982,-0.1159827,-0.03857956,-0.03539965,-0.02654506,-0.05144823,-0.02703029,-0.03196538,-0.003884991,-0.007340039,-0.004505619,-0.01027913
Weight,16,1,phi.wrmJob,NA,-0.03324264,0.02926534,0.05297685,-0.07521615,-0.04518931,-0.07402453,-0.1301423,-0.1203905,-0.1441209,-0.08191405,-0.09865532,-0.02353693,0.1206476,0.002544193,-0.006511268,0.007412608,-0.01131389,-0.02959549,-0.003205653,-0.00407596,0.009897348,-0.009667947,0.003621187,0.007173656,0.003718437,0.002251166,0.004610401,0.003642342
