Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.01666706,-0.05875459,-0.02485386,-0.07547749,-0.03940981,-0.07070925,-0.05525933,-0.03122609,-0.01324861,-0.05648799,-0.07025523,-0.03785569,-0.009937482,-0.02088148,-0.03907606,-0.01879009,-0.06224046,-0.0501509,-0.02480013,0.03187175,0.01403434,0.00703761,0.02687783,-0.1106425,0.02670895,-0.02882886,0.1349389,0.006209555,0
Weight,16,1,phi.startTime,NA,0,0.0394683,0.006337724,0.02345049,0.01470026,0.02416404,0.01963041,0.00990654,0.002352205,0.02029063,0.02531125,0.01152051,0.0001217212,0.004872285,0.01308052,0.003825621,0.02022187,0.01684535,0.006578601,-0.01595456,-0.0107695,-0.005301111,-0.01477748,0.04185981,-0.02452216,-0.0002472177,-0.07011744,0.00468189,0
Weight,16,1,phi.endTime,NA,-0.01666706,-0.01928629,-0.01851613,-0.052027,-0.02470955,-0.04654521,-0.03562892,-0.02131955,-0.01089641,-0.03619736,-0.04494398,-0.02633518,-0.009815761,-0.01600919,-0.02599553,-0.01496447,-0.04201859,-0.03330555,-0.01822152,0.01591719,0.003264834,0.001736499,0.01210035,-0.06878274,0.002186791,-0.02907608,0.06482142,0.01089144,0
Weight,16,1,phi.jobOps,NA,0,-6.614493e-06,0.001485434,0.001859161,0.001619008,-0.00104679,-0.001266956,0.000176503,-0.0003620599,0.001610347,0.001072364,4.977113e-05,-0.002180352,-0.0006536842,-0.0012742,0.0004375766,0.0004127688,0.0008401272,0.001638891,0.001735372,0.001318046,0.0001433834,0.0001018194,0.0006506824,0.0002790542,-0.002391829,-0.002909831,-0.002678093,0
Weight,16,1,phi.arrivalTime,NA,0,0.006729962,-0.001489927,0.007154866,0.004695813,0.01288823,0.01018662,0.00378794,0.0005549396,0.01057242,0.0124756,0.003504011,0.000279973,0.002833823,0.007995513,0.001251645,0.01127988,0.00898233,0.001658176,-0.01038686,-0.007545362,-0.002470591,-0.004299327,0.02379008,-0.01665552,-0.02238002,-0.02661909,-0.01249682,0
Weight,16,1,phi.totproc,NA,0.01224145,0.01414679,0.0198766,0.03710134,0.009798373,0.01315715,0.02275738,0.02037154,0.02471088,0.03729242,0.02805889,0.02463516,0.01208479,0.02722777,0.02116432,0.03556712,0.05424613,0.02044522,0.03254707,0.02839782,0.004892754,0.01644632,-0.07394106,-0.04888261,0.02770463,-0.006937979,-0.1227854,-0.02275703,0
Weight,16,1,phi.wait,NA,0,0.03273834,0.007827651,0.01629563,0.01000444,0.0112758,0.009443789,0.006118601,0.001797265,0.009718214,0.01283565,0.008016498,-0.0001582518,0.002038461,0.005085011,0.002573976,0.008941989,0.007863017,0.004920425,-0.005567694,-0.003224142,-0.00283052,-0.01047816,0.01806973,-0.007866635,0.02213281,-0.04349835,0.01717871,0
Weight,16,1,phi.mac,NA,-0.07959655,-0.03571359,-0.06496281,0.02489337,0.05227003,0.02458183,0.0003237323,0.02366658,-0.006580791,-0.09081584,-0.07413996,-0.01411525,-0.03978723,-0.01298626,0.08009227,0.07384695,0.0004451327,0.03806884,0.03138622,0.03776012,0.01498285,-0.00126247,0.02195407,-0.01063722,0.001369858,-0.009151606,0.002805108,-6.016699e-05,0
Weight,16,1,phi.macOps,NA,0,0.0007479901,0.0002989011,0.003162404,0.001914655,0.002029292,0.00351827,0.00241201,0.0005919789,0.005477026,0.002018516,0.001304253,0.003421545,0.002314597,0.005364807,0.001904824,-0.002351728,0.0004069286,0.001086019,0.001864268,-0.000188168,0.0004105811,0.0005792937,0.001633242,0.0005776163,0.001020707,0.0001169341,-6.016699e-05,0
Weight,16,1,phi.macfree,NA,-0.01666706,-0.01928629,-0.00758132,0.005605027,0.01041583,0.008651543,0.011037,0.0178485,0.01136698,0.02642871,0.02934349,0.01535104,0.03059661,0.01533649,0.01671012,0.01666728,0.01429897,0.01835185,0.01573228,0.01016411,0.03124673,-0.0005640362,-0.01788069,0.07774005,0.009045769,0.01025162,0.1371141,0.006579521,0
