Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.07965036,-0.06739731,-0.04607156,-0.06555557,-0.1252233,-0.08657707,-0.06117408,-0.04226358,-0.1400174,-0.07986521,-0.3166882,0.003414913,0.008779971,0.04889177,-0.01766252,-0.007360372,-0.0241721,-0.02899725,-0.009569999,-0.009564215,-0.006355089,-0.02105677,-0.01080385,-0.007577702,-0.001219708,-0.001866756,-0.001414555,-0.003321168
Weight,16,1,phi.startTime,NA,0,0,0.01674183,0.07002279,0.06218566,0.037799,-0.001972065,0.01238987,0.06531125,0.02692275,0.1451392,-0.0145377,-0.02234812,-0.01764406,-0.007738947,-0.008114283,-0.002418752,0.01322755,-0.007072068,-0.005277324,-0.003004781,0.003991657,0.002835843,-0.00472434,-0.007084094,-0.008933759,-0.008382548,-0.001264577
Weight,16,1,phi.endTime,NA,-0.07965036,-0.06739731,-0.02932972,0.004467215,-0.06303762,-0.04877807,-0.06314615,-0.0298737,-0.07470616,-0.05294246,-0.171549,-0.01112279,-0.01356815,0.03124772,-0.02540147,-0.01547466,-0.02659085,-0.0157697,-0.01664207,-0.01484154,-0.00935987,-0.01706512,-0.007968009,-0.01230204,-0.008303802,-0.01080052,-0.009797102,-0.004585745
Weight,16,1,phi.jobOps,NA,0,0.0008937942,0.0007819493,0.004143368,-0.002605925,-0.001703815,-0.008474911,-0.007465476,0.009353076,-0.002562951,0.003417781,-0.005025148,0.0003950402,0.006878166,0.001314613,9.897093e-05,-0.0007428076,-0.002077019,-4.869951e-05,-0.0001522016,-0.0003013049,-0.0001972964,-0.0001598643,-0.0002696878,-7.467261e-05,-5.454587e-05,-0.0001047818,-8.49636e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04292728,0.03219231,0.06729317,0.01269452,0.02517987,-0.007019138,0.03846971,0.03227281,0.03334072,0.07001715,0.04186261,0.06846352,-0.01068612,0.01268545,0.01796164,0.01781377,0.009827916,0.01076059,0.009965984,0.002002009,0.00641513,0.003710968,0.003726998,-0.002416504,-0.007442577,-0.008382548,0.01207091
Weight,16,1,phi.totproc,NA,0.004650906,0.09210423,0.09389218,0.2961009,0.2280323,0.2615897,0.3410984,0.3972914,0.5842364,0.2805565,0.4689116,0.4228976,0.2251691,0.3781622,0.1894684,0.01990269,0.01953689,0.04611626,0.009596307,-0.0001043547,-0.000213162,-0.003276218,-0.001622381,0.001709322,1.590341e-05,0.0001128746,-0.0005763001,8.49636e-05
Weight,16,1,phi.wait,NA,0,-0.04292728,-0.01545048,0.002729615,0.04949114,0.01261913,0.005047073,-0.02607984,0.03303844,-0.006417966,0.07512206,-0.05640031,-0.09081164,-0.006957934,-0.0204244,-0.02607592,-0.02023252,0.003399636,-0.01783266,-0.01524331,-0.005006791,-0.002423473,-0.000875125,-0.008451338,-0.00466759,-0.001491182,0,-0.01333549
Weight,16,1,phi.mac,NA,0,0.0008937942,0.0007819493,0.004143368,-0.002605925,-0.001703815,-0.008474911,-0.007465476,0.009353076,-0.002562951,0.003417781,-0.005025148,0.0003950402,0.006878166,0.001314613,9.897093e-05,-0.0007428076,-0.002077019,-4.869951e-05,-0.0001522016,-0.0003013049,-0.0001972964,-0.0001598643,-0.0002696878,-7.467261e-05,-5.454587e-05,-0.0001047818,-8.49636e-05
Weight,16,1,phi.macOps,NA,0,-0.0008937942,-0.0004424278,0.002316405,0.00847737,0.009353059,0.0148111,0.008538526,-0.001975013,0.01154115,0.008556358,0.01360652,-0.0001069259,-0.004736197,0.000581171,-0.0001368487,0.001064976,0.001816902,0.0003064608,0.0001281059,0.0001251847,-1.517488e-05,-2.705811e-05,0.0002748908,3.73363e-05,5.454587e-05,5.239092e-05,8.49636e-05
Weight,16,1,phi.macfree,NA,-0.07965036,-0.06739731,-0.02932972,0.01385579,-0.01813608,-0.0145676,0.1234802,-0.03136114,-0.06572512,0.02869495,-0.2412821,0.005868621,0.009705208,-0.03082509,-0.01636404,-0.015538,-0.03915461,-0.006823465,-0.006496948,-0.0126105,-0.009894445,-0.03669686,-0.02623935,-0.009406224,-0.006763338,-0.006448097,-0.00623452,-0.01048787
