Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.1090494,-0.06021741,-0.03608457,-0.09158432,-0.09857501,-0.08040675,-0.05179358,-0.06357996,-0.06634071,-0.06615749,-0.05737377,-0.04142157,-0.04575088,-0.04885616,-0.01739084,-0.03696005,-0.0499868,-0.05862268,-0.06037292,-0.005384445,-0.04739212
Weight,16,1,phi.startTime,NA,0,0,0.02016966,0.01987712,0.0210245,0,0.0006684073,0.0124837,0.01804647,0.0215821,0,0.0006853317,0.01008633,0.01507786,0.007898678,0,0.000644678,0.007976081,0.01358779,0.004872694,0
Weight,16,1,phi.endTime,NA,-0.1090494,-0.06021741,-0.01591491,-0.0717072,-0.07755051,-0.08040675,-0.05112517,-0.05109625,-0.04829424,-0.04457539,-0.05737377,-0.04073624,-0.03566456,-0.0337783,-0.00949216,-0.03696005,-0.04934213,-0.0506466,-0.04678513,-0.0005117511,-0.04739212
Weight,16,1,phi.jobOps,NA,0,0.0004427203,0.0008447176,0.0006198954,0.0005828578,0,0.0002851816,0.0004890332,0.0005401476,0.0005782779,0,0.0001847711,0.0003792144,0.0004388213,0.0002063658,0,0.0001499462,0.000287152,0.0003826152,0.0001246379,0
Weight,16,1,phi.arrivalTime,NA,0,0.02104368,0.03989643,0.02973359,0.02793331,0,0.02717256,0.03578253,0.0352874,0.03550707,0,0.02677012,0.0375522,0.03635484,0.01544719,0,0.02932442,0.03581903,0.03840723,0.01100873,0
Weight,16,1,phi.totproc,NA,-0.008738856,0.006646054,0.009783118,0.006127155,0.01053456,-0.005334358,0.0002331219,0.007836982,0.01444783,0.01336508,0.001628087,0.02385306,0.02525633,0.02899322,0.005505298,0.01451807,0.03853412,0.03616064,0.04489654,0.005696849,0.03882879
Weight,16,1,phi.wait,NA,0,-0.02104368,-0.01972677,-0.009856475,-0.006908801,0,-0.02650415,-0.02329883,-0.01724093,-0.01392497,0,-0.02608479,-0.02746587,-0.02127698,-0.00754851,0,-0.02867974,-0.02784295,-0.02481944,-0.006136038,0
Weight,16,1,phi.mac,NA,0,0.0004427203,0.0008447176,0.0006198954,0.0005828578,0,0.0002851816,0.0004890332,0.0005401476,0.0005782779,0,0.0001847711,0.0003792144,0.0004388213,0.0002063658,0,0.0001499462,0.000287152,0.0003826152,0.0001246379,0
Weight,16,1,phi.macOps,NA,0,-0.0004427203,-0.0004223588,-0.0002066318,-0.0001457144,0,-0.0002851816,-0.0002445166,-0.0001800492,-0.0001445695,0,-0.0001847711,-0.0001896072,-0.0001462738,-5.159144e-05,0,-0.0001499462,-0.000143576,-0.0001275384,-3.115948e-05,0
Weight,16,1,phi.macfree,NA,-0.1090494,-0.06021741,-0.01591491,-0.0717072,-0.07755051,-0.08040675,-0.05112517,-0.05109625,-0.04829424,-0.04457539,-0.05737377,-0.04073624,-0.03566456,-0.0337783,-0.00949216,-0.03696005,-0.04934213,-0.0506466,-0.04678513,-0.0005117511,-0.04739212
Weight,16,1,phi.makespan,NA,-0.1090494,-0.06021741,-0.2718021,0.01019562,0.00721142,0,0,0,0.001010098,0.00718278,0,0,0,0.000693125,0.002554149,0,0,0,0.0004805671,0.00156059,0
Weight,16,1,phi.slotReduced,NA,0,-0.02104368,-0.03989643,-0.02973359,-0.02793331,0,-0.0003004148,-0.000676776,-0.0007256748,-0.0007247871,0,-0.0002103622,-0.0004644516,-0.0005172248,-0.0002355338,0,-0.0001922182,-0.0003202469,-0.0003576541,-0.0001239008,0
Weight,16,1,phi.slots,NA,0,0.02104368,0.03989643,0.02973359,0.02793331,0,0.01385542,0.02412744,0.02665295,0.02855782,0,0.009296354,0.01931749,0.02223569,0.01044598,0,0.007808282,0.01495488,0.01975454,0.006449061,0
Weight,16,1,phi.slotsTotal,NA,0,0.02104368,0.03989643,0.02973359,0.02793331,0,0.0003004148,0.000676776,0.0007256748,0.0007247871,0,0.0002103622,0.0004644516,0.0005172248,0.0002355338,0,0.0001922182,0.0003202469,0.0003576541,0.0001239008,0
Weight,16,1,phi.wrmMac,NA,0,0.02157618,0.02215816,0.01015658,0.007348017,0,0.01416577,0.01202324,0.008933553,0.007212086,0,0.009282876,0.009420704,0.00724425,0.002542804,0,0.007602683,0.007283088,0.006425113,0.001547672,0
Weight,16,1,phi.wrmJob,NA,-0.008738856,-0.01439763,-0.03011331,-0.02360644,-0.01739874,-0.005334358,-0.01338443,-0.01591068,-0.01188992,-0.01487246,0.001628087,0.01481835,0.00649131,0.007251331,-0.004742194,0.01451807,0.03104911,0.02178595,0.02569937,-0.0005669041,0.03882879
Training.Accuracy,16,1,NA,75.6,79.19,78.65,78.95,78.46,78.65,70.03,76,76.2,76.5,76.23,64.95,75.92,76.1,75.98,76.22,60.54,81.48,81.79,81.48,81.33,62.96
Validation.Accuracy,16,1,NA,79,79.85,82.56,82.48,82.23,82.56,75.58,80.56,80.95,79.39,80.95,69.04,77.93,78.17,77.93,78.87,63.53,85.12,84.52,85.12,82.14,70.24
