Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27
Weight,16,1,phi.proc,NA,-0.09343117,-0.0861622,0.02079696,0.02447538,0.02497297,0.06038835,0.1108641,0.01568187,0.01664405,0.09750536,0.05951016,0.0649225,0.01758307,-0.002054709,0.02884683,0.008930716,-0.005061661,-0.006827195,0.0805169,-0.007777034,-0.00622085,-0.006780312,-0.00449032,-0.007255081,0,-0.009286405,-0.0009741774,-0.008565652
Weight,16,1,phi.startTime,NA,0,0,-0.009660355,-0.007995522,-0.006817903,-0.03881309,-0.06020161,-0.01020111,-0.001477768,-0.06602594,-0.03990268,-0.03581078,-0.02796025,-0.01797957,-0.02645026,-0.02770624,-0.01122236,0.007494648,-0.07011441,-0.005336384,0.002454642,-0.001671056,-0.01044131,1.681877e-05,0,-0.0006104883,-0.006749658,-0.008290402
Weight,16,1,phi.endTime,NA,-0.09343117,-0.0861622,0.01113661,0.01647985,0.01815507,0.02157527,0.05066252,0.005480758,0.01516628,0.03147942,0.01960748,0.02911173,-0.01037718,-0.02003428,0.002396577,-0.01877552,-0.01628403,0.0006674532,0.01040249,-0.01311342,-0.003766208,-0.008451368,-0.01493163,-0.007238262,0,-0.009896893,-0.007723835,-0.01685605
Weight,16,1,phi.jobOps,NA,0,-0.03649674,0.001203858,0.0005357775,0.000510936,-0.0003842548,-0.0237817,0.0008459653,0.0003586422,0.008896169,0.0007243099,0.0009500204,-0.0006067961,0.003389963,0.003625808,0.0001476425,0.0003446709,6.422962e-05,8.668044e-05,3.02038e-05,-0.0003707372,-0.0002278866,-6.59172e-05,-0.0003328327,0,-0.000329105,-6.95841e-05,-0.0005106068
Weight,16,1,phi.arrivalTime,NA,0,0.03977664,0.03074825,0.03425981,0.0309937,0.07045339,-0.08145333,0.03986954,0.02242757,-0.008311588,0.02440827,0.02963091,0.04770965,0.004935722,-0.0001659909,0.07237975,0.02209838,-0.01379822,0.09183909,-0.0003000648,0.002454642,-0.008770775,-0.002494367,0.003877352,0,0.003702576,-0.006749658,-0.008290402
Weight,16,1,phi.totproc,NA,-0.004544125,0.1355622,0.1466384,0.1561161,0.154123,0.1990223,0.4284471,0.1482058,0.09022897,0.3321447,0.1476355,0.1403476,0.1501997,0.2134868,0.4645295,0.2565672,0.1597616,0.02064585,0.5095236,-0.0002440716,-0.001497869,-0.000187042,-8.589093e-05,-0.0008975826,0,-0.0003662946,-6.95841e-05,-0.001338337
Weight,16,1,phi.wait,NA,0,-0.03977664,-0.0404086,-0.04225533,-0.0378116,-0.1092665,0.02125172,-0.05007064,-0.02390534,-0.05771435,-0.06431095,-0.06544168,-0.0756699,-0.0229153,-0.02628427,-0.100086,-0.03332075,0.02129286,-0.1619535,-0.005036319,0,0.007099719,-0.007946941,-0.003860533,0,-0.004313064,0,0
Weight,16,1,phi.mac,NA,0,-0.03649674,0.001203858,0.0005357775,0.000510936,-0.0003842548,-0.0237817,0.0008459653,0.0003586422,0.008896169,0.0007243099,0.0009500204,-0.0006067961,0.003389963,0.003625808,0.0001476425,0.0003446709,6.422962e-05,8.668044e-05,3.02038e-05,-0.0003707372,-0.0002278866,-6.59172e-05,-0.0003328327,0,-0.000329105,-6.95841e-05,-0.0005106068
Weight,16,1,phi.macOps,NA,0,0.03649674,-0.001496771,-0.0007565469,-0.0007641047,0.001443728,0.06112174,-0.000424889,-0.0004043516,-0.005728036,-0.0004032549,-0.00056783,0.0001528538,-0.0002063594,0.0003914399,9.366745e-05,0.000119921,0.000462758,-0.0006714742,-5.976541e-05,0.0001853686,0.0002278866,-1.38095e-05,0.0003328327,0,0.000321826,3.479205e-05,0.0005106068
Weight,16,1,phi.macfree,NA,-0.09343117,-0.0861622,0.01113661,0.01647985,0.01815507,0.02271421,0.05066252,0.01017618,0.01516628,0.06784222,0.06386894,0.06335059,0.005641109,-0.0159756,0.006385572,-0.009376886,-0.001947293,0.001855454,0.01040249,-0.008795118,-0.003645554,-0.01132125,-0.01029389,-0.002668631,0,-0.008833946,-0.005044847,-0.008430298
