Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.1555519,-0.07383316,-0.09234268,-0.1072887,-0.08413254,-0.1012405,-0.0615306,-0.07319056,-0.07928036,-0.07577271,-0.06486325,-0.03510958,-0.02853023,-0.04962756,-0.01735897,-0.04283832,-0.04764333,-0.05202934,-0.06521972,-0.005927197,-0.05124444
Weight,16,1,phi.startTime,NA,0,0,0.01850236,0.01997988,0.01621356,0,0.0006651756,0.01398183,0.02169175,0.02111721,0,0.0005735517,0.00703494,0.01447922,0.007975156,0,0.0006959816,0.007987794,0.01404035,0.004872304,0
Weight,16,1,phi.endTime,NA,-0.1555519,-0.07383316,-0.07384032,-0.08730881,-0.06791899,-0.1012405,-0.06086542,-0.05920873,-0.0575886,-0.05465549,-0.06486325,-0.03453603,-0.02149529,-0.03514834,-0.009383814,-0.04283832,-0.04694734,-0.04404154,-0.05117937,-0.001054893,-0.05124444
Weight,16,1,phi.jobOps,NA,0,0.0004846238,0.0007675673,0.0006233239,0.0004480924,0,0.0003190284,0.0005464603,0.0006473994,0.0005649125,0,0.0001800232,0.0002647041,0.0004202111,0.0002083564,0,0.0001502976,0.0002872682,0.000393393,0.0001243014,0
Weight,16,1,phi.arrivalTime,NA,0,0.02281676,0.0367152,0.02984884,0.02155772,0,0.03059409,0.0400225,0.04231932,0.03470785,0,0.02624779,0.02622555,0.03482559,0.01559568,0,0.02937395,0.03585091,0.03950082,0.01098451,0
Weight,16,1,phi.totproc,NA,0.007197852,0.006749058,0.01227208,0.008401534,-0.01062444,-0.004087707,0.001888481,0.01337486,0.01450021,0.006492557,-0.001366889,0.01171384,0.01149341,0.0253127,0.006214997,0.01283881,0.04034412,0.04066807,0.03918734,0.004834776,0.03815131
Weight,16,1,phi.wait,NA,0,-0.02281676,-0.01821284,-0.009868963,-0.005344158,0,-0.02992892,-0.02604066,-0.02062756,-0.01359064,0,-0.02567424,-0.01919061,-0.02034637,-0.007620529,0,-0.02867797,-0.02786312,-0.02546047,-0.006112211,0
Weight,16,1,phi.mac,NA,0,0.0004846238,0.0007675673,0.0006233239,0.0004480924,0,0.0003190284,0.0005464603,0.0006473994,0.0005649125,0,0.0001800232,0.0002647041,0.0004202111,0.0002083564,0,0.0001502976,0.0002872682,0.000393393,0.0001243014,0
Weight,16,1,phi.macOps,NA,0,-0.0004846238,-0.0003837837,-0.0002077746,-0.0001120231,0,-0.0003190284,-0.0002732301,-0.0002157998,-0.0001412281,0,-0.0001800232,-0.0001323521,-0.0001400704,-5.208911e-05,0,-0.0001502976,-0.0001436341,-0.000131131,-3.107534e-05,0
Weight,16,1,phi.macfree,NA,-0.1555519,-0.07383316,-0.07384032,-0.08730881,-0.06791899,-0.1012405,-0.06086542,-0.05920873,-0.0575886,-0.05465549,-0.06486325,-0.03453603,-0.02149529,-0.03514834,-0.009383814,-0.04283832,-0.04694734,-0.04404154,-0.05117937,-0.001054893,-0.05124444
Weight,16,1,phi.makespan,NA,-0.1555519,-0.07383316,-0.08502431,0.01028878,0.005469927,0,0,0,0.00124394,0.007028715,0,0,0,0.0006633079,0.00258007,0,0,0,0.0005270058,0.001558792,0
Weight,16,1,phi.slotReduced,NA,0,-0.02281676,-0.0367152,-0.02984884,-0.02155772,0,-0.0004357567,-0.0007635938,-0.0008514239,-0.0006994672,0,-0.0002425135,-0.0003379151,-0.0004822656,-0.0002377198,0,-0.0001706145,-0.0003288401,-0.0003840073,-0.0001245304,0
Weight,16,1,phi.slots,NA,0,0.02281676,0.0367152,0.02984884,0.02155772,0,0.01566231,0.02700682,0.03198668,0.02791195,0,0.009158654,0.01350529,0.02130144,0.01054362,0,0.00780285,0.01496244,0.02032505,0.006432637,0
Weight,16,1,phi.slotsTotal,NA,0,0.02281676,0.0367152,0.02984884,0.02155772,0,0.0004357567,0.0007635938,0.0008514239,0.0006994672,0,0.0002425135,0.0003379151,0.0004822656,0.0002377198,0,0.0001706145,0.0003288401,0.0003840073,0.0001245304,0
Weight,16,1,phi.wrmMac,NA,0,0.02407422,0.01924806,0.01046482,0.005562447,0,0.01575989,0.01352841,0.0108145,0.007084279,0,0.009024306,0.006531285,0.00696604,0.002551377,0,0.007682052,0.007268629,0.006670348,0.001544099,0
Weight,16,1,phi.wrmJob,NA,0.007197852,-0.0160677,-0.02444312,-0.02144731,-0.03218216,-0.004087707,-0.01347906,-0.01319018,-0.01702451,-0.02110338,-0.001366889,0.002839608,-0.001616673,0.004506166,-0.004131182,0.01283881,0.03284658,0.02624878,0.01944958,-0.001413401,0.03815131
Training.Accuracy,16,1,NA,79.05,86,85.29,85.29,85.29,85.14,74.04,81.1,81.62,81.15,81.02,66.82,79.26,79.26,78.98,79.05,61.27,81.48,81.48,81.64,81.94,62.96
Validation.Accuracy,16,1,NA,83,87.54,89.08,89.08,89.08,88.36,81.22,86.17,84.62,86.17,85.82,75.23,82.09,82.09,81.82,82.92,64.58,85.12,85.12,84.52,85.71,70.24
