Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27
Weight,16,1,phi.proc,NA,-0.1003618,-0.1049352,0.01655313,0.02292945,0.02115777,0.01302548,0.1222849,0.01701037,0.02817765,0.09570427,0.0843524,0.05106203,0.01154144,0.006013044,0.03150628,0.005408166,-0.00387043,-0.007038503,0.08393319,-0.007731023,-0.006217854,-0.006764273,-0.004499221,-0.007299048,0,-0.009317805,-0.0009741774,-0.008554062
Weight,16,1,phi.startTime,NA,0,0,-0.009159575,-0.008025625,-0.006407232,-0.007317636,-0.1565253,-0.01108404,-0.002785667,-0.07425942,-0.04230893,-0.02797238,-0.01936822,-0.03382779,-0.03090591,-0.01890309,-0.008049004,0.008259484,-0.07153076,-0.00506237,0.002492525,-0.001648557,-0.01042119,-0.0001469276,0,-0.0007486208,-0.006749658,-0.008201528
Weight,16,1,phi.endTime,NA,-0.1003618,-0.1049352,0.007393559,0.01490383,0.01475054,0.005707843,-0.03424041,0.005926335,0.02539198,0.02144485,0.04204347,0.02308965,-0.007826783,-0.02781474,0.0006003736,-0.01349492,-0.01191943,0.001220981,0.01240243,-0.01279339,-0.003725329,-0.00841283,-0.01492041,-0.007445975,0,-0.01006643,-0.007723835,-0.01675559
Weight,16,1,phi.jobOps,NA,0,-0.1217517,0.001174632,0.00051338,0.0004390373,-5.815271e-05,-0.04504117,0.0009034005,0.0005833546,0.0107761,0.0004691001,0.0008771619,-0.0004972946,0.004383553,0.003386785,-0.0002778906,0.0003522774,6.9123e-05,8.960475e-05,2.987014e-05,-0.0003705456,-0.0002271589,-6.591549e-05,-0.0003364254,0,-0.000328512,-6.95841e-05,-0.0005106129
Weight,16,1,phi.arrivalTime,NA,0,0.0381606,0.02928017,0.03211701,0.02669218,0.0753353,-0.2052838,0.04599673,0.03472508,-0.007321432,0.0289757,0.03158276,0.02721909,0.004255825,-0.001274798,0.03944683,0.02357169,-0.01333936,0.09383945,-0.0003563788,0.002492525,-0.008814734,-0.002485209,0.003572035,0,0.00366414,-0.006749658,-0.008201528
Weight,16,1,phi.totproc,NA,0.001191396,0.1418376,0.1503998,0.1449767,0.1284206,0.2020396,0.6697217,0.1825954,0.1584386,0.3883647,0.1504385,0.1274337,0.09484929,0.3470858,0.4811848,0.161255,0.1768104,0.01951815,0.5270415,-0.0002424746,-0.001483546,-0.0001893548,-8.494479e-05,-0.0009267656,0,-0.0003035896,-6.95841e-05,-0.00133263
Weight,16,1,phi.wait,NA,0,-0.0381606,-0.03843975,-0.04014263,-0.03309942,-0.08265293,0.04875851,-0.05708077,-0.03751075,-0.06693799,-0.07128463,-0.05955514,-0.04658731,-0.03808361,-0.02963111,-0.05834992,-0.0316207,0.02159885,-0.1653702,-0.004705992,0,0.007166177,-0.007935985,-0.003718963,0,-0.00441276,0,0
Weight,16,1,phi.mac,NA,0,-0.1217517,0.001174632,0.00051338,0.0004390373,-5.815271e-05,-0.04504117,0.0009034005,0.0005833546,0.0107761,0.0004691001,0.0008771619,-0.0004972946,0.004383553,0.003386785,-0.0002778906,0.0003522774,6.9123e-05,8.960475e-05,2.987014e-05,-0.0003705456,-0.0002271589,-6.591549e-05,-0.0003364254,0,-0.000328512,-6.95841e-05,-0.0005106129
Weight,16,1,phi.macOps,NA,0,0.1217517,-0.001359729,-0.0007532621,-0.0006685702,0.0009947531,0.1110418,-0.0004527857,-0.0006605154,-0.008039664,-0.000230166,-0.000534029,0.0001810075,-0.0002411332,0.0002539831,0.0001904653,0.0001879694,0.0004242414,-0.0006858398,-6.20912e-05,0.0001852728,0.0002271589,-1.447199e-05,0.0003364254,0,0.0003217561,3.479205e-05,0.0005106129
Weight,16,1,phi.macfree,NA,-0.1003618,-0.1049352,0.007393559,0.01490383,0.01475054,0.006821742,-0.03424041,0.0113289,0.02539198,0.05522364,0.08384249,0.05079896,-0.001909588,-0.02398693,0.007459962,-0.01719693,-0.0007166632,0.002343942,0.01240243,-0.008469363,-0.003684553,-0.01121012,-0.01037165,-0.002575419,0,-0.009004983,-0.005044847,-0.008420485
