Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30,Step.31,Step.32,Step.33,Step.34,Step.35,Step.36,Step.37,Step.38,Step.39,Step.40,Step.41,Step.42,Step.43,Step.44,Step.45,Step.46,Step.47,Step.48,Step.49,Step.50,Step.51,Step.52,Step.53,Step.54,Step.55,Step.56,Step.57,Step.58,Step.59,Step.60,Step.61,Step.62,Step.63,Step.64,Step.65,Step.66,Step.67,Step.68,Step.69,Step.70,Step.71,Step.72,Step.73,Step.74,Step.75,Step.76,Step.77,Step.78,Step.79,Step.80,Step.81,Step.82,Step.83,Step.84,Step.85,Step.86,Step.87,Step.88,Step.89,Step.90,Step.91,Step.92,Step.93,Step.94,Step.95,Step.96,Step.97,Step.98,Step.99
Weight,16,1,phi.proc,NA,-0.01219821,-0.008226024,0.005909327,-0.01182834,-0.002468358,-0.002904785,-0.008243195,-0.005317282,-0.003823935,-0.003958667,-0.003520142,-0.001412581,-0.004023024,-0.007801855,-0.008494641,-0.006149771,-0.004623933,-0.0002308275,-0.00144387,-0.003458074,-0.008773229,-0.00561126,-0.004022174,-0.004220069,-0.004606048,-0.005591788,-0.006981869,-0.005636002,-0.003840008,-0.0054005,-0.009147062,-0.008452912,-0.008002764,-0.01024586,-0.005682169,-0.002685454,-0.00551272,-0.01197621,-0.02126315,-0.008767522,-0.01148619,-0.01292338,-0.0164664,-0.02544226,-0.0213176,-0.02035252,-0.01123484,-0.008770106,-0.009289214,-0.008961947,-0.007425981,-0.007166145,-0.008345549,-0.01045059,-0.01274384,-0.0137872,-0.01561788,-0.01366381,-0.01139107,-0.00906927,-0.007975907,-0.01083289,-0.004546585,-0.01248587,-0.006108135,-0.003574913,-0.006229169,-0.004811368,-0.01554164,-0.0197771,-0.01309591,-0.01798947,-0.01763878,-0.01346956,-0.01512544,-0.01723468,-0.01579459,-0.01465076,-0.01937675,-0.01269961,-0.01541274,-0.01362744,-0.01539513,-0.0182889,-0.01871033,-0.01265153,-0.003984864,-0.004055003,-0.006298304,-0.007344247,-0.02002485,-0.01639681,-0.01776068,-0.05753034,-0.01678132,-0.004652349,-0.1835444,0.01410642,0.002539987
Weight,16,1,phi.startTime,NA,0,0,-0.02427625,-0.001501926,-0.00706184,-0.003484377,0.003540141,-0.001290304,-0.002339666,-0.001435641,0.001324005,0.0009071527,-0.004243291,-0.001133891,-0.0009057875,-1.769936e-05,5.003193e-05,-0.001159443,-0.004093214,-0.002078264,-0.002852027,-0.001002941,0.0005910929,0.0009518886,0.0009629412,0.0005062007,-0.0004612206,0.001673373,0.0004476223,0.002091894,0.002112026,0.001287445,0.001387199,8.241302e-05,-0.003188635,-0.002817311,-0.001854623,-0.008299984,-0.02206004,-0.004127693,-0.007883077,-0.007981769,-0.01527342,-0.0205743,-0.02168753,-0.01984114,-0.001361495,-0.0009604302,-0.002070517,-0.004051074,-0.01049299,-0.01082691,-0.007872263,-0.006494048,-0.009294979,-0.008350192,-0.01628564,-0.01406242,-0.01059454,-0.006851088,-0.009134752,-0.01498724,-0.003852263,-0.01510995,-0.009052036,-0.004141394,-0.005084148,-0.007393245,-0.01593752,-0.01570192,-0.008770421,-0.01023755,-0.005161899,-0.002003786,-0.006034825,-0.02268007,-0.02866766,-0.02586869,-0.02124981,-0.002047872,0.001008034,0.001590551,-0.0146531,-0.01135197,0.002280406,-0.003397619,-0.005766529,-0.008889438,-0.009519501,-0.002506551,-0.009014632,-0.0002105247,0.006234696,0.007348499,0.01048158,0.0013049,0.0679774,-0.02758425,-0.06018565
Weight,16,1,phi.endTime,NA,-0.01219821,-0.008226024,-0.01836692,-0.01333027,-0.009530198,-0.006389161,-0.004703054,-0.006607586,-0.006163602,-0.005394309,-0.002196137,-0.0005054286,-0.008266314,-0.008935746,-0.009400428,-0.006167471,-0.004573902,-0.00139027,-0.005537084,-0.005536338,-0.01162526,-0.006614201,-0.003431081,-0.003268181,-0.003643107,-0.005085587,-0.00744309,-0.003962629,-0.003392385,-0.003308606,-0.007035036,-0.007165467,-0.006615565,-0.01016344,-0.008870804,-0.005502765,-0.007367343,-0.0202762,-0.04332319,-0.01289522,-0.01936927,-0.02090515,-0.03173982,-0.04601656,-0.04300513,-0.04019366,-0.01259633,-0.009730536,-0.01135973,-0.01301302,-0.01791898,-0.01799306,-0.01621781,-0.01694464,-0.02203882,-0.02213739,-0.03190352,-0.02772623,-0.02198561,-0.01592036,-0.01711066,-0.02582013,-0.008398848,-0.02759583,-0.01516017,-0.007716307,-0.01131332,-0.01220461,-0.03147916,-0.03547902,-0.02186633,-0.02822702,-0.02280068,-0.01547335,-0.02116027,-0.03991475,-0.04446225,-0.04051944,-0.04062655,-0.01474748,-0.0144047,-0.01203689,-0.03004823,-0.02964087,-0.01642993,-0.01604915,-0.009751393,-0.01294444,-0.01581781,-0.009850798,-0.02903949,-0.01660733,-0.01152598,-0.05018184,-0.006299742,-0.003347449,-0.115567,-0.01347782,-0.05764566
Weight,16,1,phi.arrival,NA,0,0.2238879,-0.007024562,0.02551296,-0.02140306,-0.003779724,0.007910758,-0.00127111,-0.002011365,-0.002348253,0.0006996602,0.0004767979,-0.002361646,-0.0006413303,-0.0006489444,0.0006042551,0.0005434138,-0.0005187728,-0.001373961,2.398369e-06,-0.000988882,0.0002206186,0.0003544214,0.0007834436,0.000431938,0.000425902,0.0002905954,0.0009701522,0.0007918211,0.001554596,0.00179156,0.0008321388,0.0006350056,-0.0003144389,-0.0006284441,-0.001067158,-0.0001693742,-0.004139882,-0.01072401,-0.002510885,-0.00424751,-0.00441506,-0.008342912,-0.01117878,-0.01185369,-0.01109633,-0.001925293,-0.001396596,-0.002501331,-0.003683726,-0.006922567,-0.007358168,-0.006019426,-0.005131005,-0.007276289,-0.007019628,-0.00963956,-0.008248557,-0.007895283,-0.00588457,-0.005681475,-0.00688269,-0.000695526,-0.009597522,-0.006015219,-0.003843925,-0.004187023,-0.004254134,-0.008678962,-0.007700417,-0.001993941,-0.001226657,-0.0007622087,0.001728397,-0.0004715028,-0.009522146,-0.01362863,-0.01055982,-0.009555375,0.001225206,0.001108794,0.0008076401,-0.007641285,-0.003889005,0.005002416,0.0008405985,-0.001392932,-0.0006507611,-0.003819073,0.0008236943,-0.0004782654,0.0006886172,0.0007202754,-0.004739055,-0.01134287,-0.007607654,-0.0343122,-0.05665727,-0.1369358
Weight,16,1,phi.wait,NA,0,-0.2238879,-0.01725169,-0.02701488,0.01434122,0.0002953474,-0.004370617,-1.919373e-05,-0.0003283014,0.0009126116,0.0006243443,0.0004303548,-0.001881644,-0.0004925606,-0.0002568431,-0.0006219545,-0.0004933819,-0.0006406699,-0.002719253,-0.002080662,-0.001863145,-0.00122356,0.0002366715,0.000168445,0.0005310032,8.02987e-05,-0.000751816,0.0007032208,-0.0003441988,0.0005372979,0.0003204653,0.0004553066,0.0007521938,0.0003968519,-0.002560191,-0.001750153,-0.001685249,-0.004160101,-0.01133603,-0.001616807,-0.003635567,-0.003566708,-0.006930508,-0.009395524,-0.00983384,-0.00874481,0.0005637987,0.0004361654,0.000430814,-0.0003673486,-0.003570428,-0.003468746,-0.001852837,-0.001363043,-0.00201869,-0.001330564,-0.006646079,-0.005813861,-0.002699256,-0.0009665177,-0.003453277,-0.008104553,-0.003156737,-0.005512432,-0.003036817,-0.0002974692,-0.000897125,-0.003139111,-0.007258558,-0.008001502,-0.00677648,-0.009010894,-0.004399691,-0.003732183,-0.005563322,-0.01315792,-0.01503903,-0.01530886,-0.01169443,-0.003273078,-0.0001007601,0.0007829108,-0.007011818,-0.007462966,-0.00272201,-0.004238217,-0.004373597,-0.008238677,-0.005700427,-0.003330245,-0.008536367,-0.0008991419,0.00551442,0.01208755,0.02182445,0.008912554,0.1022896,0.02907302,0.07675018
Weight,16,1,phi.macFree,NA,-0.01219821,-0.008226024,-0.01836692,-0.01333027,-0.009530198,-0.006389161,-0.004703054,-0.006607586,-0.006163602,-0.005394309,-0.002196137,-0.0005054286,-0.008266314,-0.008935746,-0.009400428,-0.006167471,-0.004573902,-0.00139027,-0.005537084,-0.005266507,-0.01131528,-0.00634449,-0.003431081,-0.003268181,-0.003643107,-0.005085587,-0.00744309,-0.003962629,-0.003392385,-0.003308606,-0.007035036,-0.007165467,-0.006615565,-0.01016344,-0.008870804,-0.005502765,-0.007367343,0.02133069,0.04087286,0.005706544,0.01054601,0.01543959,0.02706739,0.03395525,0.03925721,0.03124862,-0.01259633,-0.009730536,-0.01135973,-0.01301302,-0.00530334,-0.004812489,0.001282897,0.0005474086,-0.0002529838,0.009966678,0.02203344,0.01389255,-1.188189e-05,-0.01195813,-0.006029526,-0.006289314,-0.008398848,0.01181871,0.01117027,-0.007716307,-0.01131332,-0.01220461,0.02170455,0.02233473,0.01380317,0.01291996,0.003312874,-0.01548982,-0.02115568,0.02637974,0.03172076,0.02872982,0.02438189,-0.008213082,-0.01279338,-0.009215462,0.01669628,0.02162044,-0.01642993,0.001418555,0.000322758,-0.008094782,-0.002771134,-0.009850798,-0.01483593,-0.01764613,-0.03081398,0.02561218,0.02102745,0.01379771,-0.115567,-0.01347782,-0.05764566
Weight,16,1,phi.makespan,NA,-0.01219821,-0.008226024,0.006917694,0.01401901,0.004058389,0.00197115,0.002980785,0.00482234,0.002188344,0.00209302,-0.008490228,-0.01760584,0.00563405,0.01457038,0.01719787,0.007844331,0.001329508,-0.01137091,0.002146978,0.002429395,0.02452264,0.009184849,-0.002642033,-0.003371453,-0.003768209,0.002242295,0.00817427,-0.001717902,0.0001340315,-0.002394216,0.01176837,0.01121738,0.009470636,0.02033966,0.008398208,0.003430665,0.0002908113,-0.002283703,-0.002712574,-0.001494414,0.007142999,0.002351242,0.005514977,0.01050464,0.005096509,0.0106934,0.01356797,0.009465637,0.0136483,0.01308884,0.01401367,0.01012237,0.009321287,0.00972652,0.007907291,-0.001284259,-0.001285854,0.01048664,0.01103988,0.01961321,0.01225893,0.02952463,0.006651642,0.01000578,-0.01136867,-0.009788778,0.008662418,0.01007855,0.0005905599,-0.0007206152,-0.01371963,-0.009814485,0.002361323,0.0165058,0.03698594,0.002183175,-0.001369594,-0.003609714,0.01072541,0.009586804,0.01360589,0.009673396,0.001416612,-0.004832748,0.03063935,0.001451294,-0.003923308,0.02052044,-0.003070351,-0.01072417,0.009633977,0.006939763,0.04040769,-0.001867136,-0.1253735,-0.1277748,0.0461641,-0.01045228,-0.05764566
Weight,16,1,phi.reducedSlack,NA,0,-0.2238879,0.007024562,0.02034598,0.02873003,0.01333669,0.004336804,0.005902904,0.0003313074,0.002770962,0.002992091,0.002200348,0.002089897,0.0002140602,0.001499308,0.001361722,0.001671078,0.00129918,0.0007023979,0.0005561141,0.001230926,0.001306225,0.001292288,0.0006333845,-3.945409e-05,-0.0007299607,-0.0008843006,-0.0002630885,-0.001396123,-0.001397806,-0.0008506402,-0.001255122,-0.001450625,-0.0007313869,-0.0006982539,-0.0009492883,-0.001152973,-0.0004398119,-0.0006790921,-0.001493026,-0.001199405,-0.0006407975,-0.001062341,-0.001293786,-0.0008874398,-0.0007575233,-0.0005768309,-0.000863689,-0.0002449429,-0.0006015952,-0.001217375,-0.001047883,0.001422559,0.000353312,4.470852e-05,-0.0005135148,-0.0006617923,-0.0001098401,-0.002095874,-0.0001124973,-0.001598298,-0.002419717,0.001385052,-0.001245006,-0.0008486795,0.002250653,0.00017938,0.0009318329,-0.0005836143,0.0003775896,0.003981112,0.006145848,0.004824858,0.01002946,0.009861926,0.003355799,0.001059438,0.002481625,0.006956888,0.008460388,0.01320188,0.01193982,0.002220574,0.007693796,0.0139118,0.00752208,0.008143211,0.007233841,0.004491164,0.007782813,-0.004067883,0.00767786,0.00809167,0.03399934,-0.00788613,0.007296317,0.008503342,0.02758425,0.06018565
Weight,16,1,phi.macSlack,NA,0,0.2238879,-0.007024562,-0.01845887,0.03208163,0.01021938,0.006603917,0.006677869,-0.001357946,-0.0003373151,-0.001170257,0.00263168,0.0004674307,0.001599602,-0.0003046437,0.0001498418,0.003843449,0.003526671,0.0007989482,0.001795188,0.001126331,0.001080504,0.002250466,0.001553323,0.001076431,0.001791955,-0.0003415508,-0.0008652392,-0.001213243,-0.0006036846,0.0009535986,6.231849e-05,0.0004728426,-0.0002741295,-9.574856e-05,-0.0004082623,0.001425198,0.01189118,0.02309138,0.004759622,0.006745399,0.008871294,0.01540762,0.02183882,0.02155345,0.01885568,0.001475558,0.0006149966,-0.0006292981,-0.0001783059,0.001824475,0.0005794406,0.002870898,0.00309652,0.002685159,0.006364287,0.0113464,0.008572573,0.00319247,-0.001203082,0.0001959853,0.001409402,-0.0001891457,0.01002271,0.006703681,0.0004980476,0.0006869061,-0.0009457298,0.01177153,0.01355548,0.007243558,0.008114389,0.006602845,-0.002133475,-0.005006438,0.01475466,0.01702815,0.01666573,0.01493246,0.0003271079,0.001314336,0.00199842,0.009076892,0.01132378,-0.00330475,0.001469061,-0.005096807,-0.009295773,-0.003930542,-0.003981505,-0.006295146,-0.01071435,-0.01928762,0.02166117,0.02311578,0.005082606,-0.08721349,-0.02758425,-0.06018565
Weight,16,1,phi.allSlack,NA,0,0.2238879,-0.007024562,-0.02034598,-0.02873003,-0.01333669,-0.004336804,-0.005902904,-0.0003313074,-0.002770962,-0.002992091,-0.002200348,-0.002089897,-0.0002140602,-0.001499308,-0.001361722,-0.001671078,-0.00129918,-0.0007023979,-0.0005561141,-0.001230926,-0.001306225,-0.001292288,-0.0006333845,3.945409e-05,0.0007299607,0.0008843006,0.0002630885,0.001396123,0.001397806,0.0008506402,0.001255122,0.001450625,0.0007313869,0.0006982539,0.0009492883,0.001152973,0.0004398119,0.0006790921,0.001493026,0.001199405,0.0006407975,0.001062341,0.001293786,0.0008874398,0.0007575233,0.0005768309,0.000863689,0.0002449429,0.0006015952,0.001217375,0.001047883,-0.001422559,-0.000353312,-4.470852e-05,0.0005135148,0.0006617923,0.0001098401,0.002095874,0.0001124973,0.001598298,0.002419717,-0.001385052,0.001245006,0.0008486795,-0.002250653,-0.00017938,-0.0009318329,0.0005836143,-0.0003775896,-0.003981112,-0.006145848,-0.004824858,-0.01002946,-0.009861926,-0.003355799,-0.001059438,-0.002481625,-0.006956888,-0.008460388,-0.01320188,-0.01193982,-0.002220574,-0.007693796,-0.0139118,-0.00752208,-0.008143211,-0.007233841,-0.004491164,-0.007782813,0.004067883,-0.00767786,-0.00809167,-0.03399934,0.00788613,-0.007296317,-0.008503342,-0.02758425,-0.06018565
