Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.1191145,-0.0868446,-0.03345139,-0.03040267,-0.02160419,-0.09652878,-0.08778035,-0.04723151,-0.008721814,0.003853903,-0.1503648,-0.0258899,-0.01983996,-0.00396784,0.009163533,-0.1522867,-0.007207293,-0.01505223,0.0006237328,0.01966221,-0.1931888,-0.002090062,-0.001720279,-0.0009265946
Weight,16,1,phi.startTime,NA,0,0,0.01483711,0.01394861,0.01072432,0,0.007772403,0.006588876,0.0109895,0.01036967,0,-0.01915982,0.002561986,-0.009586464,0.0116067,0,-0.06049062,0.01065832,-0.01181081,0.01281542,0,-0.008733883,-0.0085885,-0.005661054
Weight,16,1,phi.endTime,NA,-0.1191145,-0.0868446,-0.01861428,-0.01645405,-0.01087987,-0.09652878,-0.08000795,-0.04064263,0.002267685,0.01422357,-0.1503648,-0.04504972,-0.01727798,-0.0135543,0.02077023,-0.1522867,-0.06769791,-0.004393913,-0.01118707,0.03247763,-0.1931888,-0.01082395,-0.01030878,-0.006587648
Weight,16,1,phi.jobOps,NA,0,0.002129964,0.001794537,0.001069141,0.0009718821,0,-0.01117753,-0.0006982264,0.0007413833,0.0004956619,0,-0.004305266,-0.002270931,0.001169025,0.0007777414,0,0.004533155,-0.003418557,-0.0004767168,0.0008127249,0,-0.0001014154,-0.0001692643,-9.549789e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04820949,0.03861634,0.02388036,0.01679885,0,0.06127375,0.04654466,0.02667066,0.01996075,0,0.02427505,0.05050712,0.05199075,0.0283201,0,0.007624627,0.05321157,0.05079375,0.03678511,0,-0.0149655,-0.01221102,-0.008034796
Weight,16,1,phi.totproc,NA,-0.0176033,0.06575651,0.03746254,0.02472019,0.01970689,0.03581993,0.06042078,0.04943414,0.03390092,0.03473096,0.07310375,0.08632009,0.079209,0.09312053,0.07548299,0.1163688,0.1783602,0.1864205,0.1594838,0.1099386,0.2417433,0.000614149,0.0004595559,0.0002161244
Weight,16,1,phi.wait,NA,0,-0.04820949,-0.02377923,-0.009931748,-0.006074527,0,-0.05350135,-0.03995579,-0.01568116,-0.009591084,0,-0.04343487,-0.04794513,-0.06157722,-0.01671341,0,-0.06811524,-0.04255325,-0.06260455,-0.0239697,0,0.006231612,0.003622516,0.002373742
Weight,16,1,phi.mac,NA,0,0.002129964,0.001794537,0.001069141,0.0009718821,0,-0.01117753,-0.0006982264,0.0007413833,0.0004956619,0,-0.004305266,-0.002270931,0.001169025,0.0007777414,0,0.004533155,-0.003418557,-0.0004767168,0.0008127249,0,-0.0001014154,-0.0001692643,-9.549789e-05
Weight,16,1,phi.macOps,NA,0,-0.002129964,-0.0008972685,-0.0003563803,-0.0002429705,0,0.01117753,0.0003491132,-0.0002471278,-0.0001239155,0,0.004305266,0.001135465,-0.0003896749,-0.0001944353,0,-0.004533155,0.001709278,0.0001589056,-0.0002031812,0,0.0001014154,8.463215e-05,3.183263e-05
Weight,16,1,phi.macfree,NA,-0.1191145,-0.0868446,-0.01861428,-0.01645405,-0.01087987,-0.09652878,-0.08000795,-0.04064263,0.002267685,0.01422357,-0.1503648,-0.04504972,-0.01727798,-0.0135543,0.02077023,-0.1522867,-0.06769791,-0.004393913,-0.01118707,0.03247763,-0.1931888,-0.01082395,-0.01030878,-0.006587648
