Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.01625531,-0.05248828,-0.02380115,-0.04979139,-0.05049008,-0.06595195,-0.06233141,-0.02956798,-0.06649938,-0.05480313,-0.09123919,-0.07305529,0.006560117,-0.007945964,-0.02497548,-0.03038773,-0.01139051,-0.02547213,-0.05295044,-0.002548308,-0.03582256,0.0005594294,0.08589538,-0.06026308,0.08505477,-0.005785063,0.1371175,0.006088039,0
Weight,16,1,phi.startTime,NA,0,0.04990274,0.01083733,0.008081467,0.01645303,0.02051371,0.02269613,0.008573837,0.02209105,0.01899951,0.03327737,0.02627872,-0.006664753,-0.0006452408,0.007350019,0.008184451,-0.0003209634,0.006874834,0.01779851,-0.002623675,0.00959715,-0.004484118,-0.0383732,0.01503157,-0.04875358,-0.003246809,-0.06929456,0.004604763,0
Weight,16,1,phi.endTime,NA,-0.01625531,-0.002585539,-0.01296382,-0.04170993,-0.03403705,-0.04543824,-0.03963528,-0.02099414,-0.04440833,-0.03580363,-0.05796182,-0.04677657,-0.0001046354,-0.008591205,-0.01762547,-0.02220328,-0.01171147,-0.0185973,-0.03515193,-0.005171983,-0.02622541,-0.003924689,0.04752218,-0.0452315,0.03630119,-0.009031872,0.06782295,0.0106928,0
Weight,16,1,phi.jobOps,NA,0,0.0003164477,0.001248478,0.001601084,0.0007252379,-0.0004083012,-0.0003916374,0.001858802,-0.0004211136,0.0001566445,0.002795638,0.0008967371,-9.715293e-05,-0.0004241246,-0.001075065,0.0009351553,9.678158e-05,0.0008414995,0.0008691313,0.0005524832,0.0006468696,-5.276194e-05,0.001614052,0.001540256,0.002632759,-0.001346404,-0.002849945,-0.002692123,0
Weight,16,1,phi.arrivalTime,NA,0,0.00824083,0.005400988,-0.002784468,0.003360971,0.01078692,0.01039721,0.0009764375,0.009746243,0.01072843,0.01693786,0.01092349,-0.00429571,-0.0006323824,0.006033167,0.003974404,0.001767975,0.004760919,0.008468623,-0.003452334,0.002677265,-0.002513145,-0.01664144,0.00742393,-0.02980967,-0.004074828,-0.02614212,-0.01227467,0
Weight,16,1,phi.totproc,NA,0.01456733,0.01718517,0.01579793,0.02837132,0.009223557,0.00806416,0.02325219,0.02112502,0.0421161,0.03254145,0.03782063,0.03908661,0.01039834,0.02948306,0.03349306,0.03118524,0.04400214,0.004619668,0.03528424,0.02091632,0.005501223,0.01136731,-0.07583358,-0.04725679,0.07859171,-0.01103517,-0.1220702,-0.02320453,0
Weight,16,1,phi.wait,NA,0,0.04166191,0.005436343,0.01086593,0.01309206,0.009726796,0.01229892,0.0075974,0.01234481,0.008271073,0.01633951,0.01535523,-0.002369043,-1.285837e-05,0.001316852,0.004210046,-0.002088939,0.002113915,0.009329888,0.000828659,0.006919885,-0.001970974,-0.02173176,0.007607643,-0.0189439,0.0008280191,-0.04315243,0.01687943,0
Weight,16,1,phi.mac,NA,-0.06757069,-0.03152429,-0.063952,0.02766502,0.01818594,0.01104452,0.02182386,0.01522862,-0.02672252,-0.07224927,-0.04537669,-0.03508329,-0.01737751,0.003548954,0.04859118,0.1026289,0.01986661,0.02433497,0.03011818,0.02103679,0.03885424,-0.0001500121,0.02558986,-0.01593283,0.007793321,-0.001395846,0.002806869,-6.054781e-05,0
Weight,16,1,phi.macOps,NA,0,0.001328555,1.504907e-05,0.00278458,0.002853142,0.002050447,0.003426237,0.001102131,0.003035608,0.006212704,0.004668657,0.005697934,0.001413097,0.001625661,0.001854446,0.002564793,-0.0001212055,0.0002196541,0.001570701,0.00058022,-0.0005022205,0.000182599,-0.0002159344,0.001276836,0.0007271308,0.0005630548,0.000120752,-6.054781e-05,0
Weight,16,1,phi.macfree,NA,-0.01625531,-0.002585539,-0.004502552,0.02520029,0.02046039,0.01417853,0.01371548,0.02528453,0.0375553,0.02776283,0.03414679,0.032077,0.02342335,0.00791093,0.009344152,0.02433873,0.002803112,0.01194638,0.03827857,0.01642198,0.03587465,-0.001121595,-0.01766671,0.04809053,0.01000863,-0.001870663,0.1395417,0.006441033,0
